Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
4.61,15.0,4.61,5.852,12710.28
5.919,20.0,5.765,6.23,27775.97
6.255,6.698,1.211,5.98,20891.8
5.98,6.175,5.925,6.113,4529.49
6.113,6.162,5.868,5.934,5499.93
5.9,6.07,5.85,5.974,4684.84
6.032,6.169,5.958,6.048,2474.14
6.048,6.066,5.52,5.521,5388.6
5.574,5.753,5.574,5.67,723.79
5.642,5.672,5.572,5.598,463.96
5.599,5.676,5.561,5.676,4287.51
5.623,5.707,5.582,5.622,1201.93
5.604,5.676,5.501,5.579,1259.74
5.579,5.73,5.546,5.73,1296.83
5.8,5.857,5.71,5.71,534.65
5.78,5.78,5.52,5.623,7684.28
5.623,5.672,5.557,5.573,2160.81
5.595,5.764,5.548,5.586,1110.47
5.623,5.682,5.607,5.679,463.32
5.66,5.742,5.612,5.622,1919.91
5.566,5.652,5.566,5.573,953.88
5.568,5.699,5.568,5.641,939.77
5.644,5.644,5.4,5.59,2344.68
5.555,5.641,5.538,5.555,1575.43
5.554,5.636,5.5,5.506,1840.18
5.531,5.67,5.531,5.655,1606.69
5.677,5.678,5.545,5.628,2465.83
5.65,5.679,5.555,5.602,641.6
5.63,5.657,5.543,5.595,516.08
5.628,5.73,5.593,5.618,1104.58
5.614,5.738,5.614,5.714,1281.39
5.686,5.696,5.289,5.404,7540.71
5.397,5.465,5.334,5.385,4434.76
5.383,5.461,5.383,5.427,2152.09
5.432,5.436,5.337,5.379,1730.15
5.379,5.404,5.2,5.229,6094.89
5.238,5.268,5.188,5.212,3514.67
5.22,5.272,5.19,5.223,1532.2
5.216,5.7,5.133,5.195,4469.19
5.192,5.258,5.176,5.21,1546.69
5.21,5.391,5.199,5.303,1749.23
5.294,5.303,5.114,5.216,2546.28
5.225,5.311,5.211,5.231,1293.42
5.236,5.254,5.204,5.214,966.61
5.215,5.238,5.13,5.147,1681.57
5.146,5.231,5.143,5.167,734.06
5.166,5.178,5.041,5.047,2105.12
5.048,5.082,4.99,5.057,7352.97
5.066,5.164,5.058,5.164,1209.29
5.162,5.167,5.099,5.154,3128.02
5.142,5.161,5.09,5.15,819.55
5.147,5.16,5.108,5.108,917.97
5.111,5.146,5.098,5.139,927.4
5.138,5.139,5.035,5.074,2076.52
