Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
46.61,47.27,46.25,47.27,803.16
47.23,48.02,47.21,47.6,471.93
47.6,48.38,46.92,47.48,850.5
47.44,48.37,47.17,48.12,1178.76
48.14,49.03,47.48,47.55,1081.61
47.58,47.83,45.68,46.5,1208.39
46.34,46.63,45.98,46.54,75.26
46.37,46.37,44.33,45.71,684.18
45.7,48.22,45.7,48.22,311.19
48.25,49.44,47.13,47.13,1096.32
47.34,47.63,46.76,46.76,65.58
46.89,47.17,45.82,46.48,220.05
46.4,47.16,45.9,46.99,55.32
46.91,47.36,46.91,47.31,107.12
47.21,48.56,47.16,47.29,881.22
47.13,47.49,46.96,47.35,124.34
47.27,47.79,46.77,46.9,1005.15
47.04,47.55,47.01,47.37,210.28
47.41,48.06,47.41,47.99,66.38
47.98,49.11,47.6,47.66,952.92
47.69,47.87,47.01,47.51,164.54
47.27,47.41,46.51,47.37,344.3
47.46,47.78,47.01,47.75,440.85
47.39,47.8,47.13,47.7,61.46
47.72,47.84,47.37,47.41,273.81
47.13,47.42,46.19,46.39,1409.55
46.14,47.49,45.96,47.48,324.28
47.5,47.63,47.11,47.25,297.0
47.48,47.48,44.85,46.79,234.9
46.99,47.71,46.24,47.01,761.68
46.77,48.58,46.77,48.5,289.05
48.52,48.69,48.01,48.02,183.97
47.9,48.11,47.57,47.86,127.29
47.75,48.15,47.48,48.05,27.91
48.17,48.41,47.98,48.07,38.21
47.93,47.93,47.68,47.68,20.12
47.68,48.19,47.68,47.84,159.29
47.83,47.87,47.69,47.82,63.0
47.94,48.03,47.55,47.55,389.61
47.48,47.51,46.68,47.28,189.07
46.91,46.91,46.27,46.77,50.65
46.55,46.77,46.37,46.73,120.83
46.77,46.99,45.57,45.64,234.79
45.83,46.78,45.47,46.48,283.18
46.77,47.0,46.25,47.0,145.4
46.81,47.29,46.62,46.84,474.82
47.13,47.42,46.7,47.42,297.7
47.36,48.13,47.25,47.7,372.7
47.69,48.73,47.57,48.0,1456.89
47.99,48.28,47.84,48.19,168.07
48.21,48.39,48.03,48.24,489.61
48.29,48.43,47.21,47.98,1012.8
48.12,48.33,48.03,48.29,207.89
48.02,48.09,47.58,47.71,155.62
47.63,48.16,47.48,47.48,21.34
47.6,47.78,47.28,47.56,64.37
47.61,48.66,47.42,48.45,217.26
48.4,48.79,48.02,48.64,111.26
48.23,48.82,48.18,48.5,872.05
48.47,50.0,48.47,49.4,1496.41
49.21,49.51,48.87,48.9,264.26
48.88,49.35,48.07,49.02,1324.99
49.1,49.36,48.81,48.89,74.07
48.78,49.28,48.62,49.02,133.05
49.06,49.61,48.9,49.37,261.71
49.6,50.55,49.06,49.09,692.74
49.05,49.11,48.6,48.81,112.72
48.86,48.99,48.67,48.98,13.22
49.14,49.31,48.55,49.22,101.49
49.14,49.2,48.84,49.17,78.49
48.84,49.05,48.66,48.97,90.6
48.85,48.87,48.22,48.22,117.89
48.6,49.01,48.55,48.71,168.5
48.9,48.99,48.71,48.73,55.34
48.83,49.06,48.69,49.06,86.73
49.03,49.12,48.82,48.82,35.37
49.1,49.1,48.64,48.64,4.34
48.58,49.22,48.58,48.67,122.04
48.63,49.27,48.5,49.27,52.07
49.22,49.45,48.74,48.87,121.29
48.94,49.2,48.8,48.8,60.18
48.97,49.28,48.97,49.1,98.72
48.9,49.78,48.37,48.39,379.28
48.48,48.49,47.81,48.33,118.93
48.3,49.26,48.3,49.13,94.22
49.02,49.06,48.82,48.9,56.93
48.81,48.93,47.18,47.18,223.3
47.16,47.71,46.72,46.92,335.35
47.09,47.84,47.09,47.71,183.72
47.54,48.26,47.5,48.18,135.22
48.17,48.5,47.73,48.37,174.71
48.37,48.65,48.34,48.61,140.13
48.47,48.5,47.84,47.84,47.04
47.93,48.27,47.43,48.27,111.91
48.27,48.45,48.09,48.14,110.23
48.15,48.21,48.01,48.18,53.09
48.18,48.18,47.78,47.82,42.39
47.71,48.33,47.67,48.31,75.99
48.3,48.3,48.12,48.17,50.19
48.11,48.33,48.11,48.21,56.96
48.23,48.77,48.23,48.77,182.32
48.7,48.79,48.38,48.66,37.42
48.64,48.67,47.59,47.69,47.75
47.76,48.39,47.42,47.57,50.14
47.49,47.84,47.0,47.04,67.54
47.39,47.57,46.28,46.81,228.58
46.88,47.41,46.53,47.41,80.86
47.46,47.6,47.39,47.45,82.34
47.53,47.57,46.66,46.69,439.33
46.5,46.75,45.77,46.58,351.02
46.57,46.57,45.3,45.41,229.48
45.35,45.8,44.57,45.1,311.62
45.09,45.44,44.93,45.31,82.13
45.27,45.27,44.24,44.29,145.16
44.24,44.69,43.69,44.43,324.05
44.55,45.43,44.48,45.33,179.49
45.22,46.4,44.92,45.89,172.53
45.86,45.94,44.48,44.65,134.25
44.52,45.39,44.52,45.28,61.07
45.0,45.35,44.84,45.03,143.81
44.86,45.22,44.86,44.97,104.63
44.8,44.96,44.56,44.68,158.42
44.44,45.03,40.29,41.09,1092.96
41.01,41.07,32.04,38.28,5466.12
38.0,38.33,34.05,37.81,1726.0
37.75,38.71,37.4,38.45,701.7
38.3,39.15,37.56,38.58,174.25
38.72,38.72,37.48,38.29,554.68
38.08,38.17,36.72,36.73,535.6
36.87,37.29,35.7,37.02,489.54
37.19,37.56,36.38,37.56,353.99
37.54,37.74,37.15,37.42,502.96
37.43,38.01,37.3,37.67,599.82
37.64,37.64,36.94,37.16,404.53
37.12,37.21,36.6,37.06,607.73
37.1,37.34,36.54,36.88,623.11
36.88,37.46,36.88,37.11,666.31
37.14,37.16,36.3,36.58,743.19
36.58,36.58,34.44,34.58,1366.81
34.72,35.31,34.22,34.8,824.53
34.85,35.28,34.27,34.43,641.77
34.42,34.53,32.36,32.49,3008.24
32.47,33.62,32.1,33.51,1960.07
33.38,33.38,31.54,31.54,1936.19
31.53,32.56,31.03,32.02,1288.22
32.2,32.94,32.2,32.63,944.26
32.63,33.34,32.5,33.32,1270.11
33.38,34.21,33.38,33.64,614.51
33.93,34.1,33.53,33.83,421.62
33.92,34.05,33.28,33.28,295.04
33.33,33.73,32.8,33.17,290.49
32.82,33.19,32.28,32.59,162.02
32.57,33.96,32.57,33.57,186.41
33.59,34.07,33.52,33.82,264.25
33.94,33.99,33.52,33.75,700.17
33.87,33.87,33.46,33.61,344.76
33.54,33.8,33.54,33.61,73.82
33.61,33.68,33.05,33.08,267.01
33.1,34.04,33.04,33.84,619.77
33.89,34.28,33.61,34.28,559.35
34.3,34.49,33.99,34.48,1316.54
34.36,35.01,34.31,34.93,1593.21
34.88,35.9,34.83,35.51,1939.09
35.53,35.99,35.19,35.55,451.79
35.56,35.75,35.12,35.33,1970.89
35.3,36.07,35.3,35.76,897.49
36.01,36.59,35.6,35.71,2892.24
35.71,35.87,35.31,35.31,582.83
35.42,35.93,35.34,35.81,296.65
35.82,36.7,35.79,36.22,798.49
36.28,36.52,36.14,36.18,136.45
36.02,36.26,35.75,36.14,1173.24
36.15,36.39,36.14,36.31,322.38
36.34,36.41,36.01,36.17,123.24
36.17,36.35,35.73,36.06,771.19
36.06,36.59,35.92,36.08,262.67
36.27,37.29,36.16,37.23,168.28
37.08,37.8,36.91,37.02,309.13
37.14,37.46,36.88,37.1,440.7
37.17,37.83,37.05,37.44,326.54
37.45,37.48,36.72,37.32,456.85
37.3,37.57,37.06,37.14,199.86
37.23,37.47,37.21,37.31,138.52
37.47,37.5,36.7,36.82,484.56
36.8,36.82,36.3,36.57,693.14
36.56,36.57,35.84,36.13,643.96
36.29,37.01,36.26,36.97,207.12
36.97,37.36,36.37,36.51,654.82
36.5,36.95,36.29,36.85,494.45
36.83,37.09,36.28,36.75,566.34
36.82,37.37,36.5,36.74,457.4
36.91,37.32,36.91,37.2,927.84
37.31,37.31,36.87,37.14,1397.97
37.11,37.35,36.09,36.26,1016.28
36.32,37.26,36.32,36.87,775.96
37.02,37.14,36.64,36.72,193.8
36.63,36.96,36.15,36.87,234.18
36.79,36.9,36.48,36.61,659.16
36.71,37.41,36.71,37.07,915.95
36.89,36.89,35.8,36.55,379.58
36.52,37.03,36.49,36.78,134.98
36.84,37.01,36.78,37.01,50.61
36.94,36.96,36.21,36.54,95.98
36.7,36.81,36.41,36.41,78.37
36.46,36.54,35.87,35.87,219.06
35.92,36.27,35.57,36.2,310.3
36.21,36.7,35.97,36.7,245.55
36.7,36.91,36.22,36.46,53.71
36.47,36.53,36.04,36.52,152.68
36.53,36.95,36.52,36.53,212.59
36.56,36.77,36.38,36.49,901.39
36.66,36.87,36.2,36.46,601.96
36.4,36.82,36.05,36.81,162.32
36.96,37.1,35.69,35.7,691.33
35.66,36.08,35.22,35.81,1541.03
35.83,36.1,35.46,35.89,110.2
35.63,36.72,35.63,35.78,683.25
35.92,36.12,35.85,36.12,21.9
36.21,36.62,36.17,36.29,105.15
36.27,36.54,36.17,36.23,423.91
36.21,36.23,35.89,35.94,1416.21
35.79,36.45,35.76,36.45,122.74
36.32,36.63,36.26,36.26,120.47
36.55,37.08,36.5,36.67,165.49
36.61,36.61,36.37,36.46,69.06
36.52,36.59,36.2,36.25,57.62
36.27,36.3,36.09,36.23,30.83
36.2,36.41,36.13,36.41,54.24
36.51,36.7,36.48,36.57,492.38
36.49,36.5,36.25,36.25,257.06
36.4,36.44,36.19,36.39,142.32
36.25,36.26,36.11,36.12,138.04
36.06,36.06,35.67,36.04,552.1
36.08,36.16,35.95,35.95,39.45
35.86,35.86,35.16,35.16,570.6
35.16,35.37,34.43,34.75,1146.8
34.69,35.36,34.69,35.2,648.28
35.03,35.22,34.9,34.9,220.5
34.89,35.01,34.43,34.89,366.36
34.8,34.99,34.18,34.39,959.84
34.4,34.49,33.67,33.77,582.34
33.79,34.14,33.72,34.11,147.46
34.21,34.33,33.46,33.48,189.72
33.62,33.97,33.55,33.97,131.5
34.03,34.36,33.99,34.36,36.74
34.33,34.7,34.33,34.59,31.59
34.48,34.56,34.23,34.23,39.46
34.4,34.88,34.4,34.8,232.52
34.71,34.94,34.7,34.82,161.65
34.76,34.8,34.49,34.66,173.44
34.64,35.19,34.64,35.05,98.84
35.08,35.18,34.86,34.86,46.84
34.93,34.94,34.44,34.45,59.1
34.53,34.53,33.81,34.01,178.19
34.18,34.7,34.18,34.7,269.93
34.74,34.99,34.56,34.97,443.18
34.97,35.0,34.67,34.68,756.5
34.7,34.96,34.7,34.91,415.43
35.0,35.38,34.97,35.38,324.77
35.27,35.69,35.09,35.59,843.66
35.64,35.95,35.64,35.76,411.47
35.83,35.86,35.51,35.63,265.18
35.72,35.77,35.58,35.69,161.96
35.65,35.65,35.37,35.41,80.57
35.39,35.47,35.28,35.42,35.66
35.51,35.62,35.49,35.54,115.87
35.5,35.53,35.31,35.32,231.2
35.34,35.36,34.53,34.6,430.36
34.5,35.0,34.3,34.96,249.1
34.96,35.91,34.95,35.67,447.74
35.7,36.82,35.51,36.61,370.84
36.67,36.67,36.31,36.52,304.71
36.47,36.5,35.63,35.67,92.23
35.85,35.95,35.3,35.38,64.21
35.47,35.78,35.39,35.78,523.55
35.5,35.8,35.39,35.77,216.84
35.77,36.01,35.42,35.48,413.6
35.46,35.83,35.44,35.55,299.73
35.56,35.56,35.0,35.0,294.94
35.05,35.23,34.82,34.85,426.54
34.8,34.8,34.46,34.69,156.03
34.61,34.78,34.05,34.2,396.29
34.25,34.5,34.17,34.36,139.82
