Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
6.568,6.622,6.506,6.587,11176.6
6.577,6.667,6.57,6.63,7153.1
6.634,6.773,6.537,6.609,12991.6
6.622,6.669,6.544,6.575,10491.1
6.567,6.602,6.515,6.53,7109.2
6.54,6.545,6.337,6.413,41891.9
6.422,6.422,6.288,6.3,7146.9
6.299,6.311,6.111,6.291,9580.4
6.291,6.516,6.288,6.455,9221.9
6.459,6.578,6.391,6.43,16788.8
6.42,6.531,6.414,6.436,12181.6
6.432,6.454,6.337,6.389,11454.2
6.402,6.433,6.338,6.385,3129.5
6.386,6.463,6.385,6.442,20846.4
6.434,6.616,6.426,6.596,9801.2
6.589,6.589,6.516,6.534,9762.6
6.541,6.578,6.52,6.543,2904.4
6.542,6.583,6.517,6.579,54722.5
6.576,6.582,6.516,6.517,4446.8
6.528,6.558,6.489,6.519,3934.9
6.518,6.541,6.42,6.473,20577.9
6.472,6.482,6.341,6.399,15000.6
6.405,6.515,6.389,6.469,16202.9
6.472,6.52,6.448,6.506,3980.7
6.495,6.506,6.381,6.381,4189.1
6.385,6.412,6.214,6.231,6854.6
6.221,6.281,6.086,6.19,29551.6
6.189,6.228,6.167,6.208,21979.7
6.205,6.237,5.905,6.146,27158.5
6.143,6.229,6.067,6.187,11078.4
6.186,6.47,6.153,6.459,17377.4
6.459,6.569,6.364,6.546,24817.6
6.54,6.713,6.511,6.686,7400.6
6.696,6.811,6.62,6.799,8425.2
6.799,6.83,6.739,6.803,4581.5
6.795,6.819,6.747,6.819,6259.4
6.818,6.902,6.763,6.763,16962.3
6.761,6.774,6.663,6.721,4273.2
6.727,6.761,6.67,6.676,3765.2
6.669,6.669,6.535,6.612,6061.6
6.581,6.67,6.528,6.657,7745.6
6.643,6.66,6.565,6.578,4819.3
6.581,6.606,6.402,6.414,3565.2
6.423,6.591,6.391,6.573,4599.0
6.581,6.754,6.565,6.747,9539.0
6.751,6.892,6.723,6.776,18469.1
6.781,6.839,6.744,6.786,8318.6
6.786,6.978,6.738,6.91,17640.2
6.914,7.011,6.912,6.975,11868.3
6.968,7.022,6.943,6.962,6922.8
6.96,7.023,6.914,6.922,6803.3
6.942,6.958,6.87,6.874,6338.0
6.887,6.922,6.843,6.855,4872.3
6.846,6.888,6.792,6.851,3936.0
6.846,6.859,6.791,6.814,2937.6
6.812,6.834,6.771,6.78,2864.9
6.775,6.869,6.758,6.861,2891.0
6.856,6.938,6.783,6.937,5063.1
6.939,7.161,6.905,7.124,19410.5
7.107,7.155,6.958,6.959,14438.6
6.963,7.061,6.953,7.003,2184.9
7.008,7.028,6.863,6.91,16885.7
6.902,6.905,6.793,6.842,7899.0
