Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.0262,0.06794,0.0262,0.032921,5481266.0
0.032931,0.033066,0.031962,0.031985,2620613.0
0.031801,0.032402,0.03152,0.031565,1600778.0
0.031459,0.032008,0.030912,0.032008,1167585.0
0.032003,0.03237,0.030276,0.030428,1366761.0
0.030478,0.030738,0.02915,0.029639,2052203.0
0.029645,0.03052,0.02934,0.030221,3177777.0
0.030221,0.03118,0.029216,0.030583,2413157.0
0.030605,0.031638,0.030386,0.031064,4348086.0
0.030995,0.030995,0.029779,0.03026,2114040.0
0.030214,0.030481,0.028252,0.028647,4204647.0
0.028792,0.028792,0.027355,0.028124,3343269.0
0.028009,0.028671,0.026849,0.028138,10427378.0
0.028172,0.029107,0.028017,0.028966,13883931.0
0.029069,0.02944,0.028541,0.029336,4923320.0
0.029431,0.029431,0.028632,0.028634,1088367.0
0.028641,0.029868,0.028309,0.029058,1627309.0
0.029109,0.029109,0.028036,0.028059,1940563.0
0.028018,0.029715,0.028018,0.029584,735373.0
0.029475,0.029475,0.028477,0.028763,1083826.0
0.028937,0.028992,0.028172,0.028234,656111.0
0.028223,0.028389,0.027561,0.027665,745030.0
0.027703,0.028813,0.027433,0.02765,308528.0
0.027802,0.028221,0.027098,0.0272,4784618.0
0.027196,0.02733,0.025282,0.025595,9733509.0
0.025656,0.025879,0.024489,0.024512,3307352.0
0.024626,0.024817,0.023679,0.024116,4284275.0
0.024059,0.024388,0.022664,0.023098,1854907.0
0.02321,0.024936,0.02321,0.024597,3685094.0
0.02477,0.026325,0.02477,0.025977,2297727.0
0.025907,0.0262,0.025315,0.025476,3339639.0
0.025519,0.027237,0.025519,0.026741,2663722.0
0.026687,0.026914,0.025844,0.026171,4422834.0
0.026254,0.027535,0.026171,0.027535,3094324.0
0.027327,0.027398,0.025993,0.027153,2456551.0
0.026973,0.027931,0.026973,0.027524,1581199.0
0.027505,0.027846,0.027185,0.027694,843016.0
0.027644,0.02796,0.026735,0.027613,940434.0
0.027393,0.027903,0.02721,0.027498,1818726.0
0.027626,0.028632,0.027555,0.027842,1810403.0
0.027829,0.028535,0.027307,0.028338,1098058.0
