Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.07084,0.07223,0.07077,0.07152,226299.1
0.07177,0.0722,0.07177,0.07205,118802.8
0.07173,0.07223,0.07034,0.07064,167584.1
0.07106,0.07222,0.0707,0.07222,351826.8
0.07199,0.07229,0.07141,0.0715,366541.6
0.07183,0.07282,0.07,0.07232,146324.6
0.07224,0.07224,0.07053,0.07067,222583.4
0.07066,0.07066,0.067,0.06893,531721.1
0.06929,0.07059,0.06877,0.07014,476272.5
0.07019,0.07145,0.06965,0.06986,154762.5
0.06986,0.07145,0.06965,0.07105,731501.0
0.071,0.07204,0.07013,0.07096,490931.5
0.0707,0.07094,0.06962,0.07073,665566.1
0.07073,0.07231,0.07073,0.07203,216305.9
0.07193,0.07306,0.07193,0.07194,386176.3
0.0723,0.0723,0.07136,0.0716,424633.2
0.0716,0.07176,0.07116,0.07156,559364.4
0.07156,0.07242,0.07149,0.07242,92633.5
0.07255,0.07356,0.07254,0.07326,815509.8
0.07323,0.07347,0.07218,0.07262,449265.0
0.07259,0.07281,0.07165,0.07253,230699.3
0.0722,0.07243,0.07092,0.07179,104226.3
0.07175,0.07243,0.0712,0.07234,248884.1
0.07238,0.07306,0.07215,0.07271,179154.9
0.07286,0.07286,0.07214,0.07214,19980.2
0.07179,0.07245,0.07077,0.07111,26761.4
0.07069,0.07218,0.06986,0.07176,322931.5
0.07168,0.07259,0.07168,0.07242,75852.4
0.07238,0.07245,0.0687,0.07145,409292.5
0.07116,0.07264,0.07011,0.07206,183917.5
0.0721,0.07341,0.07146,0.07332,133535.4
0.07329,0.07437,0.07278,0.07394,398646.2
0.0737,0.07405,0.07306,0.07393,186715.5
0.07362,0.07452,0.07362,0.07429,87486.2
0.07429,0.07441,0.07354,0.07372,513173.8
0.07353,0.07381,0.07309,0.07309,28756.4
0.07319,0.07381,0.07299,0.07328,225905.9
0.0735,0.07397,0.07312,0.07397,158291.4
0.07403,0.075,0.07394,0.07426,262351.5
0.07447,0.07451,0.07272,0.07356,272306.8
0.07306,0.07306,0.07171,0.07271,130754.3
0.07274,0.07277,0.07136,0.07165,113465.3
0.07159,0.07179,0.0697,0.0697,351896.6
0.06976,0.07248,0.06976,0.07242,239391.6
0.0725,0.07306,0.0719,0.07276,189041.8
0.07258,0.07357,0.07238,0.07266,716734.0
0.07285,0.07409,0.07272,0.074,194094.3
0.07414,0.07533,0.07414,0.07484,413880.1
0.07491,0.07525,0.07465,0.07479,171623.7
0.07509,0.0754,0.07462,0.07496,357528.8
0.07477,0.07503,0.07435,0.07446,119858.4
0.07446,0.07489,0.07446,0.07483,38052.1
0.07501,0.07529,0.07418,0.07418,6790.7
0.0743,0.07452,0.07327,0.07368,102363.7
0.07368,0.07401,0.07342,0.07373,9974.8
0.07319,0.07339,0.07276,0.07306,18670.5
0.07365,0.0746,0.07365,0.07398,9881.3
0.0737,0.07393,0.07353,0.07379,11567.7
0.07429,0.07494,0.07419,0.07462,34923.4
0.07434,0.07682,0.07434,0.07603,116807.5
0.07603,0.07617,0.07546,0.07575,33913.8
0.07591,0.0778,0.07591,0.07731,174957.6
0.07746,0.07877,0.07685,0.07805,65511.6
0.07782,0.08075,0.07744,0.08075,179802.0
0.08089,0.08312,0.07843,0.07916,370391.3
0.07902,0.08312,0.07869,0.07972,713817.7
0.07957,0.08073,0.07912,0.08017,139844.8
0.08001,0.08001,0.07755,0.07837,258851.2
0.0788,0.07883,0.07803,0.07865,87174.4
0.07889,0.0789,0.07817,0.07873,84353.5
0.07876,0.07902,0.07783,0.07853,228318.0
0.07853,0.07942,0.07818,0.07917,278548.4
0.07915,0.07942,0.07829,0.07873,158122.1
0.07877,0.07994,0.07876,0.07994,89193.0
0.07955,0.08002,0.07875,0.07963,111386.5
0.07962,0.08027,0.07888,0.08027,169644.4
0.07967,0.07968,0.07834,0.07834,133972.8
0.07833,0.07878,0.07773,0.07773,56524.0
0.07769,0.07785,0.07712,0.07751,228762.3
0.07772,0.07837,0.0775,0.07777,70696.5
0.07795,0.07837,0.07778,0.07825,193940.0
0.07836,0.07961,0.07836,0.07934,231242.3
0.07936,0.08021,0.07888,0.07888,241246.8
0.07894,0.07932,0.07798,0.07848,168249.6
0.07788,0.07933,0.07783,0.07933,97517.8
0.07849,0.07907,0.07793,0.07902,328000.4
0.07895,0.07895,0.0759,0.0759,309102.8
0.07632,0.07681,0.0751,0.07573,257935.2
0.07622,0.07701,0.07621,0.07658,227866.0
0.07644,0.0774,0.07644,0.07723,235157.7
0.07723,0.0773,0.07623,0.07696,188266.3
0.07675,0.07751,0.07675,0.07703,98427.7
0.07695,0.07695,0.07602,0.07602,109794.6
0.07614,0.07721,0.07556,0.0771,90819.9
0.07678,0.07764,0.07664,0.07664,45166.8
0.07656,0.07667,0.07586,0.07607,102107.7
0.07612,0.07618,0.07537,0.07597,459443.6
0.07595,0.07672,0.0757,0.07672,48512.5
0.07664,0.07677,0.07653,0.07664,162288.8
0.0764,0.07682,0.07638,0.07662,7136.4
0.07653,0.07739,0.07653,0.07733,78379.7
0.07708,0.07758,0.07702,0.07737,97891.6
0.07702,0.07791,0.07658,0.07786,326940.7
0.078,0.07931,0.07572,0.07633,371209.8
0.07626,0.0772,0.07528,0.07581,128022.5
0.07575,0.07593,0.07321,0.0741,466793.0
0.07406,0.07511,0.07349,0.07511,143469.9
0.07516,0.07576,0.07462,0.0756,141080.6
0.07566,0.07612,0.07416,0.07416,274609.0
0.07407,0.07447,0.07216,0.07435,428860.1
0.07427,0.0743,0.07154,0.07177,277612.7
0.07174,0.07278,0.07039,0.07151,451098.4
0.07151,0.07232,0.07127,0.07212,124405.6
0.0721,0.0721,0.07008,0.07054,117843.0
0.07011,0.07116,0.06969,0.07116,135943.6
0.07108,0.07311,0.07093,0.0728,81863.2
0.07255,0.07348,0.07182,0.07333,74999.9
0.07347,0.07352,0.0708,0.0715,133246.8
0.07133,0.07351,0.07109,0.07227,347352.3
