Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
1.2205,1.248,1.2171,1.243,58868.9
1.2411,1.2549,1.2377,1.246,3648.4
1.2422,1.2741,1.2192,1.2316,100943.2
1.2386,1.2614,1.2291,1.2427,17493.0
1.2441,1.2661,1.2371,1.2402,9807.3
1.2448,1.2591,1.208,1.2582,7702.2
1.2552,1.272,1.2491,1.2491,5770.2
1.2359,1.2425,1.1922,1.23,10615.1
1.2289,1.2712,1.2282,1.2509,44941.3
1.2456,1.259,1.2194,1.2295,26686.2
1.2342,1.2843,1.2336,1.2843,7334.9
1.2846,1.3049,1.2534,1.2716,55476.8
1.2728,1.3115,1.2615,1.2931,56186.5
1.2874,1.2971,1.2774,1.2831,28609.1
1.2828,1.34,1.2807,1.3059,78137.4
1.3095,1.3221,1.2968,1.3096,27403.8
1.3098,1.3337,1.3098,1.3193,48964.8
1.315,1.3292,1.2964,1.3164,11589.6
1.3113,1.45,1.3076,1.4,210280.5
1.3995,1.5525,1.3689,1.5244,149261.2
1.5217,1.551,1.4527,1.4742,241188.0
1.4777,1.4839,1.389,1.4021,128396.3
1.4021,1.424,1.3687,1.3929,49820.5
1.3882,1.4062,1.3714,1.4062,15693.5
1.4047,1.4216,1.3955,1.4053,72964.7
1.4035,1.4071,1.3665,1.3765,32046.7
1.3734,1.39,1.3572,1.3828,18559.7
1.3795,1.3846,1.3657,1.3718,17434.3
1.3753,1.3915,1.302,1.3915,21606.9
1.3938,1.4382,1.3764,1.4344,50811.6
1.4364,1.4925,1.4144,1.4846,57577.7
1.4847,1.4982,1.4309,1.4367,65728.4
1.4393,1.4687,1.4242,1.4435,6422.9
1.4363,1.4445,1.4187,1.4289,8195.1
1.4247,1.4345,1.3942,1.4071,11106.0
1.3992,1.4007,1.362,1.3739,27091.1
1.3697,1.3843,1.3697,1.3746,14659.8
1.3715,1.3896,1.362,1.3861,39523.9
1.388,1.3985,1.38,1.3826,10489.3
1.3842,1.3842,1.3444,1.3538,13238.3
1.352,1.3563,1.33,1.353,23699.2
1.3537,1.3604,1.3454,1.356,16332.3
1.3597,1.3669,1.325,1.326,32793.4
1.3289,1.365,1.3207,1.3544,28469.9
1.3541,1.3865,1.3521,1.3725,24428.6
1.3685,1.3725,1.3498,1.3518,15971.8
1.359,1.3627,1.3429,1.35,31111.0
1.3498,1.3566,1.3382,1.351,53833.6
1.3524,1.3632,1.3487,1.3514,6258.4
1.3515,1.3624,1.343,1.3624,34083.0
1.3623,1.3702,1.3539,1.3567,44356.4
1.3574,1.3772,1.3539,1.3619,48955.7
1.3572,1.3635,1.3429,1.3429,53462.1
1.3429,1.3563,1.3335,1.3516,34421.8
1.3516,1.3658,1.3437,1.3658,25500.3
