Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.7213,0.7306,0.7176,0.7233,419183.6
0.7232,0.7312,0.7215,0.7242,261871.3
0.7242,0.7318,0.7092,0.7173,442053.8
0.7174,0.7208,0.708,0.7183,407957.3
0.7185,0.7248,0.7116,0.7126,167187.1
0.7132,0.7145,0.6982,0.7098,279683.4
0.7099,0.712,0.6943,0.6961,206495.9
0.6961,0.6961,0.67,0.6821,412436.0
0.6822,0.7035,0.6814,0.6961,266242.7
0.6964,0.7078,0.6855,0.6885,260557.1
0.688,0.7077,0.6861,0.7049,228040.5
0.7019,0.7037,0.6907,0.6979,207008.2
0.6984,0.7038,0.6928,0.7015,130338.4
0.7015,0.7127,0.7003,0.7101,286158.3
0.7101,0.7182,0.7068,0.7135,227331.4
0.7128,0.7156,0.7081,0.7123,135665.6
0.7123,0.7157,0.7102,0.7128,112995.8
0.7125,0.7235,0.7123,0.7219,381660.6
0.7207,0.722,0.7119,0.7134,210928.4
0.7133,0.7194,0.7116,0.7142,147356.9
0.7144,0.7195,0.7028,0.7078,213404.1
0.7077,0.7086,0.6952,0.7031,316821.1
0.7037,0.7082,0.6965,0.7066,255514.2
0.7062,0.7089,0.7039,0.7085,129960.7
0.708,0.7089,0.6992,0.6996,117802.7
0.6996,0.7038,0.6868,0.6885,309581.7
0.6886,0.6949,0.6701,0.6904,846813.8
0.6901,0.697,0.688,0.6948,132433.4
0.6944,0.6991,0.6634,0.6871,374876.7
0.6864,0.6897,0.6749,0.6816,187708.3
0.6809,0.6982,0.6759,0.6959,198976.9
0.696,0.7036,0.6898,0.6985,310861.7
0.6985,0.6985,0.6891,0.6928,258899.8
0.6927,0.6973,0.6862,0.6971,423400.1
0.6969,0.7005,0.6967,0.6991,304895.4
0.6989,0.6997,0.6913,0.6949,384395.1
0.695,0.7002,0.6937,0.6966,191624.5
0.6967,0.6971,0.6929,0.6964,239418.7
0.697,0.7019,0.6946,0.6954,425882.9
0.6957,0.6961,0.6786,0.6837,850526.7
0.6839,0.6839,0.6705,0.6809,452343.1
0.6811,0.6846,0.6733,0.6765,125284.7
0.6761,0.6848,0.6604,0.6615,243372.8
0.6612,0.6836,0.661,0.6787,295982.1
0.6793,0.694,0.6739,0.6939,121558.8
0.6939,0.7024,0.6907,0.6925,305558.2
0.6931,0.7015,0.6913,0.6991,129518.6
0.699,0.7094,0.6983,0.7049,261737.2
0.7049,0.7106,0.7029,0.7099,135355.5
0.71,0.7199,0.71,0.7193,182079.8
0.719,0.7225,0.7125,0.7145,183770.8
0.7146,0.7153,0.7096,0.7108,151259.2
0.7111,0.7256,0.7111,0.7225,238286.1
0.7215,0.7263,0.7125,0.7143,128673.6
0.7143,0.7183,0.7058,0.7103,199557.6
0.7102,0.7157,0.7058,0.7058,91899.1
0.7058,0.712,0.703,0.7078,58158.9
0.7078,0.7078,0.7001,0.7003,105723.0
0.7,0.7042,0.6978,0.7036,68425.3
0.7032,0.7044,0.6966,0.7024,172137.0
0.7023,0.7085,0.7019,0.7066,99923.2
0.7061,0.7061,0.6951,0.7003,145636.4
0.7006,0.7042,0.6968,0.7009,109268.4
0.7015,0.7058,0.7014,0.7033,59210.9
0.7033,0.707,0.6972,0.7016,106440.4
0.701,0.7109,0.701,0.707,105115.3
0.7069,0.7098,0.7049,0.7091,50440.0
0.7091,0.7124,0.7062,0.7081,75136.4
0.7078,0.7117,0.7019,0.7085,60799.5
0.7076,0.7118,0.7057,0.7116,93052.3
0.7115,0.7119,0.7051,0.7071,107724.5
0.7072,0.7076,0.6963,0.6988,112889.2
0.6988,0.7072,0.6988,0.7063,118730.0
0.7064,0.7085,0.7004,0.7004,99390.7
0.7005,0.7039,0.6985,0.6994,76298.4
0.6993,0.7035,0.6982,0.7003,78396.1
0.7005,0.7025,0.6978,0.6993,54419.9
0.6984,0.7067,0.6984,0.7006,45298.7
0.7001,0.7028,0.6967,0.7019,54947.6
0.7019,0.7033,0.6941,0.6944,38813.7
0.6949,0.6987,0.6921,0.6972,41622.0
0.6985,0.7004,0.6953,0.6956,28609.5
0.6952,0.6974,0.6912,0.6914,56821.8
0.6911,0.6926,0.6854,0.6879,93857.7
0.6875,0.6922,0.6844,0.6917,56344.8
0.6918,0.6967,0.6914,0.6942,91317.2
0.6942,0.6947,0.6814,0.6819,107789.8
0.6816,0.6892,0.6775,0.6811,170828.5
0.6815,0.6892,0.6815,0.6879,63247.4
0.6875,0.6987,0.6858,0.6938,460588.7
0.6937,0.6978,0.6874,0.6975,113656.0
0.697,0.7073,0.697,0.704,174287.4
0.7035,0.706,0.6979,0.6979,76301.0
0.6986,0.7047,0.6923,0.7026,68548.8
0.703,0.7063,0.7014,0.7025,71291.3
0.7029,0.7056,0.6995,0.7041,96529.4
0.7045,0.7054,0.696,0.6984,62536.4
0.6977,0.7055,0.6958,0.7041,62210.2
0.7047,0.7054,0.696,0.6965,71502.7
0.6969,0.6988,0.6944,0.6984,54550.4
0.6985,0.7051,0.698,0.7044,68046.8
0.7044,0.7057,0.7005,0.703,100231.5
0.7033,0.7034,0.686,0.6892,93135.9
0.6889,0.6923,0.6829,0.6837,107436.9
0.6836,0.6865,0.6759,0.6789,195242.0
0.6793,0.6822,0.6673,0.6745,164070.0
0.6752,0.6794,0.6695,0.6789,87019.6
0.679,0.6822,0.6782,0.6809,44882.9
0.6811,0.6814,0.6681,0.6714,73254.1
0.6707,0.6715,0.6595,0.67,188298.9
0.6687,0.669,0.6394,0.6422,372556.6
0.6419,0.6494,0.6337,0.6425,286489.7
0.6421,0.6493,0.64,0.6454,165499.8
0.6454,0.646,0.629,0.6309,249853.5
0.6312,0.6402,0.6262,0.6397,217847.9
0.6393,0.6534,0.6365,0.6513,188299.2
0.6512,0.6601,0.6458,0.6579,171910.2
0.6581,0.6593,0.6323,0.6366,317537.2
0.6362,0.6459,0.6337,0.6399,132943.7
0.64,0.6448,0.6365,0.6367,104975.4
0.6367,0.6426,0.6367,0.6392,104157.9
0.6386,0.6404,0.634,0.6345,86498.2
0.6345,0.6359,0.587,0.5926,727747.0
0.5917,0.5934,0.5025,0.572,1681139.4
0.5717,0.5752,0.5303,0.5745,718098.1
0.5732,0.5885,0.564,0.5824,289849.7
0.5819,0.5925,0.567,0.5909,200458.9
0.591,0.5935,0.575,0.5861,158634.0
0.585,0.5857,0.5611,0.5613,338074.8
0.5612,0.5652,0.5386,0.5615,516194.4
0.5615,0.5697,0.5463,0.5687,211046.7
0.5687,0.5794,0.5653,0.5794,200178.3
0.5789,0.5905,0.5745,0.5891,178299.7
0.5895,0.59,0.5779,0.5873,105863.6
0.5874,0.5878,0.577,0.5863,123301.3
0.5871,0.596,0.585,0.591,104604.7
0.5911,0.6036,0.5911,0.6007,97651.4
0.6007,0.6015,0.5878,0.592,77012.5
0.5923,0.5929,0.5626,0.5655,357249.3
0.5658,0.5803,0.5651,0.5735,326189.8
0.5744,0.5883,0.5737,0.577,168915.8
0.5777,0.5814,0.5464,0.5471,385451.9
0.5473,0.5599,0.5363,0.5576,566593.6
0.5575,0.5575,0.5291,0.5291,401607.5
0.5295,0.5489,0.5278,0.5426,286763.4
0.5433,0.5617,0.5422,0.5604,151194.0
0.5603,0.575,0.5579,0.5727,146922.2
0.5732,0.5848,0.5725,0.5799,143754.7
0.581,0.5861,0.5775,0.5815,139483.1
0.5814,0.5856,0.5779,0.5808,99881.8
0.5806,0.5845,0.565,0.5721,90954.6
0.5721,0.5721,0.5551,0.5569,125590.0
0.557,0.5795,0.555,0.5762,134689.0
0.5751,0.5808,0.5748,0.5757,112683.4
0.5764,0.5793,0.572,0.576,63350.8
0.576,0.5788,0.573,0.5768,60853.7
0.5767,0.5831,0.574,0.5812,110556.6
0.5814,0.5837,0.5725,0.5727,95448.4
0.573,0.591,0.5725,0.5879,204914.1
0.5881,0.5907,0.5827,0.5906,153975.4
0.5902,0.5911,0.586,0.5894,82526.3
0.5893,0.5959,0.5871,0.5908,252529.4
0.5905,0.6068,0.5901,0.6041,300097.7
0.6041,0.6219,0.6021,0.6172,433038.9
0.6167,0.623,0.608,0.6194,142979.1
0.6192,0.6324,0.6187,0.6264,307896.0
0.6266,0.6336,0.6226,0.6227,193028.8
0.6227,0.6267,0.6171,0.6177,134040.6
0.6185,0.6274,0.6177,0.6234,159025.6
0.6234,0.631,0.6234,0.6295,100599.8
0.6297,0.6348,0.6273,0.6311,322657.3
0.6307,0.6312,0.6277,0.6293,167616.6
0.6294,0.6369,0.6294,0.6338,169345.7
0.6342,0.6367,0.629,0.6306,98497.9
0.6306,0.6387,0.6273,0.6308,301829.8
0.6309,0.6374,0.6289,0.6325,84537.7
0.6326,0.6507,0.6325,0.6501,168639.7
0.649,0.6555,0.6442,0.6522,217787.8
0.6525,0.657,0.6473,0.6508,205142.2
0.6514,0.6701,0.6499,0.6605,280793.5
0.6605,0.6622,0.6522,0.6532,206735.6
0.654,0.6571,0.6489,0.6496,155150.2
0.6498,0.6557,0.6498,0.6531,64844.9
0.6542,0.6569,0.6474,0.6474,157997.8
0.648,0.648,0.6374,0.6412,359899.8
0.6405,0.6414,0.6312,0.6349,192468.7
0.6358,0.6496,0.6357,0.6487,188445.3
0.6478,0.6551,0.638,0.6427,451215.9
0.6418,0.6496,0.6391,0.6472,216733.7
0.6472,0.6487,0.638,0.6434,258934.1
0.6437,0.6527,0.6415,0.6448,169053.3
0.6447,0.6509,0.6402,0.6431,159250.2
0.6429,0.6433,0.6349,0.6357,128954.7
0.6361,0.6399,0.6183,0.6215,433258.8
0.6202,0.6318,0.6199,0.6281,148223.2
0.6286,0.631,0.6237,0.6253,127763.2
0.6248,0.6263,0.6165,0.6231,89895.7
0.6234,0.626,0.6215,0.6243,65609.1
0.6241,0.6296,0.6225,0.6243,150422.9
0.6239,0.6243,0.6105,0.6182,259236.8
0.6185,0.6314,0.6172,0.6244,127875.6
0.626,0.6287,0.6237,0.6286,52994.2
0.6292,0.6302,0.6191,0.6249,54836.2
0.6246,0.6295,0.6213,0.6217,52000.0
0.6232,0.6255,0.6126,0.6129,159680.6
0.6125,0.618,0.6084,0.6154,101817.3
0.6152,0.6212,0.6119,0.6202,141747.4
0.6206,0.6228,0.6136,0.6161,63691.6
0.6159,0.6207,0.6105,0.6194,62845.7
0.6194,0.6271,0.6189,0.6204,75482.7
0.6212,0.6262,0.6212,0.6252,69763.6
0.6252,0.6253,0.6154,0.6198,163269.1
0.6196,0.6246,0.615,0.6246,115207.2
0.6249,0.6295,0.6095,0.6103,220821.2
0.6105,0.6218,0.6094,0.6169,217820.1
0.6162,0.6207,0.6138,0.6198,107874.5
0.6197,0.6202,0.612,0.6126,112490.0
0.6127,0.6179,0.6123,0.6168,58507.6
0.6172,0.6227,0.6164,0.6205,182233.3
0.6202,0.6202,0.615,0.6152,46826.5
0.615,0.6154,0.6105,0.6127,80872.8
0.6123,0.6223,0.6118,0.6216,63273.2
0.6211,0.6251,0.6175,0.6199,75476.5
0.6206,0.6289,0.6206,0.6244,116393.6
0.6242,0.6242,0.618,0.6205,42418.4
0.6205,0.6225,0.6179,0.6201,31259.5
0.6203,0.6213,0.6162,0.6185,39122.4
0.6172,0.6183,0.6148,0.6178,34670.4
0.6177,0.6212,0.6167,0.6186,34189.5
0.6184,0.6186,0.6148,0.6161,39768.1
0.6164,0.621,0.6163,0.62,56185.8
0.6202,0.6202,0.6158,0.6158,60192.7
0.616,0.6161,0.6106,0.6131,250213.9
0.613,0.6151,0.6102,0.611,77937.8
0.6103,0.6117,0.6012,0.6015,154373.5
0.6013,0.6031,0.5906,0.5966,313189.3
0.5967,0.6054,0.5967,0.6031,96586.8
0.602,0.6027,0.5983,0.6001,122929.8
0.5998,0.601,0.5936,0.6008,105831.4
0.6006,0.6007,0.5892,0.5915,81119.6
0.5911,0.5931,0.5865,0.5873,203388.4
0.5869,0.5939,0.5869,0.5937,74958.7
0.5937,0.5961,0.5848,0.5863,113694.7
0.5861,0.5942,0.5861,0.5938,64609.9
0.5938,0.5997,0.5924,0.598,60086.3
0.599,0.6034,0.5977,0.601,65920.9
0.6013,0.6013,0.5927,0.5945,38645.3
0.5954,0.6037,0.5954,0.6029,32846.0
0.6029,0.6042,0.5995,0.5997,80285.6
0.6003,0.6007,0.5949,0.5951,18633.9
0.5955,0.6036,0.5952,0.6002,53190.7
0.5997,0.6022,0.5978,0.5984,33431.1
0.5987,0.5994,0.5934,0.5934,48172.1
0.5939,0.5941,0.5835,0.5874,137696.8
0.5873,0.5955,0.5864,0.5952,36307.7
0.5951,0.5998,0.5926,0.5998,85955.7
0.5993,0.6011,0.5959,0.5959,30976.5
0.5958,0.5994,0.5952,0.5982,48073.5
0.5978,0.6022,0.5963,0.6007,111451.1
0.6011,0.6105,0.5977,0.6079,209746.1
0.6084,0.6145,0.6079,0.6136,321955.2
0.6131,0.6135,0.6086,0.61,132673.9
0.61,0.6133,0.6077,0.6091,91956.3
0.6093,0.6129,0.6019,0.6066,442840.3
