Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.506,0.5681,0.506,0.525,14353.5
0.524,0.5248,0.5124,0.5149,13570.5
0.5105,0.5173,0.5071,0.5162,59476.9
0.5158,0.5187,0.5092,0.5092,45012.9
0.5108,0.5134,0.4988,0.4988,13077.4
0.497,0.5098,0.497,0.5069,24593.4
0.5052,0.5095,0.5045,0.5094,9204.2
0.5152,0.52,0.5132,0.5132,7678.0
0.5148,0.5223,0.5148,0.5202,19774.8
0.5219,0.5277,0.5217,0.5258,14825.5
0.5238,0.5288,0.5238,0.528,9623.4
0.529,0.5305,0.5272,0.5292,30317.5
0.5285,0.5324,0.5224,0.5237,34452.0
0.5245,0.5261,0.5205,0.5213,20386.3
0.5216,0.5229,0.5192,0.5194,10922.9
0.5181,0.5186,0.5114,0.5186,38049.4
0.5181,0.5193,0.5095,0.5137,73780.1
0.5136,0.5215,0.5131,0.5158,83330.8
0.5149,0.5195,0.5129,0.5191,34514.9
0.5189,0.5244,0.5134,0.5235,41647.5
0.5226,0.5261,0.5207,0.5239,41890.6
0.5236,0.528,0.5209,0.5256,39402.0
0.5255,0.5321,0.5247,0.5308,43391.7
0.5302,0.5311,0.519,0.5231,44850.3
0.5232,0.5309,0.5209,0.528,50797.0
0.5278,0.5316,0.5265,0.5291,65276.2
0.529,0.5329,0.5239,0.5327,62238.6
0.533,0.5369,0.5322,0.5326,62935.6
0.5324,0.5324,0.5273,0.5282,19384.5
0.5281,0.5335,0.5268,0.5325,13328.7
0.533,0.5367,0.5279,0.5364,20780.4
0.5378,0.5392,0.5324,0.5355,35228.5
0.5352,0.5374,0.5298,0.5373,40396.8
0.5375,0.5375,0.5291,0.5291,24219.0
0.5322,0.5347,0.5269,0.5307,6172.4
0.5307,0.5314,0.5239,0.5239,18957.6
0.5232,0.5294,0.5232,0.5239,39143.7
0.5283,0.5296,0.5251,0.5294,17635.8
0.5291,0.5291,0.5239,0.5239,4668.9
0.5239,0.5293,0.5232,0.5235,8580.9
0.5225,0.5256,0.5196,0.5256,3195.0
0.5255,0.5266,0.5211,0.5212,3047.3
0.5212,0.5251,0.5212,0.5234,363.9
0.5246,0.5253,0.524,0.525,9422.1
0.5217,0.5217,0.5139,0.5139,3625.5
0.5145,0.5145,0.509,0.509,16416.9
