Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.169,0.1747,0.1688,0.1747,12230.5
0.1747,0.1795,0.1745,0.1788,32576.5
0.1799,0.18,0.1721,0.1721,90924.6
0.1739,0.1771,0.1739,0.1771,6050.6
0.1784,0.179,0.1763,0.1768,17215.5
0.1768,0.1776,0.173,0.1759,4372.2
0.1763,0.1771,0.1727,0.174,5604.1
0.1723,0.1723,0.1661,0.1684,13101.4
0.1699,0.1723,0.1699,0.1699,10928.1
0.1721,0.1731,0.1673,0.1673,7524.5
0.1683,0.1773,0.1683,0.1747,7481.3
0.1742,0.1742,0.1698,0.1698,11382.7
0.1714,0.1723,0.169,0.1719,21636.1
0.1729,0.1773,0.1729,0.1758,40190.9
0.1765,0.1765,0.1738,0.1738,3819.0
0.1744,0.1745,0.1744,0.1745,1744.7
0.1745,0.1745,0.1742,0.1742,704.9
0.1733,0.1763,0.1733,0.1763,11480.9
0.1771,0.1792,0.1761,0.1761,13605.3
0.1765,0.1769,0.1737,0.175,31593.7
0.1752,0.1753,0.173,0.173,19997.9
0.1748,0.1748,0.1706,0.1739,33046.4
0.1726,0.1745,0.1711,0.1745,10859.3
0.1737,0.1761,0.1737,0.1761,49952.3
0.1757,0.1758,0.173,0.173,28222.7
0.173,0.1733,0.1685,0.1696,29076.8
0.1688,0.1709,0.1673,0.1706,33584.7
0.1702,0.1714,0.17,0.1714,4724.0
0.1711,0.1726,0.164,0.1705,68030.2
0.1706,0.173,0.1676,0.1701,11984.8
0.1699,0.178,0.1692,0.178,24574.2
0.1783,0.1784,0.1763,0.1779,8960.6
0.1775,0.1788,0.1755,0.1779,28089.9
0.1775,0.1787,0.1766,0.1776,8331.8
0.1774,0.1774,0.1761,0.1764,8744.2
0.1768,0.1768,0.1755,0.176,5313.6
0.1753,0.1773,0.1749,0.1764,8922.3
0.1749,0.1768,0.1745,0.1768,2466.5
0.1771,0.1786,0.1749,0.1749,1943.6
0.1747,0.1747,0.171,0.1716,10732.8
0.1723,0.1723,0.1693,0.1711,13826.2
0.1707,0.1707,0.169,0.1696,1950.7
0.1702,0.1716,0.1663,0.1663,76960.2
0.1667,0.1708,0.1666,0.1697,13298.2
0.1687,0.1706,0.1681,0.1706,18254.9
0.1706,0.1726,0.1706,0.171,32098.5
0.1714,0.1727,0.1708,0.1726,10675.6
0.173,0.1758,0.1729,0.1749,32137.8
0.1755,0.178,0.1752,0.178,20893.5
0.178,0.178,0.1779,0.178,35665.8
0.1772,0.178,0.1758,0.1765,24884.5
0.1764,0.1786,0.176,0.1769,32505.7
0.1768,0.1769,0.1759,0.1767,2418.2
0.1763,0.1767,0.1747,0.1747,11144.6
0.1747,0.1759,0.173,0.174,4450.0
0.1741,0.1749,0.1739,0.1749,4384.3
0.1752,0.1774,0.1752,0.1774,5082.6
0.1771,0.1787,0.1771,0.1787,1115.4
0.1784,0.1814,0.1781,0.1803,10701.5
0.1799,0.1819,0.1796,0.1804,4197.8
0.1817,0.1834,0.1817,0.1818,19260.8
0.1821,0.1821,0.1795,0.1795,10226.3
0.1804,0.1808,0.1795,0.1795,2255.0
0.1798,0.1821,0.1798,0.1813,11557.5
0.1813,0.1813,0.1783,0.1787,12943.6
0.1801,0.1863,0.1801,0.1863,154887.8
0.1869,0.2131,0.1855,0.1966,693008.6
0.1967,0.1967,0.1885,0.1911,164595.8
0.1909,0.192,0.1838,0.1839,138510.4
0.1839,0.1853,0.1836,0.1845,69573.9
0.1841,0.1842,0.1823,0.1837,52075.6
0.1837,0.1837,0.1791,0.1804,67138.1
0.181,0.1819,0.1794,0.1818,68108.9
0.1814,0.1829,0.1795,0.1795,61666.1
0.1795,0.1814,0.1795,0.1814,11689.5
0.1808,0.1827,0.1801,0.1827,26230.3
0.1822,0.1852,0.1818,0.183,23060.9
0.1847,0.1863,0.1819,0.1819,86213.4
0.1822,0.1828,0.1807,0.1826,33017.7
0.1828,0.183,0.1805,0.1807,6041.9
0.1803,0.1811,0.1802,0.1806,6630.6
0.1801,0.181,0.1797,0.1802,17671.8
0.1802,0.1802,0.1783,0.1783,48032.4
0.1783,0.1783,0.1762,0.1766,10933.2
0.1761,0.1774,0.1761,0.1774,6078.3
0.1769,0.178,0.1769,0.178,4246.2
0.1758,0.1765,0.1747,0.175,12439.1
0.1742,0.1742,0.173,0.173,1014.1
0.1749,0.1766,0.1749,0.1766,16024.9
0.1752,0.1768,0.1752,0.1768,11264.4
0.1761,0.1844,0.1754,0.1833,133334.4
0.1825,0.1835,0.1808,0.1823,62043.6
0.1818,0.1831,0.1805,0.1823,22898.8
0.1819,0.1836,0.1802,0.1825,31527.7
0.1834,0.1843,0.1806,0.1806,15209.8
0.1805,0.1807,0.1791,0.1807,36467.2
0.1801,0.1801,0.1786,0.1796,2828.6
0.1796,0.1803,0.1796,0.1803,6164.9
0.181,0.181,0.1805,0.1805,4827.9
