Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
5.047,5.092,5.003,5.003,23.3
5.087,5.142,5.056,5.142,1215.4
5.134,5.2,4.993,5.05,2807.6
5.0,5.091,4.993,4.993,1230.5
5.054,5.071,5.03,5.03,3553.6
4.995,5.064,4.939,5.007,2710.4
5.001,5.001,4.898,4.898,273.2
4.898,4.912,4.809,4.884,2735.1
4.896,5.007,4.896,4.982,2162.8
5.015,5.2,5.015,5.041,9996.1
5.046,5.104,5.043,5.044,2227.7
5.044,5.055,4.951,4.979,3399.7
4.979,4.984,4.911,4.982,2679.9
4.984,5.01,4.973,4.983,3200.3
4.993,5.085,4.948,5.015,4640.6
4.995,5.033,4.969,5.025,4571.7
5.027,5.048,4.995,5.025,2872.3
4.998,5.306,4.998,5.306,8050.7
5.272,5.331,5.145,5.15,8675.7
5.15,5.15,5.078,5.136,8342.2
5.146,5.159,4.979,5.118,6972.6
5.168,5.246,5.063,5.132,2966.0
5.167,5.208,5.101,5.101,308.5
5.127,5.146,5.1,5.106,708.5
5.129,5.129,5.058,5.058,1606.0
5.044,5.044,4.922,4.922,4371.4
4.924,4.982,4.9,4.943,1597.8
4.925,4.972,4.925,4.93,1897.1
4.93,4.93,4.62,4.821,12645.1
4.822,4.907,4.769,4.847,4830.3
4.867,4.97,4.807,4.97,2966.3
5.0,5.183,4.967,5.053,6523.0
5.063,5.089,5.033,5.083,126.6
5.071,5.103,5.028,5.103,1266.2
5.082,5.09,5.036,5.06,1132.4
5.052,5.076,4.971,5.013,2457.6
5.009,5.048,4.993,4.993,2036.9
5.034,5.034,4.987,4.987,938.3
4.989,5.074,4.989,5.074,90.9
4.985,4.985,4.904,4.904,1944.2
4.902,4.928,4.876,4.928,1737.5
4.924,4.927,4.885,4.885,1056.5
4.887,4.892,4.8,4.812,2212.7
4.823,4.94,4.806,4.883,8149.0
4.87,4.943,4.846,4.943,1111.7
4.914,4.973,4.909,4.915,1873.1
4.923,4.996,4.915,4.996,552.6
4.966,5.04,4.955,5.009,1986.5
5.025,5.029,4.994,5.016,794.3
5.016,5.039,4.995,5.034,2119.2
5.021,5.06,4.966,4.972,5583.4
4.988,5.023,4.974,5.0,1860.4
4.974,5.011,4.966,4.982,9205.2
4.982,5.028,4.911,4.946,5064.5
4.948,4.954,4.89,4.913,1141.3
