Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
8.735,8.903,8.727,8.775,14559.15
8.765,8.932,8.745,8.88,29337.69
8.887,8.98,8.667,8.762,22715.97
8.763,8.831,8.684,8.763,15681.44
8.773,8.825,8.691,8.71,10761.38
8.707,8.724,8.543,8.694,20991.13
8.69,8.703,8.54,8.568,7667.28
8.568,8.571,8.193,8.31,38602.42
8.306,8.592,8.296,8.515,12714.28
8.532,11.884,8.532,10.886,432279.51
10.891,11.448,9.706,9.706,237274.18
9.727,9.944,9.511,9.769,36873.48
9.761,9.97,9.617,9.772,45874.34
9.764,9.901,9.696,9.798,38841.66
9.794,10.366,9.767,10.273,125481.98
10.282,10.676,10.072,10.131,112012.07
10.136,10.138,9.975,10.014,44480.36
10.022,10.179,9.949,10.123,22886.07
10.127,10.27,10.051,10.11,32359.15
10.108,10.224,10.052,10.134,42089.15
10.131,10.139,9.827,9.914,31211.25
9.914,10.001,9.76,9.897,39450.96
9.914,10.081,9.808,10.067,19879.48
10.053,10.213,9.949,10.073,42793.04
10.08,10.198,9.962,9.972,33159.09
9.967,10.044,9.699,9.77,27651.29
9.761,9.832,9.547,9.794,29890.12
9.79,10.108,9.748,10.02,38312.88
10.018,10.086,9.518,10.0,54928.08
10.001,10.407,9.906,10.104,60524.95
10.105,10.131,9.826,10.076,32024.84
10.077,10.527,9.947,10.461,60447.12
10.467,10.551,10.305,10.382,37752.56
10.379,10.641,10.264,10.548,14849.71
10.549,10.661,10.357,10.457,21015.83
10.458,10.9,10.405,10.554,48120.85
10.567,10.645,10.415,10.437,29150.71
10.434,10.457,10.329,10.407,24788.84
10.411,10.547,10.411,10.456,21843.71
10.468,10.62,10.351,10.397,27292.11
10.383,10.444,10.231,10.336,23901.65
10.333,10.427,10.211,10.27,25851.7
10.269,10.375,10.027,10.05,15571.92
10.044,10.438,10.044,10.323,33782.98
10.337,10.477,10.284,10.433,21161.09
10.414,10.565,10.338,10.455,46411.81
10.455,10.742,10.44,10.689,42121.4
10.688,10.872,10.65,10.814,34030.83
10.809,11.012,10.799,10.814,36014.04
10.812,10.829,10.588,10.663,22016.99
10.67,10.725,10.477,10.494,50283.19
10.503,10.582,10.483,10.509,18773.38
10.511,10.556,10.432,10.514,16556.85
10.511,10.574,10.465,10.488,8753.33
10.486,10.574,10.398,10.463,10901.84
10.462,10.475,10.342,10.386,6993.65
10.384,10.455,10.356,10.41,4662.15
10.394,10.425,10.323,10.356,3703.99
10.376,10.436,10.374,10.432,3342.56
10.424,10.441,10.341,10.357,10554.35
10.357,10.387,10.325,10.327,25135.75
10.332,10.361,10.261,10.316,6622.38
10.323,10.357,10.206,10.283,21677.79
10.286,10.393,10.285,10.292,11485.75
10.299,10.327,10.243,10.315,10774.67
10.315,10.369,10.3,10.3,10849.13
10.302,10.352,10.255,10.259,4625.52
10.258,10.277,10.238,10.271,8973.94
10.271,10.394,10.2,10.373,14897.72
10.365,10.375,10.286,10.323,7353.46
10.32,10.323,10.23,10.288,12661.84
10.288,10.289,10.173,10.234,9943.67
10.246,10.35,10.242,10.334,10838.34
10.347,10.37,10.305,10.308,5325.79
10.32,10.36,10.301,10.352,5086.46
10.357,10.393,10.309,10.391,6607.95
10.397,10.422,10.323,10.323,4056.0
10.302,10.374,10.274,10.279,7141.56
10.285,10.449,10.255,10.449,3606.01
10.436,10.488,10.334,10.348,9474.01
10.352,10.486,10.346,10.47,6443.68
10.47,10.521,10.457,10.472,4168.86
10.457,10.497,10.326,10.348,31216.82
10.332,10.35,10.069,10.112,12010.99
10.106,10.245,10.103,10.2,8109.02
10.206,10.27,10.201,10.228,6509.41
10.221,10.239,10.051,10.052,4914.68
10.051,10.141,9.957,10.026,10281.57
10.025,10.135,10.023,10.096,5694.84
10.089,10.169,10.068,10.149,4220.43
10.143,10.23,10.1,10.199,3886.66
10.192,10.322,10.177,10.304,6053.29
10.304,10.308,10.158,10.158,4113.91
10.18,10.22,10.095,10.188,5807.72
10.2,10.214,10.084,10.096,5103.94
10.099,10.204,10.087,10.192,6755.97
10.195,10.228,10.095,10.17,5485.82
10.138,10.192,10.123,10.171,3365.29
10.172,10.202,10.15,10.154,3133.12
10.175,10.247,10.143,10.219,2403.71
10.226,10.288,10.213,10.288,5494.87
10.284,10.304,10.24,10.283,3448.05
10.282,10.283,10.068,10.098,4911.24
10.082,10.163,9.979,10.017,5900.03
10.002,10.056,9.949,10.0,11074.66
9.995,10.057,9.833,9.936,9100.92
9.957,10.031,9.909,10.024,4205.4
10.025,10.06,10.007,10.052,2031.9
10.05,10.05,9.833,9.906,4466.57
9.902,9.908,9.711,9.883,17534.8
9.869,9.875,9.555,9.582,27984.99
9.591,9.671,9.43,9.555,18352.8
9.548,9.687,9.546,9.678,13453.4
9.679,9.681,9.381,9.418,15341.43
9.415,9.567,9.288,9.567,11317.92
9.56,9.762,9.538,9.72,14631.3
9.727,9.802,9.627,9.77,9678.86
9.777,9.808,9.386,9.457,15691.57
9.404,9.594,9.388,9.477,9497.96
9.474,9.531,9.408,9.408,7503.99
9.412,9.553,9.412,9.527,4847.52
9.489,9.504,9.401,9.404,9941.05
9.416,9.424,8.783,8.868,66115.44
8.83,9.091,7.751,8.743,144432.44
8.733,8.8,7.95,8.793,78560.75
8.778,8.995,8.701,8.934,16272.08
8.913,9.107,8.675,9.041,25912.55
9.028,9.059,8.82,8.926,9992.66
8.923,8.925,8.526,8.532,14115.57
8.531,8.586,8.23,8.487,23127.16
8.48,8.664,8.313,8.664,11678.2
8.657,8.752,8.591,8.698,21026.69
8.698,8.856,8.65,8.853,20514.19
8.848,8.85,8.724,8.762,9251.76
8.756,8.769,8.65,8.745,6019.69
8.753,8.899,8.749,8.84,15468.93
8.835,9.004,8.835,8.965,7614.21
8.959,8.986,8.801,8.878,12638.68
8.886,8.897,8.428,8.491,30843.59
8.499,8.717,8.492,8.657,21754.69
8.652,8.849,8.619,8.695,16866.73
8.711,8.771,8.291,8.301,39245.71
8.307,8.557,8.18,8.536,46559.38
8.522,8.522,8.122,8.179,38413.86
8.175,8.439,8.076,8.321,34271.03
8.314,8.526,8.31,8.512,18157.51
8.505,8.619,8.443,8.57,22742.14
8.574,8.78,8.559,8.669,15125.61
8.69,8.765,8.669,8.731,13352.86
8.744,8.825,8.719,8.731,4535.45
8.733,8.794,8.559,8.673,9360.56
8.657,8.666,8.399,8.399,16710.01
8.4,8.706,8.382,8.643,9268.26
8.637,8.746,8.632,8.724,8066.98
8.724,8.827,8.714,8.805,5958.99
8.809,8.856,8.744,8.792,5550.81
8.773,8.885,8.773,8.86,5076.75
8.855,8.929,8.73,8.73,6921.75
8.763,9.128,8.755,9.083,27216.69
9.084,9.241,9.003,9.241,20154.84
9.245,9.397,9.209,9.275,24493.49
9.276,9.4,9.269,9.333,6592.79
9.335,9.621,9.324,9.602,21935.42
9.614,9.815,9.505,9.742,37401.23
9.719,9.735,9.599,9.718,20216.56
9.71,9.996,9.71,9.839,16392.8
9.841,9.94,9.73,9.787,13608.67
9.785,9.854,9.611,9.617,13382.99
9.622,9.716,9.596,9.663,7823.57
9.663,9.703,9.596,9.703,13455.76
9.707,9.774,9.648,9.686,22254.05
9.684,9.686,9.61,9.645,9048.03
9.663,9.724,9.607,9.673,16479.35
9.668,9.67,9.584,9.618,3263.64
9.62,9.626,9.491,9.55,11013.34
9.547,9.627,9.504,9.539,3719.83
9.547,9.851,9.53,9.845,4613.81
9.829,9.921,9.728,9.83,8285.53
9.846,9.894,9.739,9.783,4246.85
9.793,10.0,9.791,9.872,19893.63
9.879,9.94,9.817,9.895,7895.42
9.893,9.921,9.844,9.879,6993.71
9.903,10.06,9.903,10.056,7795.23
10.062,10.101,9.902,9.949,10022.3
9.936,9.936,9.735,9.787,12137.75
9.763,9.777,9.626,9.729,6540.04
9.735,9.927,9.735,9.899,4598.87
9.906,9.985,9.719,9.763,14546.51
9.759,9.907,9.72,9.889,7692.72
9.909,9.916,9.734,9.82,9629.17
9.82,9.976,9.795,9.804,9433.57
9.835,9.904,9.821,9.859,5853.6
9.878,9.898,9.758,9.768,8263.09
9.768,9.789,9.442,9.471,27256.29
9.5,9.607,9.47,9.561,10589.26
9.568,9.599,9.471,9.535,7011.07
9.472,9.512,9.374,9.461,8674.87
9.462,9.503,9.389,9.499,8854.45
9.515,9.632,9.515,9.539,5087.83
9.503,9.503,9.288,9.399,5519.42
9.39,9.534,9.377,9.444,1388.12
9.453,9.486,9.438,9.476,2006.13
9.466,9.466,9.284,9.332,3814.55
9.358,9.385,9.292,9.315,1604.3
9.345,9.346,9.131,9.151,9265.6
9.173,9.253,9.09,9.216,10047.75
9.212,9.378,9.212,9.341,9539.99
9.367,9.386,9.246,9.293,6534.84
9.293,9.348,9.205,9.331,3257.7
9.321,9.416,9.313,9.313,6713.81
9.312,9.408,9.311,9.352,6632.21
9.37,9.37,9.262,9.336,29640.86
9.314,9.408,9.244,9.408,11943.1
9.415,9.479,9.195,9.209,12657.13
9.205,9.394,9.198,9.335,12042.54
9.325,9.37,9.254,9.348,4802.2
9.343,9.394,9.275,9.28,3503.05
9.282,9.368,9.27,9.368,7960.98
9.365,9.491,9.35,9.385,12116.48
9.377,9.399,9.34,9.346,795.08
9.346,9.346,9.255,9.279,957.64
9.274,9.418,9.274,9.415,8711.71
9.392,9.448,9.342,9.43,5013.39
9.428,9.529,9.403,9.473,6791.96
9.46,9.465,9.361,9.381,2819.0
9.389,9.415,9.33,9.35,5744.42
9.354,9.354,9.291,9.335,4574.98
9.336,9.358,9.307,9.35,2032.72
9.349,9.399,9.349,9.39,4550.11
9.381,9.383,9.307,9.307,7953.53
9.36,9.36,9.302,9.329,710.94
9.333,9.334,9.232,9.236,1604.55
9.235,9.235,9.161,9.207,2898.45
9.203,9.223,9.172,9.176,2436.39
9.173,9.191,9.039,9.046,7164.96
9.036,9.083,8.919,8.999,15444.78
9.038,9.12,9.02,9.105,10418.42
9.09,9.135,9.048,9.062,4852.33
9.047,9.081,8.963,9.075,3549.46
9.074,9.075,8.885,8.926,6457.16
8.913,8.952,8.812,8.836,5550.38
8.85,8.944,8.841,8.936,8276.5
8.931,8.976,8.803,8.823,13114.33
8.846,8.969,8.846,8.969,3661.84
8.971,9.125,8.96,9.092,6942.07
9.095,9.119,9.067,9.077,5375.41
9.068,9.164,9.022,9.097,10407.99
9.118,9.222,9.118,9.222,3308.59
9.201,9.208,9.135,9.142,2500.72
9.138,9.138,9.022,9.022,3160.1
9.032,9.161,9.032,9.105,2253.35
9.103,9.132,9.084,9.101,3515.35
9.118,9.118,8.977,8.977,877.01
8.989,8.991,8.831,8.931,3710.16
8.931,9.036,8.921,9.036,5040.18
9.034,9.063,8.991,9.041,2007.3
9.039,9.055,9.005,9.006,2645.36
9.0,9.019,8.951,9.006,4406.92
9.01,9.099,8.97,9.083,5651.6
9.065,9.223,9.029,9.187,11425.22
9.21,9.33,9.2,9.33,11476.91
9.327,9.331,9.262,9.282,5979.72
9.279,9.343,9.279,9.293,14550.31
9.269,9.269,9.17,9.198,12277.03
9.209,9.209,9.148,9.169,7859.23
9.182,9.235,9.182,9.183,5577.49
9.198,9.213,9.104,9.172,6385.43
9.154,9.154,8.936,8.95,10428.86
8.941,9.096,8.896,9.096,7247.68
9.077,9.382,9.077,9.317,20089.11
9.329,9.697,9.319,9.646,28581.81
9.643,9.672,9.492,9.53,7720.38
9.528,9.531,9.34,9.351,3005.74
9.367,9.373,9.196,9.266,7298.19
9.24,9.261,9.215,9.247,753.26
9.246,9.278,9.183,9.236,2762.94
9.249,9.303,9.184,9.212,6685.49
9.206,9.299,9.188,9.251,2186.29
9.258,9.258,9.05,9.052,6154.31
9.057,9.135,9.022,9.036,14784.37
9.036,9.036,8.908,8.948,14012.45
8.932,8.97,8.784,8.823,23573.79
8.813,8.91,8.81,8.862,9973.74
8.853,8.942,8.831,8.875,5288.88
