Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
2.7764,2.8024,2.7271,2.7496,7547.7
2.7445,2.778,2.7343,2.7453,26397.4
2.7468,2.773,2.6501,2.6858,19350.3
2.6774,2.7515,2.6672,2.7281,5906.8
2.7302,2.7343,2.6826,2.6826,5412.9
2.678,2.686,2.6163,2.6773,16544.1
2.677,2.6943,2.638,2.6489,2864.4
2.6476,2.6476,2.5392,2.5828,11317.2
2.579,2.6723,2.5789,2.6421,10321.0
2.6444,2.7572,2.6444,2.66,4307.1
2.66,2.7506,2.6401,2.6957,2809.5
2.6928,2.7083,2.6143,2.6515,4686.2
2.6493,2.6733,2.6068,2.666,7677.4
2.6641,2.7343,2.6635,2.714,3328.2
2.716,2.7237,2.6845,2.687,3682.3
2.6833,2.6897,2.6381,2.6395,4558.5
2.6415,2.6468,2.6068,2.6144,3138.4
2.6095,2.6481,2.6068,2.6422,6165.5
2.6394,2.6774,2.6358,2.6513,8082.3
2.651,2.6648,2.6231,2.6435,4400.1
2.6492,2.6555,2.6111,2.6313,4488.2
2.6334,2.6421,2.59,2.637,29531.0
2.6389,2.7213,2.6221,2.6992,40640.2
2.6991,2.7165,2.6785,2.6896,13030.1
2.6917,2.6993,2.6664,2.6664,6203.6
2.6769,2.7791,2.6409,2.7596,18971.1
2.7559,2.7835,2.614,2.6794,48192.7
2.6826,2.7478,2.665,2.691,59296.0
2.6954,2.7198,2.5466,2.7198,24819.8
2.7019,2.7577,2.6669,2.7361,7285.6
2.739,2.7937,2.6623,2.7662,7304.0
2.7632,2.8214,2.7508,2.7865,12885.7
2.7874,2.8308,2.7528,2.8185,7376.0
2.8187,2.8308,2.7807,2.8021,5410.4
2.8069,2.8291,2.7807,2.7994,5812.7
2.7988,2.7994,2.7515,2.7515,4341.3
2.7511,2.814,2.7406,2.7769,15191.3
2.7718,2.7944,2.7572,2.7944,6442.8
2.7901,2.8025,2.7555,2.758,14557.3
2.7584,2.7584,2.6729,2.6891,12092.3
2.6892,2.6956,2.6409,2.6701,5498.3
2.6708,2.7506,2.6708,2.7316,7936.7
2.7286,2.7591,2.6555,2.662,11512.6
2.6614,2.7771,2.6515,2.7373,36047.9
2.7362,2.7478,2.6876,2.7237,6713.1
2.7117,2.7807,2.7117,2.7434,16207.6
2.7408,2.8077,2.7153,2.8054,14150.9
2.8052,2.8108,2.7781,2.7817,4990.8
2.7797,2.8219,2.7797,2.8011,8083.8
2.8008,2.8095,2.7857,2.7959,31614.8
2.7914,2.8118,2.7654,2.7726,32795.1
2.774,2.8585,2.7735,2.8204,52709.7
2.8211,2.854,2.8141,2.8291,29889.3
2.8263,2.8422,2.7915,2.8223,31313.9
2.8219,2.8219,2.7406,2.7458,26621.2
2.7464,2.7566,2.7277,2.7482,32471.1
2.7492,2.8077,2.7421,2.7797,19366.6
2.7836,2.814,2.7706,2.8123,10484.4
2.8049,2.8188,2.7964,2.8113,22846.0
2.8107,2.8801,2.8068,2.8776,99978.7
2.8777,2.8782,2.8493,2.867,70713.3
2.8578,2.8727,2.8164,2.8418,85890.9
2.8348,2.8375,2.7712,2.7796,48781.5
2.7863,2.8035,2.7654,2.7857,6810.9
2.7851,2.7851,2.7469,2.7629,2456.1
2.7638,2.7948,2.763,2.767,711.2
2.7679,2.7908,2.7612,2.767,5166.9
2.7684,2.8029,2.7545,2.8014,4990.4
2.7946,2.7978,2.7712,2.7921,2469.3
2.7887,2.8422,2.7569,2.8238,5468.6
2.8168,2.8336,2.7831,2.7923,18513.0
2.7932,2.8206,2.7545,2.7718,12890.1
2.7722,2.7807,2.7522,2.7629,6618.8
2.7674,2.7835,2.7215,2.7401,2217.8
2.738,2.7417,2.7215,2.7334,1233.5
2.7312,2.7616,2.7297,2.7604,1647.6
2.7512,2.7512,2.7281,2.7285,1147.7
2.7309,2.7571,2.7237,2.7237,1889.5
2.7215,2.7572,2.7181,2.7543,1294.6
2.7524,2.7613,2.7309,2.7316,5783.8
2.7332,2.7462,2.7236,2.7285,3117.6
2.7311,2.7506,2.7287,2.7309,765.3
2.7281,2.7506,2.6912,2.6912,2421.5
2.6946,2.7051,2.6723,2.6862,1425.9
2.6847,2.6906,2.6631,2.6888,2017.3
2.691,2.706,2.6807,2.6969,956.3
2.696,2.6995,2.6547,2.6601,2270.0
2.6515,2.6807,2.6326,2.6514,4524.0
2.6565,2.6807,2.6565,2.675,1573.3
2.671,2.7086,2.671,2.6969,3112.3
2.6892,2.6908,2.6551,2.676,8336.1
2.6755,2.6933,2.6738,2.6933,1007.0
2.6863,2.7408,2.6808,2.7031,26261.3
2.7079,2.7596,2.6813,2.7513,3838.7
2.7527,2.7764,2.706,2.7087,5953.0
2.7087,2.7087,2.6807,2.6937,3051.8
2.7005,2.7031,2.6753,2.7007,1336.6
2.6933,2.734,2.6809,2.7324,3353.3
2.7324,2.7406,2.7214,2.7349,2592.5
2.7353,2.7549,2.735,2.7466,6760.4
2.7485,2.7708,2.7475,2.7619,2663.6
2.7639,2.7871,2.7512,2.7823,11587.7
2.7688,2.7938,2.7544,2.7807,1782.9
2.7862,2.8219,2.753,2.7759,5703.1
2.7722,2.7973,2.7049,2.726,1805.8
2.7238,2.7478,2.6465,2.6754,9598.7
2.6802,2.706,2.6393,2.6942,2022.2
2.6966,2.706,2.6669,2.6764,1507.5
2.6821,2.6821,2.5715,2.573,13719.8
2.5719,2.5825,2.5208,2.5583,5454.8
2.5456,2.5556,2.4743,2.4769,8319.2
2.4805,2.495,2.4066,2.449,5228.3
2.4457,2.5009,2.4457,2.4998,4717.4
2.4945,2.4975,2.4335,2.4453,1973.9
2.4416,2.4685,2.41,2.4669,10246.8
2.4655,2.5427,2.4576,2.5214,2791.9
2.5223,2.5484,2.4942,2.5441,6608.7
2.5434,2.5499,2.4418,2.4605,13255.9
2.4603,2.486,2.4468,2.4471,3115.5
2.445,2.4685,2.4158,2.4158,2349.4
2.4222,2.4422,2.4211,2.4306,2218.5
2.4293,2.434,2.4049,2.4169,9916.5
2.4165,2.4247,2.1599,2.22,45695.1
2.2169,2.4428,1.8,2.0953,97893.8
2.0882,2.1007,1.9139,2.0639,23505.7
2.04,2.1343,2.034,2.1109,5249.2
2.1007,2.1699,2.05,2.1516,25984.7
2.1527,2.1663,2.0921,2.1454,3694.1
2.1441,2.1441,2.0328,2.0328,3145.2
2.0326,2.0598,1.938,2.05,12170.5
2.0434,2.1292,2.0064,2.1198,4892.0
2.1188,2.1775,2.1075,2.1603,12498.9
2.1629,2.1775,2.142,2.1588,4035.1
2.1571,2.159,2.1137,2.129,4208.0
2.1285,2.1389,2.0972,2.1329,2947.1
2.1333,2.168,2.1155,2.1426,5612.0
2.1433,2.2,2.1416,2.1799,3732.3
2.1788,2.1788,2.1253,2.1509,2355.2
2.1497,2.1586,2.0402,2.0413,5360.9
2.0588,2.1111,2.0588,2.0927,7091.8
2.0944,2.1391,2.0727,2.0727,4107.6
2.078,2.0805,1.92,1.9386,15658.2
1.9284,2.026,1.91,2.0128,17838.9
2.0059,2.0059,1.9057,1.9078,12313.6
1.9093,1.9736,1.8985,1.9546,3982.5
1.9528,2.0066,1.9528,2.0039,5024.2
2.0026,2.0271,1.9917,2.011,3830.2
2.0236,2.0821,2.0236,2.0491,9039.4
2.0556,2.0685,2.0464,2.05,1451.2
2.0547,2.0663,2.0403,2.0476,2295.0
2.0434,2.051,2.0,2.0271,2588.8
2.0299,2.0322,1.9645,1.9655,10811.2
1.9621,2.0555,1.9548,2.0404,6749.1
2.038,2.068,2.038,2.0494,2485.3
2.0525,2.0638,2.0297,2.044,1862.1
2.0436,2.0518,2.0259,2.0406,3086.9
2.034,2.0557,2.0319,2.0449,1759.4
2.0525,2.0585,2.0072,2.0072,4268.0
2.0373,2.0829,2.0337,2.0727,6545.0
2.0755,2.08,2.0507,2.0774,7519.6
2.083,2.087,2.0659,2.0775,4990.6
2.0775,2.096,2.0665,2.0736,2676.0
2.0824,2.1142,2.0758,2.0963,6406.4
