Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.9872,1.071,0.9729,1.0225,212079.0
1.0226,1.069,1.0178,1.0263,97684.0
1.02,1.072,1.0067,1.0109,131471.0
1.0111,1.0367,0.9904,1.0122,155935.0
1.0112,1.0745,0.9674,0.9763,185289.0
0.9704,0.9704,0.9104,0.9307,68855.0
0.9288,0.94,0.8985,0.9023,35570.0
0.9039,0.9039,0.757,0.8735,92043.0
0.8797,0.898,0.879,0.8833,14196.0
0.8788,0.8836,0.8505,0.8509,20859.0
0.8643,0.9155,0.8643,0.8795,53558.0
0.8803,0.8948,0.8775,0.8917,32976.0
0.8879,0.9635,0.8872,0.9537,79387.0
0.9627,0.9713,0.9322,0.9373,98653.0
0.9373,0.941,0.9198,0.9205,50984.0
0.9223,0.9355,0.9129,0.9258,25550.0
0.9238,0.9377,0.9225,0.9306,51919.0
0.9371,0.9623,0.9275,0.953,64324.0
0.9474,0.9474,0.9197,0.927,35611.0
0.9302,0.988,0.9156,0.919,68821.0
0.9194,0.9312,0.9052,0.9092,35594.0
0.9138,0.9352,0.9087,0.9275,19935.0
0.9311,0.9373,0.9201,0.9309,123826.0
0.9275,0.95,0.9275,0.9384,20694.0
0.9396,0.9654,0.9289,0.9292,28142.0
0.929,0.9984,0.929,0.9315,57620.0
0.9203,0.9483,0.915,0.9385,22347.0
0.9385,0.964,0.9357,0.9493,30584.0
0.9484,0.9504,0.8878,0.9107,58485.0
0.9061,0.9087,0.88,0.8912,44856.0
0.8967,0.952,0.8967,0.9308,23508.0
0.9211,0.9239,0.9086,0.9207,9399.0
0.913,0.914,0.9014,0.9079,6952.0
0.9061,0.9289,0.8977,0.9047,34887.0
0.9056,0.9253,0.9016,0.9228,41635.0
0.9231,0.9271,0.9156,0.9163,27533.0
0.913,0.917,0.9058,0.9058,27314.0
0.9086,0.917,0.9017,0.9103,32402.0
0.9114,0.9152,0.9007,0.9033,40015.0
0.9032,0.9032,0.8808,0.8914,54711.0
0.8903,0.9007,0.8747,0.9007,22846.0
0.9007,0.9025,0.8849,0.887,10475.0
0.8939,0.8939,0.8669,0.868,27572.0
0.869,0.8979,0.869,0.8959,4467.0
0.8983,0.9221,0.8963,0.9109,13942.0
0.9064,0.9221,0.9016,0.9067,8455.0
0.9055,0.9155,0.9052,0.9105,13044.0
0.9105,0.94,0.9098,0.9135,26358.0
0.9133,0.9157,0.9076,0.9097,6189.0
0.91,0.9162,0.9065,0.9103,20222.0
0.9089,0.9196,0.9084,0.9166,37554.0
0.9168,0.9266,0.9141,0.9189,20842.0
0.919,0.923,0.9073,0.9108,7209.0
0.9106,0.9219,0.9032,0.918,37753.0
0.9098,0.9274,0.8985,0.9088,31347.0
0.9109,0.9149,0.9036,0.9119,3990.0
0.915,0.922,0.915,0.922,2613.0
0.9202,0.9202,0.9096,0.9109,5623.0
0.9077,0.9212,0.9068,0.9151,8910.0
0.9114,0.9131,0.9037,0.9042,1341.0
0.902,0.9109,0.902,0.9105,9693.0
0.9117,0.9117,0.8905,0.8905,4637.0
0.896,0.9022,0.8915,0.8991,13560.0
0.9014,0.9029,0.899,0.9029,8287.0
0.899,0.9008,0.8901,0.8945,15598.0
0.8937,0.907,0.8926,0.9009,3138.0
0.8993,0.9106,0.8993,0.9035,14084.0
0.9047,0.9052,0.9021,0.9052,3852.0
0.9064,0.9064,0.8984,0.9034,2263.0
0.9023,0.9064,0.8983,0.9053,16295.0
0.9078,0.913,0.9035,0.9035,20353.0
0.9029,0.9029,0.88,0.8807,46099.0
0.8811,0.8964,0.8811,0.8964,49112.0
0.8993,0.9041,0.8962,0.8979,6701.0
0.8977,0.9075,0.8944,0.9042,20317.0
0.9037,0.907,0.8982,0.8991,7398.0
0.9011,0.9148,0.899,0.9148,9698.0
0.909,0.9287,0.909,0.9213,27759.0
0.9097,0.9477,0.9097,0.9429,18207.0
0.9431,0.9446,0.9141,0.9162,17598.0
0.9158,0.9452,0.9149,0.9208,25421.0
0.9208,0.9234,0.9155,0.9155,8749.0
0.9151,0.9219,0.9072,0.9112,2052.0
0.9103,0.9154,0.9056,0.9072,17536.0
0.9043,0.9247,0.9022,0.9247,21830.0
0.9301,0.9398,0.916,0.9228,35021.0
0.9219,0.9226,0.8871,0.9024,57615.0
0.906,0.9118,0.8905,0.8905,31036.0
0.8956,0.9113,0.8956,0.9047,11540.0
0.9069,0.9149,0.9025,0.9122,10417.0
0.9121,0.9188,0.9041,0.9144,3281.0
0.9195,0.9228,0.9124,0.9187,35760.0
0.9141,0.9162,0.9086,0.9086,3580.0
0.9115,0.9115,0.9005,0.9021,1592.0
0.904,0.9074,0.8975,0.899,39259.0
0.902,0.9059,0.8979,0.9059,25887.0
0.9019,0.905,0.8945,0.8986,4909.0
0.8986,0.9018,0.8951,0.9012,9979.0
0.9059,0.9059,0.899,0.8997,4833.0
0.8999,0.9058,0.8994,0.9033,15471.0
0.9016,0.9118,0.9016,0.9103,24358.0
0.9121,0.92,0.9103,0.9191,10262.0
0.9112,0.9112,0.8865,0.8865,20635.0
0.894,0.8969,0.88,0.8827,11637.0
0.878,0.881,0.8693,0.8724,17172.0
0.8711,0.8746,0.859,0.8604,3222.0
0.865,0.8805,0.8634,0.8805,32501.0
0.8781,0.8836,0.875,0.8817,2001.0
0.8711,0.8711,0.8606,0.8679,2695.0
0.867,0.867,0.8467,0.8614,52151.0
0.861,0.861,0.8251,0.8274,35055.0
0.839,0.8394,0.82,0.8348,38528.0
0.838,0.865,0.8365,0.8452,44143.0
0.8456,0.8456,0.822,0.8268,10911.0
0.8243,0.8339,0.8169,0.8308,30393.0
0.8361,0.8587,0.833,0.8534,4107.0
0.8508,0.8666,0.8463,0.8664,5378.0
0.8653,0.8659,0.8318,0.8318,54080.0
0.8353,0.8454,0.8338,0.8428,3700.0
0.8336,0.8382,0.8293,0.8334,3786.0
0.8294,0.8361,0.8294,0.8335,5289.0
