Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
2.959e-05,2.995e-05,2.948e-05,2.989e-05,10204441569.0
2.987e-05,3.017e-05,2.984e-05,2.998e-05,6496832864.0
3e-05,3.087e-05,2.988e-05,3.021e-05,22315103994.0
3.022e-05,3.105e-05,3.013e-05,3.067e-05,31398605117.0
3.067e-05,3.107e-05,3.038e-05,3.077e-05,13888406632.0
3.079e-05,3.304e-05,3.073e-05,3.29e-05,93880136400.0
3.291e-05,3.291e-05,3.129e-05,3.149e-05,45408529167.0
3.144e-05,3.155e-05,3.014e-05,3.068e-05,33657861542.0
3.068e-05,3.222e-05,3.063e-05,3.131e-05,28663845994.0
3.133e-05,3.242e-05,3.091e-05,3.097e-05,28148355385.0
3.097e-05,3.264e-05,3.095e-05,3.252e-05,24697973994.0
3.252e-05,3.298e-05,3.139e-05,3.175e-05,29726184380.0
3.177e-05,3.197e-05,3.119e-05,3.138e-05,16877934226.0
3.137e-05,3.184e-05,3.132e-05,3.166e-05,13072077002.0
3.168e-05,3.181e-05,3.138e-05,3.15e-05,14387970467.0
3.151e-05,3.153e-05,3.109e-05,3.147e-05,20314240485.0
3.146e-05,3.18e-05,3.134e-05,3.159e-05,9495362451.0
3.159e-05,3.194e-05,3.144e-05,3.191e-05,6937155117.0
3.19e-05,3.269e-05,3.175e-05,3.212e-05,17028315050.0
3.212e-05,3.222e-05,3.153e-05,3.197e-05,11539427173.0
3.197e-05,3.21e-05,3.144e-05,3.191e-05,14761111610.0
3.191e-05,3.199e-05,3.111e-05,3.145e-05,19554164422.0
3.146e-05,3.166e-05,3.106e-05,3.132e-05,17683373282.0
3.132e-05,3.154e-05,3.107e-05,3.152e-05,12015625969.0
3.152e-05,3.154e-05,3.115e-05,3.117e-05,8078378318.0
3.116e-05,3.137e-05,3.051e-05,3.061e-05,17861971423.0
3.061e-05,3.082e-05,3.011e-05,3.076e-05,26149605461.0
3.079e-05,3.115e-05,3.07e-05,3.112e-05,15426143409.0
3.113e-05,3.127e-05,2.96e-05,3.079e-05,42862800783.0
3.078e-05,3.09e-05,3.025e-05,3.051e-05,19398386279.0
3.048e-05,3.113e-05,3.013e-05,3.105e-05,14195586667.0
3.105e-05,3.113e-05,3.087e-05,3.093e-05,13480015881.0
3.092e-05,3.101e-05,3.067e-05,3.094e-05,14349058014.0
3.096e-05,3.097e-05,3.063e-05,3.084e-05,8213157694.0
3.085e-05,3.102e-05,3.076e-05,3.099e-05,5241233956.0
3.096e-05,3.102e-05,3.071e-05,3.082e-05,3948026473.0
3.084e-05,3.101e-05,3.072e-05,3.091e-05,6086532153.0
3.092e-05,3.103e-05,3.078e-05,3.094e-05,8409887571.0
3.094e-05,3.112e-05,3.073e-05,3.073e-05,5105660739.0
3.073e-05,3.076e-05,3.018e-05,3.027e-05,9322976220.0
3.027e-05,3.035e-05,2.982e-05,3.014e-05,9907388462.0
3.014e-05,3.025e-05,2.983e-05,2.998e-05,4503340182.0
2.998e-05,3.023e-05,2.947e-05,2.956e-05,10756572823.0
2.955e-05,3.031e-05,2.937e-05,3.007e-05,13540151258.0
3.007e-05,3.07e-05,3e-05,3.066e-05,13366478892.0
3.066e-05,3.106e-05,3.051e-05,3.072e-05,10815979544.0
3.071e-05,3.095e-05,3.062e-05,3.074e-05,7292047266.0
3.073e-05,3.11e-05,3.069e-05,3.088e-05,6369459592.0
3.09e-05,3.106e-05,3.081e-05,3.098e-05,4804299129.0
3.097e-05,3.118e-05,3.092e-05,3.115e-05,6736447062.0
3.115e-05,3.138e-05,3.105e-05,3.125e-05,10263903657.0
3.126e-05,3.157e-05,3.088e-05,3.095e-05,13997771540.0
3.096e-05,3.127e-05,3.093e-05,3.116e-05,6611959125.0
3.114e-05,3.122e-05,3.076e-05,3.089e-05,10915730826.0
3.088e-05,3.102e-05,3.065e-05,3.083e-05,2362747442.0
3.084e-05,3.109e-05,3.078e-05,3.091e-05,3288845891.0
3.093e-05,3.126e-05,3.082e-05,3.099e-05,2218894706.0
3.099e-05,3.1e-05,3.062e-05,3.064e-05,2846398331.0
3.065e-05,3.069e-05,3.045e-05,3.062e-05,1897467634.0
3.06e-05,3.066e-05,3.034e-05,3.043e-05,2158952852.0
3.044e-05,3.07e-05,3.037e-05,3.067e-05,2397981244.0
3.064e-05,3.116e-05,3.05e-05,3.081e-05,7873844386.0
3.08e-05,3.105e-05,3.071e-05,3.092e-05,5430915201.0
3.089e-05,3.144e-05,3.089e-05,3.128e-05,8839302245.0
3.129e-05,3.157e-05,3.106e-05,3.157e-05,9901914139.0
3.158e-05,3.195e-05,3.14e-05,3.14e-05,13743739970.0
3.141e-05,3.149e-05,3.119e-05,3.125e-05,8294687463.0
3.126e-05,3.147e-05,3.118e-05,3.128e-05,5005077579.0
3.127e-05,3.144e-05,3.1e-05,3.143e-05,15270768391.0
3.143e-05,3.181e-05,3.132e-05,3.169e-05,9139158836.0
3.172e-05,3.211e-05,3.143e-05,3.184e-05,28689011804.0
3.185e-05,3.197e-05,3.148e-05,3.166e-05,10471549291.0
3.166e-05,3.213e-05,3.161e-05,3.171e-05,15207831221.0
