Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.5038,0.5155,0.5038,0.5155,4581.7
0.5162,0.5238,0.5148,0.5238,3949.9
0.5237,0.5259,0.5152,0.5194,3630.5
0.5217,0.5251,0.5217,0.5251,1721.5
0.5264,0.5264,0.5172,0.5174,180.9
0.5164,0.5164,0.5054,0.516,18596.3
0.5153,0.5153,0.5124,0.5124,1490.2
0.515,0.515,0.4912,0.4912,7752.3
0.5013,0.5109,0.5013,0.5109,187.9
0.5162,0.5232,0.5162,0.5194,912.0
0.5194,0.5194,0.5194,0.5194,0.0
0.5179,0.5179,0.5147,0.5147,1756.0
0.5079,0.5079,0.5079,0.5079,10.4
0.521,0.5275,0.5193,0.5273,7566.8
0.5207,0.5207,0.5158,0.5159,3865.7
0.5159,0.5159,0.5159,0.5159,0.0
0.5212,0.5212,0.5013,0.5041,103968.5
0.5066,0.5132,0.5066,0.5132,1445.4
0.5154,0.5191,0.5145,0.5145,1728.0
0.5201,0.5201,0.5157,0.5157,96.3
0.5143,0.5197,0.5143,0.5197,4925.5
0.5194,0.5201,0.5194,0.5201,81.4
0.5203,0.5213,0.5154,0.5213,827.9
0.5225,0.5237,0.5184,0.5186,8795.0
0.5169,0.5174,0.5125,0.5136,8037.8
0.5133,0.5185,0.5036,0.5036,7742.5
0.5021,0.5057,0.4961,0.5038,2803.6
0.5037,0.5102,0.5037,0.5102,1262.4
0.5064,0.5064,0.4851,0.5014,6244.6
0.498,0.5071,0.4935,0.5031,4945.5
0.5059,0.5127,0.5029,0.5127,5182.4
0.514,0.5151,0.5131,0.5151,691.5
0.5115,0.5157,0.5106,0.5153,823.6
0.5129,0.5134,0.5091,0.5121,6257.9
0.5151,0.5273,0.5151,0.5273,4090.9
0.5262,0.5268,0.5229,0.5229,757.0
0.5229,0.5229,0.5229,0.5229,0.0
0.5263,0.5264,0.5263,0.5264,949.8
0.5261,0.5264,0.5216,0.5226,4360.3
0.522,0.522,0.512,0.512,1925.9
0.5103,0.5181,0.5102,0.5181,5279.8
0.5162,0.5177,0.5148,0.5151,9280.5
0.5168,0.5228,0.4994,0.4996,17981.2
0.5007,0.5065,0.4912,0.5065,10302.6
0.5058,0.5078,0.4988,0.5078,8263.3
0.5078,0.5125,0.5055,0.5066,1559.5
0.5035,0.5079,0.5016,0.5079,2269.9
0.5056,0.5146,0.5056,0.5146,760.6
0.5107,0.5159,0.5107,0.5159,1251.9
0.5159,0.5244,0.5147,0.5244,1500.4
0.5253,0.53,0.5223,0.5223,6285.2
0.5225,0.5279,0.5212,0.5212,12072.9
0.526,0.5276,0.5256,0.5256,2755.6
0.5264,0.5272,0.5231,0.5243,3565.2
0.523,0.523,0.5215,0.5215,284.6
0.5215,0.5215,0.5215,0.5215,0.0
0.5215,0.5248,0.5215,0.5239,4145.0
0.5239,0.524,0.5205,0.5211,1301.7
0.5216,0.5225,0.5216,0.5224,1583.8
0.5248,0.5249,0.5176,0.5176,1305.6
0.517,0.5175,0.514,0.5154,706.7
0.5162,0.5176,0.5098,0.5112,4827.9
0.5112,0.5134,0.5087,0.5119,5715.6
0.5083,0.5101,0.5023,0.5069,11911.9
0.507,0.5078,0.5047,0.5058,9990.9
0.5116,0.5149,0.5106,0.5132,3113.2
0.5111,0.5168,0.5111,0.5147,1189.4
0.5161,0.519,0.5144,0.5182,6746.0
0.5196,0.5198,0.5141,0.5144,9463.3
0.5138,0.5149,0.5107,0.5144,7727.9
0.5157,0.5198,0.5124,0.5181,8252.8
0.5201,0.5202,0.5156,0.5179,1319.2
0.5112,0.5112,0.5112,0.5112,14.4
0.5113,0.5159,0.5112,0.5159,2454.2
0.5124,0.517,0.5124,0.517,607.6
0.517,0.517,0.517,0.517,0.0
0.5124,0.5166,0.5124,0.5166,1110.5
0.517,0.517,0.516,0.516,244.8
0.5156,0.5156,0.5107,0.5107,3763.3
0.5166,0.5166,0.5166,0.5166,96.7
0.5138,0.5138,0.5117,0.5117,307.9
0.5118,0.5118,0.5118,0.5118,113.8
0.5104,0.5104,0.508,0.5087,1421.3
0.5087,0.5087,0.5058,0.5086,2723.5
0.5057,0.51,0.5057,0.51,196.4
0.5097,0.5225,0.5097,0.5192,10184.7
0.5203,0.5243,0.5185,0.5187,12484.0
0.5248,0.5405,0.5248,0.5353,31158.0
0.5312,0.5665,0.5307,0.5566,113682.4
0.5529,0.5529,0.5227,0.5271,78748.2
0.5322,0.5439,0.5234,0.5406,23342.8
0.5373,0.5461,0.5373,0.5406,7279.2
0.5382,0.554,0.538,0.5468,8131.9
0.5518,0.5599,0.5412,0.5452,36759.5
0.5472,0.5485,0.5301,0.5328,10585.5
0.53,0.5318,0.5275,0.5292,7564.1
0.5253,0.5253,0.5162,0.5178,13770.5
0.5204,0.521,0.504,0.5136,34066.8
0.5133,0.52,0.5133,0.5182,2625.2
0.5162,0.5209,0.5147,0.5187,7375.8
0.5171,0.5228,0.5171,0.5219,2233.8
0.5235,0.5244,0.519,0.5242,7715.3
0.5209,0.5209,0.5133,0.5146,10839.8
0.517,0.5185,0.5132,0.5132,1450.1
0.5129,0.5259,0.51,0.5162,91679.0
0.5169,0.5169,0.508,0.5108,5289.2
0.5135,0.5145,0.5094,0.5145,2674.9
0.5126,0.5145,0.5124,0.5125,6472.9
0.5134,0.5134,0.506,0.506,6034.6
0.5059,0.5158,0.4994,0.5085,29258.0
0.5037,0.5155,0.4962,0.4962,19427.0
0.5003,0.5095,0.4859,0.4926,12334.0
0.4948,0.5036,0.4904,0.5036,9183.0
0.499,0.499,0.4818,0.4869,30147.2
0.4823,0.488,0.4779,0.4818,26038.6
0.4857,0.4941,0.4856,0.4938,12476.8
0.4948,0.5045,0.4923,0.5045,15476.1
0.5051,0.5051,0.4787,0.4791,10358.0
0.4774,0.4825,0.4676,0.4676,5697.7
0.4692,0.474,0.4674,0.4684,6264.2
0.4715,0.4749,0.4712,0.4736,8719.6
0.4741,0.4741,0.4713,0.4713,476.4
0.4684,0.4684,0.4233,0.4267,112837.0
0.4265,0.45,0.28,0.4086,142530.8
0.406,0.4101,0.3867,0.4094,54241.1
0.4113,0.4265,0.4113,0.4245,15361.7
0.4223,0.4329,0.4199,0.4297,31984.9
0.427,0.427,0.4206,0.4244,7264.6
0.4153,0.416,0.4044,0.4044,5449.3
0.4014,0.4114,0.3911,0.4088,37362.1
0.4066,0.4175,0.4066,0.4175,1497.6
0.4175,0.4175,0.4175,0.4175,0.0
0.4232,0.4274,0.4214,0.4274,1662.1
0.4239,0.4242,0.4207,0.4242,9324.9
0.4169,0.4169,0.4162,0.4162,401.0
0.4223,0.426,0.4223,0.4247,4758.6
0.4285,0.435,0.4285,0.4331,2968.2
0.4339,0.442,0.4326,0.4335,36056.9
0.4376,0.445,0.4288,0.4296,30620.4
0.4331,0.4524,0.4318,0.4512,22796.3
0.4555,0.4649,0.4544,0.4563,5904.0
0.4577,0.4672,0.4296,0.4333,24011.3
0.4233,0.451,0.4222,0.4454,57292.4
0.4442,0.4445,0.4102,0.4102,51903.2
0.4124,0.4413,0.4124,0.4304,23415.6
0.4317,0.4436,0.4317,0.4436,3619.0
0.4472,0.4697,0.4472,0.4602,14634.1
0.4612,0.4777,0.4612,0.463,40810.8
0.4586,0.463,0.4532,0.4561,4054.3
0.4561,0.4561,0.4435,0.4435,17741.3
0.4459,0.4476,0.4372,0.4372,2066.2
0.442,0.442,0.4341,0.4341,7092.3
0.4381,0.4589,0.4381,0.4555,33284.0
0.4555,0.4594,0.4531,0.4564,4709.0
0.4564,0.4564,0.4481,0.4481,2522.3
0.442,0.4429,0.4363,0.441,5026.5
0.442,0.4474,0.442,0.4454,11755.8
0.4479,0.4609,0.4465,0.4503,11153.4
0.4467,0.4565,0.4429,0.456,6725.3
0.4549,0.4581,0.4535,0.4581,8500.4
0.4597,0.465,0.4592,0.4639,6878.0
0.4626,0.4688,0.461,0.461,10837.4
0.465,0.4691,0.4636,0.4691,12822.5
0.4687,0.4715,0.4626,0.471,11721.4
0.473,0.4752,0.4728,0.4752,2794.7
0.4731,0.4793,0.4731,0.4784,4471.6
0.4768,0.4809,0.4746,0.4809,15373.3
0.4807,0.4831,0.4757,0.4757,14471.8
0.4743,0.4783,0.4698,0.4777,5611.5
0.477,0.4844,0.4766,0.4838,3262.2
0.4836,0.4836,0.4797,0.4817,5651.6
0.4804,0.4812,0.4779,0.481,2613.8
0.4829,0.4888,0.4828,0.4888,8783.3
0.4898,0.4907,0.4875,0.4883,6794.3
0.4867,0.4868,0.4819,0.4819,2541.6
0.4849,0.4873,0.4846,0.4847,2555.0
0.4887,0.4931,0.4887,0.4931,81.5
0.4937,0.4941,0.4912,0.4923,3226.1
0.4901,0.4901,0.4871,0.4871,443.5
0.4896,0.4896,0.4885,0.4889,3659.6
0.4897,0.4897,0.4789,0.479,4291.5
0.4768,0.4798,0.4706,0.4749,16497.9
0.4775,0.4803,0.4768,0.4792,3364.0
0.4812,0.4812,0.4778,0.4778,1849.0
0.4771,0.4773,0.4734,0.4734,23785.6
0.4746,0.4774,0.4739,0.4768,6925.8
0.4812,0.4966,0.4812,0.4863,11467.9
0.4894,0.4951,0.4817,0.4839,17880.8
0.482,0.4843,0.4801,0.4831,8190.4
0.4831,0.4831,0.4831,0.4831,0.0
0.4846,0.4848,0.4763,0.4792,13657.9
0.4846,0.4881,0.4846,0.4881,1171.2
0.4864,0.4864,0.4837,0.4837,773.8
0.4846,0.4867,0.4703,0.4732,5285.0
0.4741,0.4789,0.4739,0.4789,2323.9
0.4807,0.4833,0.4787,0.4833,576.7
0.4851,0.4869,0.4851,0.4869,1707.0
0.4844,0.4867,0.4833,0.4867,3092.7
0.4825,0.4862,0.4824,0.4862,143.4
0.4842,0.4842,0.4724,0.4724,2240.2
0.4809,0.486,0.48,0.486,234.5
0.486,0.486,0.486,0.486,0.0
0.486,0.486,0.486,0.486,0.0
0.4831,0.4831,0.4787,0.4787,110.9
0.4787,0.4787,0.4787,0.4787,208.8
0.4836,0.4836,0.4829,0.4829,1034.5
0.4799,0.4875,0.4799,0.4875,2375.9
0.4894,0.5097,0.4894,0.5097,38057.5
0.5053,0.5268,0.5053,0.5138,109940.8
0.5167,0.5231,0.5142,0.5191,8096.3
0.5255,0.5295,0.5195,0.5195,11139.8
0.5279,0.5372,0.5058,0.5167,91065.4
0.516,0.5262,0.5087,0.5098,13852.9
0.5059,0.5064,0.4898,0.4898,32160.0
0.4904,0.4984,0.4904,0.4952,17662.8
0.4923,0.4948,0.4914,0.4948,3877.8
0.499,0.5075,0.499,0.5065,4164.1
0.5062,0.5116,0.5049,0.5062,7994.1
0.506,0.5066,0.5029,0.5031,6445.7
0.5038,0.5055,0.5029,0.5034,7888.3
0.5024,0.5075,0.5007,0.5007,5425.9
0.511,0.5161,0.511,0.5138,5053.5
0.5162,0.521,0.5133,0.5134,7624.2
0.5182,0.5182,0.5146,0.5146,1634.8
0.517,0.5335,0.5123,0.5123,29194.0
0.5124,0.54,0.5124,0.5193,19430.2
0.5203,0.5239,0.5175,0.5203,2271.8
0.519,0.5286,0.519,0.5268,2168.8
0.5335,0.5407,0.5135,0.5194,17974.0
0.5237,0.5248,0.5197,0.5202,3182.5
0.5233,0.5263,0.5218,0.5242,13130.0
0.5242,0.5245,0.5122,0.5138,5757.1
0.5121,0.5204,0.5119,0.5147,10747.4
0.5141,0.5146,0.5077,0.51,9067.6
0.51,0.51,0.4987,0.4987,13804.5
0.5014,0.5031,0.4984,0.5024,2774.7
0.5046,0.5133,0.5046,0.5133,2185.8
0.5132,0.5192,0.51,0.5126,15698.4
0.5109,0.5254,0.5081,0.5219,19935.9
0.5198,0.5199,0.514,0.514,9296.2
0.5154,0.5185,0.5108,0.5165,19633.0
0.5126,0.5144,0.4994,0.5022,20446.4
0.5031,0.5079,0.5027,0.5034,16040.6
0.5077,0.5077,0.5054,0.5066,3049.1
0.509,0.5195,0.5083,0.5195,14205.7
0.5195,0.5303,0.5195,0.5276,13457.9
0.5293,0.5293,0.5178,0.5178,14886.1
0.5175,0.5302,0.5106,0.5253,7927.8
0.5283,0.5336,0.5282,0.5293,2847.6
0.53,0.53,0.5272,0.5275,1450.5
0.5299,0.5442,0.5293,0.5375,8827.3
0.5367,0.5508,0.5367,0.543,12191.9
0.545,0.5508,0.5373,0.5387,6082.3
0.5439,0.5452,0.5322,0.5362,10237.5
0.5412,0.5607,0.5412,0.5444,23854.2
0.5486,0.5815,0.5477,0.5753,217997.1
0.5762,0.5942,0.5526,0.562,84829.0
0.5665,0.6763,0.5665,0.6094,424809.2
0.611,0.611,0.5207,0.5335,533221.2
0.5404,0.546,0.4931,0.5028,156573.4
0.5044,0.5085,0.4802,0.5015,80562.2
0.4993,0.5046,0.4795,0.4845,69139.8
0.4831,0.4857,0.4729,0.4808,33062.5
