Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
229.25,231.22,228.39,230.28,12514.591
230.19,233.22,229.83,232.99,9031.04
233.04,236.69,230.75,233.26,22247.371
233.26,235.04,229.81,230.05,16393.121
230.04,232.03,229.28,229.49,8417.482
229.37,229.84,226.15,229.51,11094.339
229.49,230.0,226.44,226.68,7158.122
226.62,227.06,223.24,226.05,11927.483
226.0,235.53,225.72,231.71,23606.122
231.73,238.79,231.69,233.11,27457.405
233.09,238.42,232.97,236.91,15805.9
236.96,237.7,233.34,235.16,16482.534
235.19,235.65,231.63,233.69,14672.653
233.74,235.19,233.39,234.07,17155.573
234.07,236.68,233.69,235.93,15178.761
235.9,237.82,234.86,237.79,11396.719
237.73,239.61,237.0,237.1,14259.521
237.05,242.51,236.78,242.02,16803.752
241.98,245.0,241.26,241.62,74794.894
241.64,242.41,239.72,240.42,67211.379
240.45,241.62,238.36,241.15,24724.457
241.19,242.06,236.5,239.32,27257.057
239.37,243.07,237.78,239.72,24228.349
239.72,240.88,239.0,240.19,8538.244
240.17,240.37,236.23,236.63,18594.062
236.54,237.23,232.49,233.14,29208.306
233.16,233.86,229.53,233.15,54772.238
233.16,234.42,232.24,234.05,13902.229
234.01,235.51,225.3,235.51,52312.641
235.49,241.02,233.44,236.2,41949.359
236.15,242.9,234.68,242.75,35169.489
242.74,247.14,239.71,243.92,57952.478
243.93,244.21,242.1,242.95,55276.473
242.96,242.96,238.55,242.07,43485.908
242.14,242.98,240.15,241.13,10086.725
241.11,241.99,238.53,238.74,8881.605
238.79,239.81,237.92,238.95,12559.922
238.99,239.53,238.1,239.49,12550.901
239.51,240.7,238.07,238.07,20518.443
238.05,238.15,235.33,235.9,24836.184
235.77,236.33,234.21,235.92,14978.031
235.95,236.35,233.81,234.32,11412.985
234.28,235.63,231.18,231.49,15616.04
231.48,235.22,231.11,234.78,19221.148
234.77,238.19,233.69,238.18,18733.759
238.18,240.16,236.46,238.29,23299.697
238.28,239.24,237.33,239.06,15869.994
239.1,240.73,238.64,239.4,18832.534
239.4,240.51,238.77,239.27,13409.107
239.28,240.45,238.97,240.1,8811.863
