Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.7428,0.749,0.7344,0.7411,29099.37
0.7405,0.7536,0.739,0.7457,12697.15
0.7442,0.7492,0.7228,0.7301,20911.84
0.7321,0.7392,0.7251,0.7356,24078.36
0.7401,0.7414,0.7299,0.7299,17848.85
0.7331,0.7331,0.7115,0.7241,21729.7
0.7201,0.7207,0.705,0.705,26578.18
0.7049,0.7049,0.68,0.6916,15195.77
0.6911,0.7097,0.6911,0.7027,8716.99
0.708,0.717,0.6979,0.7016,24757.16
0.7014,0.73,0.7001,0.7201,16249.64
0.7197,0.7226,0.7072,0.7152,15178.55
0.7161,0.7219,0.7081,0.7219,16211.71
0.7219,0.7335,0.7211,0.7326,9232.49
0.7298,0.7367,0.721,0.7233,35526.93
0.7243,0.7287,0.7226,0.7226,12859.55
0.7244,0.7307,0.7222,0.7241,54882.97
0.7258,0.7347,0.7258,0.7322,63525.38
0.7337,0.7431,0.7337,0.7397,29972.63
0.7409,0.7409,0.7321,0.7357,19923.49
0.7372,0.7418,0.7276,0.7321,35455.15
0.7325,0.7397,0.7225,0.7384,6323.71
0.7397,0.7507,0.7386,0.7441,45931.79
0.7433,0.7492,0.7412,0.7464,17002.68
0.7475,0.749,0.7391,0.7391,103380.35
0.7365,0.7422,0.7206,0.7206,18034.93
0.7205,0.7281,0.7081,0.7215,22409.25
0.7234,0.7282,0.7212,0.7239,12961.2
0.7281,0.7281,0.6906,0.7161,28842.5
0.7121,0.7261,0.7026,0.7136,23653.16
0.7128,0.7414,0.7093,0.7408,11237.86
0.7408,0.7472,0.7401,0.7415,12308.14
0.7426,0.7512,0.7372,0.7512,24937.39
0.7485,0.7584,0.7433,0.7562,27108.38
0.7569,0.7624,0.7539,0.7594,12230.57
0.7527,0.7566,0.749,0.7545,13526.9
0.7561,0.7757,0.7561,0.7711,47128.78
0.7681,0.7735,0.7648,0.7717,38522.89
0.7711,0.7779,0.7657,0.7657,20591.92
0.7647,0.7647,0.7512,0.7534,57221.07
0.7502,0.7543,0.7415,0.7497,29474.08
0.7561,0.7627,0.7521,0.7558,42854.27
0.7601,0.7601,0.7321,0.7321,38316.86
0.7335,0.7579,0.7309,0.7505,99310.78
0.7511,0.7676,0.7414,0.7658,29855.9
0.7657,0.7844,0.7617,0.773,104233.84
0.7716,0.7779,0.7657,0.7763,22386.53
0.7743,0.7886,0.7693,0.7832,39010.02
0.7842,0.8061,0.7829,0.7961,70546.53
0.7979,0.7986,0.7912,0.7914,80811.24
0.7905,0.7941,0.7837,0.7853,13350.54
0.7862,0.7965,0.7852,0.7873,79971.15
0.7856,0.7902,0.7856,0.7892,4279.85
0.7859,0.7921,0.7832,0.7867,2198.08
0.7889,0.7921,0.78,0.7841,6334.36
0.784,0.7849,0.7763,0.7847,15885.1
0.7801,0.7913,0.7801,0.787,3726.31
0.7854,0.7934,0.7811,0.7915,66801.3
0.7895,0.7961,0.7841,0.789,19676.77
0.7921,0.7921,0.7839,0.7839,10017.89
0.7881,0.795,0.7881,0.7932,5380.29
0.7916,0.7939,0.7835,0.7897,22768.83
0.7905,0.7905,0.7744,0.7777,6476.37
0.7801,0.7834,0.7721,0.7727,64028.82
0.7724,0.7726,0.7669,0.768,25013.51
0.7712,0.7801,0.7712,0.7767,5069.42
0.776,0.7851,0.7751,0.7796,15385.43
0.7785,0.7872,0.7753,0.7851,30409.87
0.783,0.7889,0.7761,0.7831,23364.34
0.7832,0.7832,0.7754,0.7801,20116.68
0.7807,0.7807,0.7716,0.7732,19756.25
0.7734,0.7735,0.7656,0.769,20306.82
0.7697,0.7841,0.7697,0.7837,10075.94
0.7844,0.7858,0.7736,0.7736,23396.43
0.7753,0.7763,0.7721,0.7753,42368.53
0.775,0.7773,0.7738,0.774,5155.46
0.774,0.7759,0.7716,0.7716,7882.61
0.7733,0.7774,0.7697,0.7697,8403.19
0.7689,0.7779,0.7681,0.7779,14194.22
0.7776,0.7815,0.7693,0.7693,6591.15
0.7689,0.7726,0.7671,0.7716,1271.76
0.7722,0.778,0.7721,0.7721,4926.49
0.77,0.7727,0.7583,0.7583,30094.16
0.7579,0.7583,0.7521,0.7549,37522.95
0.7523,0.758,0.7482,0.758,3841.11
0.7589,0.7632,0.7567,0.7626,5268.51
0.7619,0.7619,0.7467,0.7468,14274.11
0.7455,0.7539,0.7414,0.7457,14965.36
0.7466,0.7536,0.7466,0.7524,7543.04
0.7512,0.7596,0.7481,0.7573,30577.84
0.7542,0.7601,0.7481,0.7594,16142.23
0.7576,0.7676,0.7576,0.7676,22848.83
0.7648,0.7681,0.7609,0.7609,28932.65
0.7601,0.7734,0.7552,0.7717,2795.53
0.7714,0.7763,0.7621,0.7625,4525.14
0.7621,0.7657,0.7596,0.7653,8139.23
0.7659,0.7659,0.7561,0.7569,7409.14
0.756,0.763,0.7554,0.7621,5577.03
0.7621,0.7665,0.7621,0.7622,3954.53
0.7617,0.7681,0.7596,0.7677,7767.45
0.7689,0.7838,0.7682,0.7788,20382.06
0.7782,0.7785,0.7722,0.7785,5233.56
0.7745,0.7745,0.7613,0.7658,14081.17
0.7681,0.7721,0.7553,0.7553,40451.62
0.7537,0.7601,0.7455,0.7469,35532.21
0.7474,0.7526,0.732,0.7361,9046.11
0.7375,0.7441,0.7321,0.7422,7958.09
0.7441,0.7455,0.7427,0.7455,6002.25
0.7431,0.7431,0.7281,0.7282,12635.57
0.7282,0.7306,0.7176,0.7303,49676.36
0.7276,0.7276,0.7039,0.7039,23274.03
0.7039,0.7125,0.6919,0.7037,54583.84
0.7055,0.7094,0.7023,0.7094,10643.05
0.7093,0.7096,0.6885,0.6912,78197.16
0.6895,0.6978,0.6842,0.6949,64341.83
0.6954,0.7177,0.6941,0.7139,95294.46
0.7143,0.7228,0.7064,0.7228,41904.09
0.7225,0.7225,0.691,0.6982,36220.61
0.6945,0.7066,0.694,0.6996,15820.12
0.703,0.703,0.6929,0.693,34402.17
0.6952,0.7001,0.6944,0.6979,15150.97
0.6931,0.6977,0.6883,0.6904,41697.08
0.6904,0.6904,0.6418,0.6481,166818.45
0.648,0.648,0.52,0.6146,275632.98
0.6141,0.6171,0.555,0.6112,183265.4
0.6126,0.6281,0.608,0.6247,65996.19
0.6206,0.6417,0.6095,0.639,44570.32
0.6384,0.6394,0.6241,0.6358,13091.1
0.63,0.63,0.6056,0.6059,19442.62
0.6052,0.6074,0.58,0.605,151930.92
0.6043,0.6181,0.5913,0.6181,24068.35
0.6154,0.6241,0.6103,0.6229,14274.99
0.6237,0.6388,0.6208,0.6355,41503.31
0.6317,0.6317,0.625,0.6275,17849.33
0.6235,0.6309,0.6201,0.629,44706.17
0.6333,0.6408,0.629,0.6329,6885.01
0.6344,0.6401,0.6323,0.6357,40531.55
0.6381,0.6388,0.6239,0.6329,79724.27
0.6326,0.6331,0.5987,0.6,73979.12
0.6041,0.6152,0.6039,0.6039,27676.1
0.6114,0.6157,0.6011,0.6044,40532.23
0.605,0.6057,0.5704,0.5704,96796.47
0.57,0.5922,0.564,0.5899,84523.29
0.583,0.583,0.5627,0.5627,25654.62
0.5612,0.5802,0.5581,0.5762,159024.56
0.5762,0.602,0.5761,0.602,15168.23
0.5981,0.606,0.5963,0.6056,43264.17
0.6056,0.6184,0.6056,0.612,16750.14
0.6139,0.6201,0.6098,0.6195,12794.42
0.6182,0.6249,0.6143,0.6143,14421.3
0.617,0.617,0.5985,0.6056,9194.24
0.6006,0.6009,0.5884,0.5894,6163.22
0.591,0.6167,0.5893,0.6167,6359.3
0.6171,0.6213,0.6164,0.6198,5024.69
0.6188,0.6188,0.6118,0.6139,15862.65
0.6146,0.6146,0.6055,0.6106,3211.64
0.6097,0.6135,0.6097,0.6135,3985.21
0.6158,0.6184,0.604,0.604,28336.18
0.6057,0.626,0.6057,0.6243,40448.47
0.6238,0.6252,0.6183,0.6235,82180.83
0.6269,0.6273,0.6206,0.6224,23888.4
0.6224,0.6293,0.6199,0.623,16108.8
0.624,0.633,0.622,0.629,37678.89
0.6312,0.6443,0.6275,0.6361,89441.77
0.6389,0.65,0.6312,0.6472,52183.59
0.6464,0.6613,0.6455,0.6537,48568.09
0.6552,0.6609,0.6493,0.6517,45061.14
0.6518,0.6556,0.6432,0.6432,50287.31
0.6456,0.6493,0.6425,0.6451,17547.4
0.6455,0.6487,0.644,0.6483,11450.06
0.6508,0.6536,0.6498,0.65,16399.54
0.6504,0.6505,0.6467,0.6505,9425.79
0.6521,0.6572,0.6521,0.6569,8470.31
0.6569,0.6597,0.6545,0.6555,8890.81
0.6549,0.6617,0.6509,0.6537,12524.75
0.6547,0.6595,0.6546,0.6553,1867.01
0.6574,0.6772,0.6574,0.6772,51172.87
0.6764,0.69,0.6736,0.6858,20437.44
0.6861,0.6872,0.6793,0.6794,8342.85
0.6809,0.6922,0.6809,0.6892,19935.15
0.6862,0.6904,0.6831,0.6904,13412.29
0.6906,0.6917,0.6836,0.6836,5412.73
0.6885,0.6911,0.687,0.6877,4690.63
0.6916,0.6918,0.6814,0.6829,18681.29
0.6805,0.6816,0.6736,0.6777,30069.53
0.6721,0.677,0.6672,0.67,54712.18
0.6709,0.6889,0.6709,0.688,17623.02
0.688,0.6986,0.6805,0.6832,21946.25
0.6847,0.6961,0.6844,0.6914,7588.65
0.693,0.6971,0.6799,0.6842,68559.98
0.69,0.691,0.677,0.6822,14882.42
0.6838,0.6855,0.6794,0.6795,6009.52
0.6817,0.6821,0.6736,0.6778,2741.62
0.6778,0.6795,0.6572,0.6572,6863.6
0.6629,0.6721,0.66,0.6676,3705.1
0.6688,0.6688,0.6613,0.6613,2864.47
0.66,0.6625,0.6529,0.66,4324.71
0.6599,0.6599,0.6573,0.659,4396.83
0.6562,0.6639,0.6562,0.6619,4872.68
0.6544,0.6548,0.6448,0.6524,9236.68
0.6544,0.6644,0.6544,0.6606,7369.21
0.658,0.6599,0.658,0.6599,311.35
0.6586,0.6586,0.652,0.6558,697.87
0.6551,0.6557,0.6526,0.6526,29955.63
0.6524,0.6524,0.6399,0.6407,14893.59
0.6376,0.6421,0.6345,0.6421,33443.64
0.6479,0.6497,0.6459,0.6492,18595.48
0.652,0.652,0.6444,0.6489,2709.24
0.649,0.6525,0.6411,0.6525,11132.45
0.6531,0.6596,0.653,0.653,4402.06
0.6506,0.655,0.6495,0.6513,2986.9
0.6527,0.6527,0.64,0.6462,8035.2
0.6451,0.6489,0.6415,0.6444,24720.8
0.652,0.671,0.6376,0.6404,17336.8
0.6404,0.6546,0.6404,0.6496,24923.56
0.6516,0.6516,0.6449,0.6467,7750.19
0.6489,0.6489,0.6474,0.6478,4735.3
0.6472,0.6483,0.6468,0.6476,3080.6
0.6514,0.66,0.6514,0.656,5117.54
0.6561,0.6583,0.6545,0.6545,4276.02
0.6499,0.6508,0.6475,0.6489,7272.93
0.6499,0.654,0.6497,0.654,2508.98
0.6565,0.6632,0.654,0.6552,9952.25
0.6658,0.6673,0.6644,0.6647,1235.41
0.6579,0.6579,0.6552,0.6552,1689.03
0.6541,0.6541,0.6497,0.6497,545.2
0.651,0.6529,0.6477,0.6529,5931.85
0.6503,0.6503,0.6477,0.6487,3381.52
0.6541,0.6541,0.6508,0.6529,2878.65
0.6509,0.6533,0.6468,0.6512,13108.33
0.6496,0.655,0.6496,0.655,3126.56
0.6536,0.6536,0.645,0.6453,6910.43
0.6453,0.6453,0.6376,0.6421,4545.05
0.6428,0.6441,0.6397,0.6397,11402.51
0.637,0.637,0.6227,0.623,18339.85
0.623,0.623,0.6149,0.6228,12420.71
