Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
3.6274,3.6566,3.6068,3.6393,66287.1
3.639,3.6873,3.6309,3.6857,69319.3
3.6842,3.7625,3.6297,3.6959,289028.4
3.6987,3.746,3.6671,3.6821,163225.9
3.6814,3.7051,3.6723,3.6888,66648.1
3.6876,3.7001,3.6185,3.6795,73857.9
3.681,3.7246,3.6514,3.6707,84892.3
3.6661,3.6661,3.5309,3.5942,110127.7
3.5928,3.8049,3.5903,3.7986,265153.5
3.7963,4.053,3.7151,3.7866,768827.3
3.79,3.8637,3.7659,3.7826,110256.1
3.781,3.7818,3.7017,3.7514,101462.1
3.7546,3.8,3.722,3.7891,72632.9
3.783,3.8136,3.7581,3.793,119284.2
3.794,3.8442,3.7834,3.8323,196791.3
3.8332,3.8623,3.7995,3.8376,136419.3
3.8399,3.8561,3.8243,3.8368,42857.6
3.8393,3.8699,3.8302,3.8643,85346.1
3.8687,4.0216,3.8634,4.0166,275491.8
4.0185,4.2585,3.9785,4.1581,679910.1
4.1601,4.4,4.1262,4.328,473563.7
4.3302,4.4487,4.2721,4.3312,530828.4
4.3316,4.3713,4.1756,4.1881,394017.3
4.1881,4.2277,4.1639,4.2087,227698.3
4.2071,4.2989,4.2006,4.2365,324465.8
4.2398,4.2537,4.093,4.1145,229669.1
4.1162,4.1902,4.0737,4.1397,279395.7
4.1398,4.1959,4.113,4.1747,129361.3
4.1813,4.2944,4.022,4.2281,357038.2
4.2275,4.32,4.1654,4.2322,229597.2
4.2261,4.3071,4.1329,4.2914,204162.9
4.2922,4.3679,4.2627,4.3467,166009.3
4.3467,4.3663,4.2476,4.2631,212131.9
4.264,4.3547,4.2198,4.3466,106907.8
4.3462,4.3849,4.317,4.3596,110704.0
4.3625,4.3789,4.2817,4.2961,114948.0
4.295,4.336,4.2692,4.2994,98683.8
4.2967,4.49,4.2949,4.4852,322944.2
4.486,4.4873,4.28,4.2906,219321.4
4.2858,4.3099,4.181,4.211,391937.9
4.2114,4.2234,4.1529,4.1704,172496.1
4.1718,4.2053,4.1543,4.1981,79566.1
4.1973,4.2298,4.0789,4.0936,184311.7
4.0935,4.1973,4.0915,4.163,156410.5
4.1644,4.1822,4.1071,4.1752,80275.4
4.1752,4.176,4.0801,4.1156,163311.3
4.1161,4.1863,4.0969,4.1594,79503.9
4.1566,4.2266,4.1484,4.2125,151057.9
4.2107,4.2608,4.205,4.2334,247228.3
4.2334,4.247,4.2112,4.2238,66057.0
4.2201,4.2685,4.2194,4.2622,100546.5
4.2609,4.2916,4.2167,4.232,89132.9
4.2352,4.2763,4.2239,4.2239,42113.8
4.2244,4.2376,4.18,4.2237,118359.2
4.2268,4.2296,4.1633,4.19,46302.1
4.1901,4.2148,4.1628,4.2007,36731.9
4.2,4.2914,4.1954,4.2814,46962.1
4.2796,4.2827,4.222,4.2807,45470.2
4.275,4.3414,4.2527,4.3282,165599.4
