Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
674.4,681.4,669.5,677.9,76.3032
678.5,688.9,677.8,678.8,92.4396
678.5,686.0,661.6,669.5,135.6241
666.2,678.2,663.9,675.6,96.168
675.6,677.6,666.2,666.9,57.9631
666.9,667.4,644.0,657.0,169.7024
657.4,658.8,639.0,641.9,152.4811
642.3,654.6,624.7,639.3,239.7685
637.5,672.3,637.5,658.2,26.5561
659.0,679.3,659.0,662.9,43.2608
665.6,688.9,665.6,674.4,26.7694
673.5,676.6,658.0,665.0,57.9333
665.0,665.1,656.1,663.7,25.5307
663.6,674.0,659.6,668.9,256.9492
668.9,680.4,666.8,671.5,80.6307
671.5,672.6,663.1,666.5,61.5642
663.8,666.9,662.2,666.9,115.7203
664.2,677.1,663.3,676.9,75.2884
677.6,687.1,674.4,683.9,135.4844
683.2,700.0,677.6,690.3,131.5857
692.7,694.0,680.7,690.6,123.8007
685.0,702.5,685.0,694.6,275.5449
698.5,723.8,697.0,716.7,227.5069
717.8,717.8,706.3,712.5,115.6706
716.0,724.9,698.9,704.2,178.4715
703.9,704.4,677.0,684.3,1403.9146
682.7,700.1,669.0,692.3,1991.7341
692.3,702.0,684.4,686.5,94.3295
689.1,694.2,650.1,681.8,296.2123
676.7,701.4,666.7,681.5,56.9002
678.5,720.4,673.1,713.7,49.4646
716.4,738.0,713.6,725.9,121.743
728.3,728.3,717.3,721.8,57.2707
721.8,730.0,711.0,730.0,214.7041
728.8,748.8,725.0,740.4,284.3791
740.5,740.5,725.2,726.7,273.9893
727.0,729.0,719.5,719.5,67.3979
719.5,730.9,716.5,730.9,79.9007
728.4,731.5,722.7,722.7,108.3252
723.2,729.0,708.1,721.0,327.387
722.2,737.5,702.0,733.3,195.1329
737.7,745.9,726.3,727.6,264.9541
727.8,743.4,710.0,710.3,147.3256
713.2,730.9,700.0,716.6,150.1432
716.2,719.9,704.6,715.2,57.8048
714.8,723.8,708.5,710.1,121.6291
712.4,722.9,709.4,719.9,36.5649
719.9,729.0,717.0,726.2,47.4303
724.4,726.9,710.9,710.9,82.4863
712.1,714.9,706.0,711.1,341.8324
711.1,718.0,705.0,708.6,68.7216
710.1,712.0,700.4,702.7,109.981
704.8,711.8,704.8,710.0,36.1207
710.0,713.8,703.0,703.9,76.0093
707.8,711.9,701.5,703.7,22.0881
704.9,705.3,702.0,703.8,15.2427
704.0,714.3,703.3,709.2,27.9337
708.5,709.4,699.0,708.7,42.7876
708.9,720.0,704.1,708.4,61.7594
705.5,716.0,705.5,713.6,45.0305
710.4,715.9,705.9,714.3,26.6836
714.7,719.4,709.6,710.6,21.4375
713.4,713.4,701.2,704.8,62.6768
704.8,708.1,692.9,701.2,164.1568
699.7,700.8,696.1,697.8,113.6111
698.4,705.7,697.3,701.9,280.2358
703.0,708.3,700.3,704.9,77.995
704.4,706.8,703.2,705.3,35.529
706.1,706.7,698.0,704.7,28.4611
704.0,705.1,696.6,705.1,24.2478
705.7,706.7,690.1,694.5,39.5669
694.5,695.3,686.6,688.1,156.2073
688.3,703.1,688.3,703.1,83.2578
703.7,705.4,692.0,692.0,52.3665
