Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.01827,0.02299,0.01803,0.01805,1035334.0
0.01822,0.01822,0.01822,0.01822,541.0
0.01828,0.01828,0.01796,0.01796,201971.0
0.01845,0.01866,0.01842,0.01848,135661.0
0.01835,0.01859,0.01835,0.01842,74774.0
0.01841,0.01843,0.01819,0.01835,26956.0
0.01825,0.01826,0.0182,0.0182,36033.0
0.01834,0.01851,0.018,0.018,66947.0
0.01841,0.01841,0.0184,0.0184,57546.0
0.0183,0.01832,0.01804,0.01832,191659.0
0.01816,0.0183,0.01809,0.0183,91482.0
0.01835,0.01835,0.01809,0.01809,31726.0
0.01834,0.01841,0.01831,0.01831,60961.0
0.01831,0.01831,0.01831,0.01831,0.0
0.01812,0.01812,0.01801,0.01801,14589.0
0.01803,0.0183,0.01803,0.0183,50826.0
0.0183,0.0183,0.0183,0.0183,0.0
0.0184,0.01853,0.0184,0.01843,26313.0
0.01828,0.01829,0.01823,0.01823,28634.0
0.01823,0.01823,0.01823,0.01823,0.0
0.01794,0.01794,0.01794,0.01794,1572.0
0.01792,0.01792,0.01792,0.01792,287.0
0.01811,0.01818,0.01807,0.01807,34982.0
0.01799,0.01799,0.01794,0.01794,47466.0
0.0181,0.01817,0.01797,0.01797,15592.0
0.01797,0.01797,0.01797,0.01797,0.0
0.01768,0.01768,0.01768,0.01768,5587.0
0.01778,0.01778,0.01754,0.01754,14084.0
0.01732,0.01732,0.01731,0.01731,24580.0
0.01729,0.01729,0.0171,0.0171,41147.0
0.01715,0.01727,0.01715,0.01727,14022.0
0.01727,0.01727,0.01727,0.01727,0.0
0.01707,0.01715,0.01694,0.01715,7846.0
0.01728,0.01728,0.01715,0.01715,1888.0
0.01715,0.01715,0.01715,0.01715,0.0
0.01686,0.01686,0.01686,0.01686,12047.0
0.01701,0.01701,0.01686,0.01686,4359.0
0.01689,0.01689,0.01689,0.01689,20000.0
0.01689,0.01689,0.01689,0.01689,0.0
0.01705,0.01709,0.01705,0.01709,58739.0
0.01701,0.01701,0.01694,0.01694,24012.0
0.01715,0.01731,0.01709,0.01731,33724.0
0.01727,0.01731,0.01725,0.01725,64988.0
0.01707,0.01707,0.01694,0.01694,29964.0
0.01709,0.01709,0.01703,0.01703,4455.0
0.01699,0.01708,0.01699,0.01708,22060.0
0.01702,0.01702,0.01679,0.01679,26439.0
0.01671,0.01671,0.01664,0.01664,31491.0
0.01676,0.01707,0.01676,0.01697,51632.0
0.01697,0.01697,0.01697,0.01697,0.0
0.0172,0.0172,0.01706,0.01706,20228.0
0.01695,0.01704,0.01695,0.01704,13272.0
0.017,0.017,0.017,0.017,1000.0
0.01699,0.01771,0.01699,0.01769,46888.0
0.0177,0.0177,0.0177,0.0177,5647.0
0.01776,0.01776,0.01749,0.01749,48048.0
0.01747,0.01751,0.01739,0.01751,37908.0
0.01728,0.01732,0.01728,0.01729,15949.0
0.01719,0.01719,0.01719,0.01719,5764.0
0.01732,0.01732,0.01732,0.01732,23825.0
0.01714,0.01714,0.01714,0.01714,24022.0
0.01685,0.01685,0.01664,0.01664,24402.0
0.01655,0.01679,0.01642,0.01677,73190.0
0.01727,0.01727,0.01727,0.01727,9016.0
0.01727,0.01727,0.01727,0.01727,0.0
0.01777,0.01782,0.01768,0.01769,35521.0
0.01733,0.01733,0.01715,0.01715,1291.0
0.01694,0.01694,0.01691,0.01691,805.0
0.01697,0.01701,0.01697,0.01701,90124.0
0.01693,0.01703,0.01693,0.01703,53379.0
0.01692,0.01692,0.01686,0.01686,601037.0
0.01686,0.01686,0.01686,0.01686,0.0
0.0169,0.0169,0.01674,0.01675,71223.0
0.01665,0.01668,0.01653,0.01653,53743.0
0.01648,0.01648,0.0164,0.01645,25153.0
0.01645,0.01645,0.01645,0.01645,0.0
0.0162,0.01622,0.01615,0.01615,20375.0
0.01613,0.01638,0.01613,0.01624,13530.0
0.01631,0.01675,0.01631,0.0166,93720.0
