Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.6929,0.704,0.6929,0.704,7363.3
0.704,0.7102,0.704,0.7066,3973.8
0.7052,0.7151,0.6919,0.6981,14096.6
0.6953,0.7102,0.6953,0.7101,1242.1
0.7118,0.7151,0.7058,0.7058,7067.7
0.6986,0.6986,0.6833,0.6983,2406.8
0.7006,0.7006,0.6889,0.6897,1112.4
0.6819,0.6819,0.6656,0.6656,1524.3
0.6769,0.6825,0.6739,0.6825,2903.1
0.6901,0.6987,0.676,0.676,1159.8
0.6845,0.6913,0.6845,0.6889,2475.2
0.6847,0.6866,0.6743,0.6809,5229.4
0.674,0.6784,0.668,0.6784,1574.6
0.6783,0.6889,0.6783,0.6853,4206.8
0.6853,0.6952,0.6831,0.6887,62924.1
0.688,0.688,0.6841,0.6871,4431.4
0.6837,0.6862,0.6834,0.6862,1962.8
0.6844,0.6909,0.6844,0.6909,3446.5
0.6939,0.6989,0.6896,0.6931,1348.1
0.6897,0.6914,0.6819,0.6819,2592.7
0.6809,0.6873,0.68,0.6853,9237.6
0.6843,0.6865,0.6779,0.6852,2780.8
0.6897,0.7048,0.6886,0.7038,20022.3
0.7036,0.7054,0.6974,0.7028,4333.7
0.7062,0.7062,0.6973,0.7008,4534.8
0.7013,0.7114,0.689,0.689,15933.2
0.69,0.7076,0.6807,0.7076,9260.1
0.7077,0.72,0.7077,0.7154,3716.2
0.7161,0.7335,0.6879,0.7272,14351.7
0.7274,0.7432,0.7197,0.7341,13279.9
0.7353,0.7648,0.722,0.7631,43026.1
0.7644,0.7862,0.759,0.7735,12415.2
0.7736,0.7879,0.7648,0.7825,17565.4
0.7816,0.7969,0.7726,0.7897,21805.0
0.7888,0.8055,0.7814,0.7821,20490.2
0.7867,0.8042,0.784,0.7982,39380.2
0.7945,0.8312,0.7935,0.8285,47265.3
0.8286,0.8423,0.8157,0.8361,92537.8
0.8264,0.8355,0.8136,0.8176,41696.8
0.8198,0.8198,0.7904,0.793,22800.4
0.794,0.8101,0.7877,0.8026,42122.8
0.8032,0.8178,0.8003,0.809,18216.3
0.8119,0.8162,0.7863,0.7881,18362.7
0.7892,0.8024,0.7804,0.7869,18264.5
0.7916,0.7953,0.7807,0.7848,10503.7
0.7853,0.8119,0.7853,0.8031,27365.9
0.7952,0.804,0.7931,0.7979,7930.7
0.7998,0.8157,0.7969,0.8119,15502.2
0.8124,0.8215,0.8101,0.8136,6627.8
0.8139,0.8241,0.8069,0.8069,5434.7
0.8086,0.8163,0.8086,0.8145,9581.6
0.816,0.8203,0.8096,0.8111,4130.0
0.8121,0.8184,0.8121,0.8158,1886.3
0.8157,0.8213,0.8157,0.8193,7204.5
0.8156,0.8351,0.8156,0.8248,5686.1
0.8191,0.8209,0.8074,0.819,2809.5
0.8201,0.8413,0.8201,0.8413,5469.3
0.8383,0.8634,0.8382,0.8556,12627.1
0.8539,0.8539,0.8352,0.8403,6077.9
0.8454,0.8539,0.8432,0.8447,3063.1
0.8378,0.8378,0.8293,0.832,4752.2
0.829,0.8292,0.8257,0.8272,2104.0
0.8263,0.8351,0.8238,0.8238,3503.8
0.8217,0.8286,0.8211,0.8221,3731.4
0.8207,0.8207,0.8083,0.8123,4713.1
0.8125,0.8125,0.8064,0.8071,4165.4
0.8068,0.8093,0.8021,0.8086,1270.3
0.8076,0.8113,0.8076,0.81,448.1
0.81,0.81,0.8056,0.8082,3783.7
0.8077,0.8077,0.8012,0.8051,5494.7
0.805,0.805,0.799,0.8016,4283.4
0.8028,0.8053,0.7971,0.7971,5673.4
0.8026,0.8059,0.8008,0.8059,718.4
0.8078,0.8078,0.8032,0.8039,123.1
0.8044,0.8047,0.803,0.8047,6867.7
0.805,0.805,0.8041,0.8043,494.7
0.8041,0.8042,0.8041,0.8042,280.8
0.8066,0.8107,0.8065,0.8107,1234.9
0.814,0.8305,0.8096,0.8305,3337.6
0.8367,0.8417,0.8201,0.8201,3230.8
0.8138,0.8143,0.8083,0.8083,3076.0
0.808,0.8223,0.808,0.8195,1627.4
0.8175,0.8175,0.801,0.801,1392.4
0.7995,0.7995,0.79,0.7908,2930.9
0.7914,0.7948,0.7882,0.794,2255.1
0.8066,0.8071,0.8054,0.8054,889.3
0.8083,0.8105,0.7918,0.7918,618.2
0.7966,0.805,0.7884,0.7884,2733.5
0.7865,0.8007,0.7865,0.8007,1696.4
0.7939,0.7955,0.7919,0.7951,1851.7
0.7873,0.7962,0.7859,0.7935,2705.8
0.7886,0.8106,0.7886,0.8106,5978.5
0.7988,0.8034,0.7988,0.803,399.8
0.7954,0.8117,0.7953,0.8117,889.9
0.8143,0.8289,0.8012,0.8051,11576.4
0.8035,0.8091,0.7975,0.8091,2004.1
0.8068,0.8153,0.8017,0.804,1739.8
0.799,0.8036,0.799,0.8034,517.6
0.8047,0.8151,0.8047,0.8102,1621.0
0.807,0.8072,0.807,0.8072,972.3
0.8079,0.8096,0.8074,0.8091,968.0
0.8062,0.8065,0.8057,0.8063,3454.1
0.8012,0.8014,0.78,0.7815,4437.7
0.7832,0.7907,0.7769,0.7773,1406.9
0.7806,0.7806,0.7695,0.7709,2795.5
0.7764,0.7764,0.7577,0.7607,7522.4
0.7598,0.7671,0.7541,0.762,10014.3
0.762,0.762,0.762,0.762,0.0
0.7624,0.7628,0.758,0.7586,4734.7
0.7515,0.7594,0.7484,0.7594,1474.5
0.7459,0.7466,0.7335,0.7356,5142.8
0.7391,0.7391,0.7223,0.7242,1777.4
0.7355,0.7375,0.7329,0.7375,3321.8
0.7267,0.7278,0.7199,0.7199,567.4
0.7189,0.7237,0.7109,0.7196,17233.7
0.7301,0.7482,0.7301,0.7482,6765.9
0.7439,0.747,0.7391,0.747,1544.4
0.748,0.748,0.7209,0.7209,2606.1
0.7317,0.7317,0.7279,0.7279,125.6
0.7233,0.7233,0.7202,0.7202,2468.4
0.7213,0.7246,0.7213,0.7246,1576.1
0.7199,0.7221,0.719,0.719,1925.6
0.7121,0.7125,0.6521,0.6732,31014.4
0.6477,0.8092,0.5001,0.6279,44858.5
0.6286,0.6543,0.6106,0.6411,36107.4
0.6397,0.6571,0.6397,0.6518,12060.4
0.65,0.6646,0.6377,0.6646,5376.0
0.6682,0.6703,0.6555,0.6638,23235.5
0.6496,0.651,0.6364,0.6366,2258.0
0.6231,0.6259,0.6098,0.622,2075.8
0.6334,0.6452,0.6334,0.6452,955.3
0.6433,0.6463,0.6365,0.6436,1633.6
