Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
6.928,6.97,6.901,6.936,2170.37
6.928,7.011,6.928,6.999,3623.29
6.992,7.038,6.876,6.925,7339.51
6.926,6.984,6.888,6.977,5499.54
6.987,7.002,6.903,6.915,2317.57
6.912,6.914,6.817,6.905,3973.12
6.907,6.978,6.77,6.77,7910.98
6.777,6.777,6.603,6.675,5320.91
6.663,6.836,6.662,6.803,6852.42
6.819,6.886,6.723,6.751,4953.22
6.75,6.868,6.75,6.868,3492.48
6.837,6.86,6.766,6.819,3862.06
6.819,6.869,6.787,6.856,3764.11
6.863,6.936,6.861,6.93,3842.63
6.926,6.968,6.899,6.919,2637.63
6.922,6.93,6.902,6.905,15970.03
6.902,6.929,6.884,6.929,4796.72
6.929,7.031,6.926,7.015,27128.96
7.03,7.044,6.934,6.955,15100.71
6.953,6.98,6.925,6.946,8048.81
6.957,6.999,6.921,6.966,5984.43
6.971,6.975,6.854,6.93,6830.82
6.93,6.997,6.894,6.969,4667.29
6.961,6.971,6.851,6.911,5750.19
6.914,6.961,6.894,6.925,2828.92
6.924,6.971,6.808,6.827,3168.91
6.816,6.87,6.738,6.87,4479.37
6.87,6.886,6.843,6.886,1091.47
6.885,6.902,6.438,6.823,12009.74
6.8,6.856,6.741,6.797,7749.56
6.804,6.902,6.766,6.902,2795.97
6.903,6.953,6.893,6.908,1996.95
6.91,6.927,6.876,6.926,860.93
6.894,6.93,6.894,6.928,421.7
6.934,6.954,6.924,6.931,679.31
6.925,6.925,6.854,6.874,3144.35
6.874,6.92,6.867,6.897,708.73
6.899,6.899,6.852,6.855,1654.72
6.852,6.901,6.852,6.869,2551.26
6.868,6.868,6.735,6.735,4683.95
6.747,6.763,6.682,6.752,4278.54
6.754,6.757,6.7,6.715,561.93
6.718,6.738,6.631,6.636,7795.42
6.645,6.797,6.629,6.714,5090.31
6.724,6.773,6.693,6.773,3085.89
6.768,6.811,6.746,6.762,3779.49
6.767,6.811,6.752,6.797,3731.24
6.804,6.825,6.793,6.81,3415.79
6.808,6.827,6.778,6.821,5060.72
6.816,6.834,6.791,6.83,3610.63
6.831,6.848,6.8,6.808,11315.64
6.815,6.834,6.783,6.783,3305.68
6.788,6.829,6.783,6.813,4681.2
