Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
87.87,88.12,86.92,87.88,829.273
88.19,88.67,87.52,87.8,972.816
87.84,88.93,85.83,86.29,1466.078
87.12,95.68,86.5,94.64,2248.064
94.33,95.0,89.47,89.85,4420.398
89.92,90.81,88.43,90.81,1648.223
90.98,90.98,87.63,88.14,205.279
87.8,87.8,83.51,87.37,547.683
87.27,89.62,87.03,88.44,855.575
88.86,89.26,86.66,87.01,693.535
87.34,92.39,86.81,91.22,645.98
90.87,91.73,89.11,90.12,158.45
90.2,90.32,88.56,89.67,382.077
89.46,92.06,89.46,90.82,567.915
90.41,91.55,89.8,91.55,73.177
91.12,93.15,91.12,92.79,721.263
92.44,92.44,90.7,91.19,713.023
90.99,91.25,90.2,91.25,196.963
91.15,91.89,90.39,90.77,36.716
90.21,90.89,89.81,90.89,240.668
90.35,91.19,89.43,90.89,261.822
91.01,92.16,90.34,91.63,497.618
91.37,92.43,90.52,91.99,612.285
92.21,93.18,91.69,92.7,363.14
92.7,93.02,91.16,91.95,130.261
92.39,92.91,89.8,90.27,493.635
89.79,91.6,88.83,91.6,466.79
91.52,92.77,91.46,92.4,188.635
92.86,93.12,86.6,89.62,1205.028
89.03,90.98,88.23,89.48,96.505
88.65,92.38,88.49,92.38,421.655
92.45,93.74,91.88,93.24,1274.714
92.96,93.02,92.13,93.02,238.203
93.05,93.05,91.75,92.89,652.993
92.85,94.58,92.81,93.6,2051.473
93.48,93.99,93.48,93.99,32.206
93.45,96.04,93.45,95.48,1447.67
94.77,94.77,93.96,93.96,249.884
94.01,94.48,93.05,93.29,611.501
93.2,93.22,91.26,91.3,1472.421
91.63,91.9,89.72,90.96,461.605
91.44,91.59,90.17,90.62,114.279
90.9,90.9,87.99,88.18,434.726
88.13,92.29,88.11,91.88,640.305
91.44,92.83,90.42,92.59,700.854
92.49,94.41,92.49,93.48,309.684
93.64,95.08,93.48,94.92,690.415
95.07,97.4,95.07,95.4,987.965
95.34,95.61,94.6,95.29,427.524
95.5,96.43,95.47,96.23,184.365
96.68,97.18,94.96,95.1,537.847
95.26,95.55,94.51,94.51,62.056
94.9,95.3,94.8,94.92,82.578
95.1,95.24,94.36,94.96,105.34
94.69,95.46,94.23,94.33,187.443
94.52,95.05,94.33,94.55,161.546
94.66,95.01,94.0,94.0,126.559
94.05,94.39,93.0,94.39,132.798
94.27,95.39,94.1,94.99,413.88
94.88,96.18,94.65,95.92,494.599
