Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.008321,0.012,0.008247,0.008316,1886189.0
0.008282,0.008628,0.008282,0.008554,1266916.0
0.008463,0.008627,0.00833,0.00833,2004291.0
0.008423,0.008723,0.008411,0.008676,4535446.0
0.008798,0.009009,0.008676,0.008729,4369326.0
0.008753,0.008776,0.008553,0.008713,522652.0
0.008748,0.00901,0.0083,0.008328,1945073.0
0.008347,0.008347,0.00794,0.008247,2335697.0
0.008236,0.008385,0.008183,0.008261,2770422.0
0.008281,0.008371,0.008153,0.008203,400013.0
0.008197,0.008584,0.008175,0.008584,292799.0
0.008582,0.008673,0.008353,0.008512,2473776.0
0.008512,0.008513,0.00828,0.008379,1407815.0
0.008378,0.008573,0.008371,0.008567,322416.0
0.008565,0.008663,0.008492,0.008572,1333057.0
0.00857,0.008611,0.008474,0.008579,2557840.0
0.008609,0.008766,0.008574,0.008752,5008673.0
0.008752,0.008817,0.008617,0.008816,731393.0
0.008816,0.009164,0.008704,0.008753,5541760.0
0.008753,0.00876,0.008517,0.008533,1607372.0
0.008557,0.00863,0.008488,0.00858,984365.0
0.008581,0.00867,0.008473,0.008571,719110.0
0.008567,0.00862,0.008411,0.008604,932673.0
0.008604,0.008738,0.008552,0.008699,848165.0
0.008715,0.008795,0.008634,0.008666,1935621.0
0.008666,0.008717,0.00841,0.008473,429658.0
0.008464,0.008541,0.008236,0.008541,661126.0
0.008541,0.008683,0.008528,0.008592,2636510.0
0.008608,0.008685,0.008238,0.008646,1282100.0
0.00865,0.008733,0.008492,0.00862,315388.0
0.008566,0.008847,0.008455,0.008818,541184.0
0.008824,0.008958,0.008666,0.008915,1324511.0
0.008885,0.009081,0.008791,0.009009,184188.0
0.008985,0.00906,0.008943,0.008946,233459.0
0.00895,0.008999,0.008865,0.008888,773501.0
0.008843,0.008843,0.00869,0.008726,1247012.0
0.008767,0.00898,0.00876,0.008936,774990.0
0.008934,0.00899,0.00886,0.008957,846029.0
0.008986,0.009115,0.008976,0.009016,1135920.0
0.009015,0.009015,0.008839,0.008891,2787720.0
0.008925,0.008925,0.00873,0.008792,1219902.0
0.008847,0.008889,0.008695,0.008752,746389.0
0.008745,0.0089,0.008455,0.00848,623457.0
0.008469,0.008873,0.008443,0.008729,1573219.0
0.008729,0.009057,0.008624,0.009057,1181252.0
0.009033,0.009071,0.008818,0.008872,1472308.0
0.008876,0.009011,0.00884,0.008897,1452898.0
0.00892,0.009177,0.008919,0.009032,1733873.0
0.009036,0.009252,0.008996,0.009232,1704721.0
0.009203,0.009706,0.009203,0.009618,3333837.0
0.009589,0.009589,0.009314,0.009357,3206398.0
0.009357,0.009578,0.009316,0.009536,3681614.0
0.009529,0.009657,0.009353,0.00938,2490642.0
0.009376,0.009465,0.009336,0.00939,902974.0
0.009391,0.00941,0.009217,0.009253,2389807.0
0.009247,0.009261,0.009124,0.009181,433538.0
0.009184,0.009329,0.009157,0.009298,203664.0
