Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
4.15,4.219,3.98,4.188,14799.0
4.179,4.179,4.127,4.168,8911.0
4.168,4.172,4.14,4.172,10980.0
4.171,4.173,4.143,4.172,4463.0
4.143,4.171,4.143,4.169,2998.0
4.169,4.188,4.14,4.188,27763.0
4.188,4.188,4.128,4.188,32629.0
4.188,4.188,4.128,4.188,30124.0
4.188,4.188,4.127,4.188,88755.0
4.188,4.188,4.124,4.188,38254.0
4.188,4.195,4.124,4.195,18054.0
4.195,4.195,4.128,4.194,4597.0
4.194,4.239,4.135,4.239,1515.0
4.196,4.2,4.14,4.142,6219.0
4.234,4.234,4.156,4.231,3550.0
4.231,4.235,4.18,4.191,847.0
4.199,4.213,4.199,4.213,518.0
4.213,4.213,4.172,4.213,931.0
4.213,4.213,4.213,4.213,58.0
4.213,4.213,4.213,4.213,23.0
4.213,4.213,4.213,4.213,0.0
4.213,4.213,4.213,4.213,1175.0
4.214,4.214,4.214,4.214,69.0
4.21,4.21,4.172,4.2,9432.0
4.199,4.205,4.172,4.205,13388.0
4.204,4.209,4.171,4.174,14832.0
4.199,4.2,4.178,4.18,6553.0
4.195,4.201,4.18,4.201,21924.0
4.202,4.203,4.199,4.2,11889.0
4.193,4.2,4.178,4.178,4594.0
4.198,4.2,4.181,4.2,3626.0
4.199,4.201,4.181,4.201,6938.0
4.2,4.201,4.175,4.199,4218.0
4.199,4.2,4.183,4.2,4003.0
4.2,4.201,4.195,4.2,4047.0
4.199,4.203,4.183,4.203,13193.0
4.2,4.203,4.184,4.201,3871.0
4.201,4.206,4.176,4.176,13493.0
4.198,4.199,4.179,4.179,15373.0
4.197,4.197,4.197,4.197,376.0
4.197,4.197,4.179,4.193,504.0
4.193,4.194,4.193,4.193,11865.0
4.193,4.196,4.18,4.196,71.0
4.196,4.196,4.182,4.182,184.0
4.194,4.194,4.194,4.194,210.0
4.194,4.195,4.194,4.195,413.0
4.182,4.182,4.182,4.182,84.0
4.194,4.194,4.18,4.18,5279.0
4.193,4.193,4.18,4.193,1307.0
4.194,4.196,4.18,4.193,3241.0
4.195,4.199,4.186,4.199,15240.0
4.199,4.199,4.185,4.197,6030.0
4.185,4.198,4.185,4.197,5457.0
4.197,4.198,4.188,4.196,11293.0
4.196,4.199,4.191,4.198,9561.0
4.198,4.199,4.194,4.198,1828.0
4.198,4.199,4.194,4.199,5580.0
4.199,4.199,4.19,4.197,20295.0
4.197,4.199,4.185,4.186,6287.0
4.187,4.199,4.184,4.197,18817.0
4.196,4.199,4.182,4.196,6016.0
4.196,4.198,4.182,4.198,4999.0
4.196,4.197,4.185,4.196,1245.0
4.196,4.197,4.183,4.183,532.0
4.194,4.195,4.183,4.195,2011.0
4.195,4.195,4.186,4.189,3296.0
4.185,4.185,4.157,4.157,10054.0
4.193,4.198,4.193,4.198,4266.0
4.2,4.204,4.177,4.204,2642.0
4.204,4.204,4.204,4.204,317.0
4.203,4.204,4.203,4.204,1141.0
4.204,4.211,4.176,4.21,9904.0
4.209,4.212,4.2,4.2,10852.0
4.208,4.22,4.17,4.205,22246.0
4.204,4.213,4.185,4.213,25698.0
4.211,4.218,4.2,4.218,53783.0
4.218,4.224,4.201,4.219,64894.0
4.219,4.223,4.204,4.215,38385.0
4.215,4.22,4.204,4.219,21161.0
4.219,4.222,4.181,4.22,32504.0
4.22,4.222,4.206,4.221,14099.0
4.221,4.221,4.184,4.213,19395.0
4.213,4.217,4.181,4.202,18471.0
4.215,4.224,4.203,4.216,15729.0
4.216,4.218,4.201,4.214,16388.0
4.213,4.224,4.183,4.215,11007.0
4.215,4.215,4.188,4.188,1686.0
4.188,4.211,4.186,4.198,2378.0
4.183,4.215,4.183,4.215,9652.0
4.185,4.185,4.185,4.185,268.0
4.185,4.212,4.185,4.209,614.0
4.188,4.205,4.188,4.205,1207.0
4.205,4.205,4.205,4.205,0.0
4.2,4.2,4.181,4.183,3730.0
4.183,4.196,4.18,4.188,51075.0
4.193,4.195,4.177,4.193,13910.0
4.193,4.194,4.177,4.179,6649.0
4.188,4.191,4.186,4.191,27095.0
4.186,4.191,4.18,4.18,19911.0
4.189,4.193,4.179,4.19,11713.0
4.19,4.192,4.182,4.182,4479.0
4.181,4.188,4.172,4.184,50217.0
4.184,4.19,4.171,4.19,28421.0
4.19,4.19,4.162,4.166,23793.0
4.186,4.19,4.171,4.175,17604.0
4.175,4.185,4.163,4.172,47491.0
4.173,4.18,4.165,4.177,16771.0
4.168,4.179,4.163,4.174,11912.0
4.165,4.185,4.163,4.177,9836.0
4.176,4.19,4.16,4.16,19833.0
4.182,4.188,4.15,4.151,4951.0
4.151,4.179,4.15,4.17,6482.0
4.17,4.173,4.142,4.17,4198.0
4.168,4.168,4.141,4.162,189.0
4.162,4.162,4.162,4.162,0.0
4.175,4.175,4.172,4.172,550.0
4.15,4.15,4.15,4.15,494.0
4.15,4.15,4.15,4.15,1923.0
4.15,4.172,4.15,4.172,864.0
4.172,4.172,4.169,4.169,5555.0
4.169,4.17,4.126,4.126,10929.0
4.16,4.16,4.16,4.16,24.0
