Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
34.83,34.84,34.55,34.81,268953.0
34.82,34.82,34.76,34.78,179219.0
34.77,34.78,34.68,34.77,202405.0
34.76,34.79,34.75,34.77,218870.0
34.77,34.79,34.75,34.78,115855.0
34.78,34.82,34.78,34.79,149956.0
34.79,34.81,34.76,34.76,93707.0
34.77,34.89,34.75,34.86,152606.0
34.86,34.88,34.81,34.83,176299.0
34.83,34.85,34.75,34.8,250710.0
34.81,34.86,34.8,34.8,163730.0
34.81,34.82,34.76,34.77,164744.0
34.76,34.84,34.76,34.83,119660.0
34.84,34.85,34.77,34.79,116934.0
34.79,34.8,34.75,34.77,260075.0
34.77,34.8,34.76,34.79,239921.0
34.78,34.81,34.77,34.79,218187.0
34.79,34.82,34.74,34.75,225592.0
34.75,34.78,34.64,34.78,311669.0
34.78,34.83,34.76,34.79,190923.0
34.79,34.83,34.76,34.79,164476.0
34.8,34.83,34.78,34.82,196862.0
34.81,34.82,34.74,34.77,187237.0
34.77,34.82,34.74,34.78,105720.0
34.77,34.81,34.66,34.81,118287.0
34.81,34.84,34.78,34.83,176511.0
34.82,34.89,34.81,34.84,198319.0
34.84,34.93,34.78,34.81,99238.0
34.81,34.96,34.75,34.82,219570.0
34.83,34.95,34.78,34.88,87030.0
34.88,34.9,34.82,34.83,106357.0
34.83,34.85,34.81,34.83,126054.0
34.82,34.84,34.78,34.8,75676.0
34.8,34.81,34.78,34.8,106263.0
34.8,34.81,34.75,34.8,107251.0
34.8,34.83,34.78,34.82,132852.0
34.82,34.83,34.76,34.77,94239.0
34.77,34.81,34.76,34.78,171023.0
34.77,34.79,34.75,34.78,116730.0
34.79,34.81,34.75,34.8,170453.0
34.79,34.9,34.79,34.81,125864.0
34.81,34.88,34.8,34.87,113223.0
34.87,34.93,34.85,34.91,163595.0
34.92,35.03,34.91,34.98,188608.0
34.98,35.01,34.93,34.96,163436.0
34.95,35.02,34.84,34.93,312907.0
34.94,34.97,34.93,34.93,179871.0
34.94,34.96,34.89,34.91,185690.0
34.91,34.92,34.88,34.9,119627.0
34.9,34.92,34.88,34.9,164580.0
34.9,34.9,34.84,34.88,229937.0
34.87,34.9,34.84,34.86,169703.0
34.86,34.89,34.78,34.87,146006.0
34.86,34.88,34.8,34.86,171287.0
34.86,34.88,34.83,34.84,108425.0
34.84,34.85,34.83,34.84,72629.0
34.83,34.85,34.83,34.83,57156.0
34.83,34.85,34.82,34.83,47757.0
34.84,34.86,34.83,34.85,72030.0
34.85,34.86,34.84,34.85,78658.0
34.86,34.9,34.85,34.9,63307.0
34.9,34.92,34.89,34.92,127887.0
34.92,34.93,34.85,34.85,143741.0
34.85,34.87,34.83,34.87,210420.0
34.86,34.89,34.84,34.88,282908.0
34.88,34.9,34.82,34.84,245230.0
34.84,34.9,34.83,34.89,197604.0
34.89,34.91,34.86,34.91,130306.0
34.91,34.92,34.89,34.9,144368.0
34.9,34.91,34.88,34.9,183381.0
34.9,34.91,34.85,34.85,264004.0
34.86,34.89,34.84,34.88,269064.0
34.87,34.9,34.84,34.86,382055.0
34.86,34.88,34.81,34.86,339671.0
34.85,34.88,34.83,34.85,301145.0
34.85,34.88,34.84,34.88,200075.0
34.86,34.9,34.86,34.88,118686.0
34.87,34.88,34.84,34.85,102044.0
34.85,34.88,34.84,34.86,71532.0
34.86,34.88,34.85,34.87,79165.0
34.87,34.88,34.85,34.87,70865.0
34.87,34.88,34.85,34.87,67275.0
34.86,34.88,34.86,34.86,72651.0
34.86,34.89,34.86,34.89,79106.0
34.88,34.92,34.87,34.9,74869.0
34.91,34.91,34.89,34.9,118674.0
34.9,34.93,34.84,34.93,153658.0
34.93,34.94,34.86,34.89,180271.0
34.89,34.94,34.88,34.94,145095.0
34.93,34.94,34.91,34.92,98109.0
34.91,34.94,34.9,34.93,193123.0
34.93,34.94,34.91,34.93,99701.0
34.93,34.94,34.9,34.91,135652.0
34.91,34.92,34.9,34.9,94704.0
34.91,34.92,34.89,34.9,267068.0
34.91,34.92,34.89,34.89,169625.0
34.89,34.91,34.88,34.9,290345.0
34.9,34.91,34.81,34.9,147985.0
34.9,34.91,34.78,34.9,96469.0
34.9,34.92,34.88,34.91,74562.0
34.92,34.92,34.87,34.87,62577.0
34.87,34.87,34.82,34.83,50990.0
34.83,34.9,34.8,34.88,106657.0
34.89,34.89,34.82,34.85,123222.0
34.86,34.88,34.85,34.86,170781.0
34.87,34.89,34.86,34.89,41389.0
34.9,34.93,34.89,34.92,169389.0
34.92,34.93,34.89,34.9,157826.0
34.91,34.92,34.87,34.88,224880.0
34.87,34.94,34.86,34.89,245655.0
34.87,34.94,34.87,34.92,183614.0
34.92,34.99,34.92,34.96,208265.0
34.94,34.96,34.9,34.96,129435.0
34.95,35.0,34.93,34.99,115819.0
34.99,35.02,34.91,34.98,187126.0
34.98,35.01,34.95,34.99,308928.0
34.98,35.01,34.91,34.93,213980.0
34.93,35.01,34.89,35.01,235781.0
35.0,35.03,34.9,34.94,335838.0
34.94,35.01,34.9,35.0,171159.0
35.0,35.0,34.92,34.95,109218.0
34.94,35.02,34.87,34.98,162138.0
34.98,35.0,34.96,34.98,411983.0
34.98,35.84,28.0,35.17,1787301.0
35.17,35.27,35.13,35.2,761777.0
35.18,35.2,35.07,35.11,241798.0
35.11,35.12,35.08,35.09,146687.0
35.09,35.1,35.06,35.09,155863.0
35.09,35.12,35.08,35.09,174026.0
35.11,35.2,35.1,35.12,162382.0
35.12,35.26,34.98,35.22,192637.0
35.24,35.42,35.24,35.41,169837.0
35.41,35.42,35.14,35.3,178232.0
35.3,35.34,35.15,35.21,188568.0
35.22,35.33,35.09,35.09,225061.0
35.07,35.21,34.97,35.12,192656.0
35.11,35.19,35.04,35.06,197860.0
35.05,35.1,35.0,35.07,136828.0
35.09,35.22,35.05,35.16,236840.0
35.15,35.2,35.01,35.09,208025.0
35.09,35.2,35.04,35.11,271599.0
35.11,35.32,35.06,35.23,361069.0
35.22,35.23,35.13,35.17,290634.0
35.17,35.24,35.08,35.13,281245.0
35.13,35.21,34.88,35.09,188476.0
35.09,35.14,35.06,35.13,101917.0
35.13,35.15,35.04,35.1,193013.0
35.1,35.13,35.05,35.12,200109.0
35.11,35.12,35.07,35.09,45633.0
35.08,35.09,35.05,35.06,58952.0
35.06,35.07,35.02,35.04,59873.0
35.04,35.06,34.95,34.99,118450.0
34.99,35.09,34.98,35.07,58139.0
35.07,35.09,35.05,35.07,51015.0
35.06,35.1,35.06,35.08,49646.0
35.08,35.09,35.06,35.07,56617.0
35.06,35.1,35.0,35.02,94990.0
35.02,35.06,35.0,35.0,95104.0
35.0,35.14,35.0,35.07,227389.0
35.08,35.12,35.03,35.06,198426.0
35.06,35.07,34.95,35.05,130460.0
35.06,35.07,34.95,34.99,194255.0
34.99,35.0,34.85,34.89,259973.0
34.9,34.98,34.88,34.97,230360.0
34.97,34.99,34.93,34.94,184774.0
34.95,34.97,34.89,34.93,263420.0
34.93,34.94,34.9,34.91,179692.0
34.91,34.95,34.91,34.93,148779.0
34.93,34.97,34.92,34.93,184957.0
34.93,34.94,34.9,34.91,102254.0
34.91,34.93,34.9,34.92,205715.0
34.92,34.95,34.91,34.93,134226.0
34.93,34.94,34.89,34.93,61358.0
34.94,34.94,34.91,34.91,49904.0
34.91,34.91,34.88,34.9,98676.0
34.91,34.91,34.89,34.89,59498.0
34.9,34.91,34.86,34.87,71131.0
34.88,34.88,34.81,34.81,125223.0
34.81,34.9,34.78,34.9,189572.0
34.89,34.9,34.87,34.88,122252.0
34.88,34.93,34.87,34.92,145027.0
34.92,34.92,34.51,34.91,140858.0
34.9,34.91,34.87,34.9,137683.0
34.9,34.93,34.87,34.91,171480.0
34.91,34.93,34.81,34.91,139522.0
34.9,34.92,34.89,34.9,115557.0
34.9,34.92,34.88,34.89,158590.0
34.9,34.92,34.81,34.92,295128.0
34.91,34.95,34.91,34.94,139994.0
34.93,34.96,34.92,34.95,216763.0
34.95,34.95,34.92,34.95,193227.0
34.94,34.96,34.93,34.93,97170.0
34.94,34.95,34.93,34.95,92505.0
34.95,34.98,34.93,34.94,269005.0
34.94,34.97,34.93,34.94,157016.0
34.94,34.96,34.93,34.95,116211.0
34.95,34.98,34.94,34.95,129848.0
34.95,34.97,34.95,34.95,47282.0
34.96,34.97,34.95,34.96,46444.0
34.96,34.96,34.94,34.96,73744.0
34.95,34.97,34.75,34.96,108766.0
34.96,34.97,34.93,34.94,35706.0
34.94,34.97,34.94,34.97,55389.0
34.97,34.97,34.95,34.96,108951.0
34.96,34.98,34.92,34.93,105200.0
34.93,34.94,34.88,34.89,129162.0
34.88,34.91,34.87,34.88,133167.0
34.88,34.91,34.87,34.88,112309.0
34.89,34.91,34.87,34.9,277504.0
34.9,34.91,34.87,34.89,135726.0
34.89,34.9,34.88,34.89,69490.0
34.9,34.98,34.85,34.96,107041.0
34.96,35.02,34.9,34.99,183571.0
34.99,35.07,34.98,35.05,169901.0
35.05,35.07,35.04,35.07,84814.0
35.07,35.07,35.01,35.02,145785.0
35.03,35.04,35.01,35.04,127364.0
35.03,35.05,34.99,35.02,82454.0
35.03,35.04,35.0,35.0,74245.0
35.01,35.03,35.0,35.02,77449.0
35.03,35.05,35.02,35.04,79848.0
35.04,35.05,35.01,35.02,48202.0
35.01,35.04,35.01,35.02,44094.0
35.02,35.02,34.92,34.94,62148.0
34.94,34.98,34.93,34.96,42755.0
34.96,34.97,34.96,34.96,9237.0
34.96,35.0,34.96,35.0,51104.0
34.99,35.03,34.99,35.01,51434.0
35.01,35.04,34.98,35.0,65223.0
34.99,35.0,34.91,35.0,73216.0
35.0,35.01,34.99,35.0,70152.0
35.01,35.04,35.0,35.04,69605.0
35.03,35.06,35.03,35.06,77137.0
35.06,35.08,35.05,35.07,50998.0
35.07,35.08,35.05,35.06,80153.0
35.06,35.09,35.06,35.09,181147.0
35.09,35.1,35.06,35.09,62848.0
35.09,35.1,35.06,35.08,170449.0
35.08,35.12,35.08,35.11,234052.0
35.1,35.11,35.06,35.09,153957.0
35.09,35.11,35.07,35.1,118538.0
35.11,35.12,35.09,35.12,97926.0
35.12,35.14,35.11,35.13,108630.0
35.13,35.14,35.11,35.13,57462.0
35.13,35.16,35.13,35.14,79439.0
35.14,35.16,35.13,35.15,43448.0
35.15,35.15,35.13,35.14,55269.0
35.14,35.15,35.13,35.13,34979.0
35.13,35.14,35.13,35.14,39487.0
35.13,35.14,35.13,35.13,12213.0
35.13,35.15,35.13,35.13,36838.0
35.14,35.16,35.13,35.15,45752.0
35.15,35.16,35.14,35.15,34529.0
35.16,35.2,35.15,35.19,143719.0
35.2,35.22,35.17,35.19,129934.0
35.19,35.2,35.12,35.13,121818.0
35.12,35.19,35.09,35.18,110323.0
35.18,35.19,35.15,35.17,77087.0
35.17,35.2,35.15,35.19,180748.0
35.2,35.22,35.17,35.21,134482.0
35.21,35.21,35.15,35.16,90925.0
35.15,35.17,35.13,35.16,88278.0
35.15,35.19,35.15,35.17,235333.0
35.16,35.17,35.14,35.17,156546.0
35.17,35.17,35.15,35.16,124619.0
35.16,35.16,35.13,35.15,242887.0
35.14,35.16,35.03,35.15,141268.0
35.16,35.2,35.12,35.2,184036.0
35.2,35.21,35.19,35.2,128207.0
35.2,35.2,35.01,35.02,222666.0
35.02,35.03,35.0,35.0,132002.0
35.0,35.01,34.97,35.0,99844.0
35.0,35.05,34.99,35.03,51057.0
35.04,35.08,35.03,35.08,57512.0
35.08,35.12,35.08,35.08,24301.0
35.08,35.09,35.04,35.06,72515.0
35.06,35.16,35.06,35.14,98703.0
