Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.9993,0.9994,0.9987,0.9987,72935470.0
0.9987,0.9988,0.9983,0.9985,71062368.0
0.9985,0.9986,0.9975,0.9977,166305654.0
0.9976,0.9983,0.9974,0.9981,115747735.0
0.9981,0.9986,0.9981,0.9984,44695391.0
0.9984,0.9987,0.9983,0.9984,55057042.0
0.9984,0.9985,0.9981,0.9983,71204876.0
0.9983,0.9988,0.9981,0.9987,134684296.0
0.9988,0.9993,0.9984,0.9992,133385026.0
0.9992,0.9995,0.999,0.9991,168337629.0
0.9991,0.9993,0.999,0.9992,96961875.0
0.9991,0.9994,0.999,0.999,88066652.0
0.999,0.9996,0.9988,0.9995,128199238.0
0.9995,0.9996,0.9992,0.9994,96054566.0
0.9994,0.9995,0.9985,0.9989,113101240.0
0.9989,0.9992,0.9987,0.9991,67649079.0
0.9992,0.9992,0.999,0.9991,49176562.0
0.9991,0.9994,0.9991,0.9992,80858599.0
0.9992,0.9993,0.9989,0.999,62924893.0
0.999,0.9994,0.9989,0.999,73477894.0
0.9991,0.9993,0.9989,0.9991,91848388.0
0.9991,0.9992,0.9988,0.9991,119288769.0
0.9991,0.9994,0.9988,0.9992,129502692.0
0.9992,0.9995,0.9989,0.9992,69544089.0
0.9993,0.9996,0.9992,0.9995,94107909.0
0.9995,0.9997,0.9992,0.9997,82865259.0
0.9996,0.9998,0.9992,0.9993,107309544.0
0.9993,0.9994,0.9989,0.999,63910219.0
0.999,0.9991,0.9971,0.998,177709212.0
0.998,0.9989,0.9975,0.9988,83557147.0
0.9988,0.9993,0.9987,0.9993,61159450.0
0.9992,0.9995,0.9992,0.9994,61946233.0
0.9995,0.9995,0.9993,0.9993,36900972.0
0.9994,0.9995,0.9993,0.9994,44990074.0
0.9995,0.9997,0.9994,0.9995,37762676.0
0.9995,0.9996,0.9993,0.9994,54589958.0
0.9994,0.9995,0.9992,0.9992,47902118.0
0.9992,0.9994,0.9991,0.9992,64153462.0
0.9991,0.9994,0.9991,0.9992,93462804.0
0.9993,0.9993,0.999,0.9991,76472322.0
0.9991,0.9993,0.9989,0.9991,105516267.0
0.9991,0.9992,0.999,0.9991,30232751.0
0.9991,0.9992,0.9989,0.9991,49661087.0
0.9991,0.9993,0.9989,0.9991,79074049.0
0.999,0.9991,0.9986,0.999,96728214.0
0.9989,0.999,0.9986,0.9988,84091047.0
0.9988,0.9989,0.9986,0.9987,61081102.0
0.9988,0.999,0.9986,0.9988,100004558.0
0.9988,0.9988,0.9984,0.9984,46041625.0
0.9985,0.9986,0.9981,0.9983,63514544.0
