Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
3.199,3.246,3.179,3.212,36444.18
3.211,3.268,3.201,3.246,44454.46
3.24,3.31,3.171,3.221,82907.27
3.222,3.275,3.204,3.231,51440.64
3.226,3.247,3.195,3.2,46551.03
3.2,3.211,3.113,3.198,65218.94
3.199,3.2,3.127,3.136,73669.04
3.135,3.135,3.041,3.094,77692.72
3.086,3.263,3.083,3.224,98447.3
3.22,3.347,3.219,3.243,99965.3
3.249,3.346,3.235,3.34,36073.84
3.341,3.37,3.276,3.322,42398.72
3.322,3.329,3.245,3.284,30976.05
3.284,3.33,3.281,3.29,50161.95
3.291,3.338,3.28,3.29,39620.0
3.29,3.292,3.267,3.288,18744.79
3.286,3.301,3.273,3.279,12106.6
3.279,3.315,3.269,3.31,31720.62
3.305,3.379,3.304,3.31,83240.23
3.307,3.318,3.285,3.299,28098.4
3.3,3.332,3.271,3.305,38404.55
3.309,3.341,3.255,3.28,80056.15
3.281,3.337,3.248,3.315,53176.86
3.313,3.336,3.296,3.334,61206.94
3.333,3.347,3.292,3.296,38312.96
3.299,3.346,3.219,3.237,166632.4
3.23,3.263,3.191,3.242,89598.28
3.244,3.292,3.232,3.29,24140.71
3.292,3.33,3.141,3.303,117613.98
3.302,3.448,3.245,3.351,159344.97
3.351,3.415,3.274,3.404,88434.75
3.405,3.491,3.367,3.408,159726.76
3.408,3.494,3.371,3.475,99033.67
3.474,3.558,3.461,3.506,123485.34
3.51,3.515,3.443,3.449,57652.07
3.447,3.472,3.41,3.415,52061.19
3.415,3.477,3.414,3.441,38264.4
3.445,3.523,3.438,3.517,38067.96
3.516,3.604,3.504,3.532,120029.21
3.533,3.533,3.423,3.445,105075.74
3.449,3.46,3.384,3.407,83563.94
3.409,3.409,3.336,3.366,57315.08
3.361,3.408,3.309,3.323,70750.93
3.315,3.409,3.281,3.382,66427.86
3.387,3.482,3.368,3.452,100780.12
3.445,3.462,3.398,3.428,61282.21
3.432,3.444,3.411,3.414,23761.25
3.416,3.471,3.411,3.437,45327.14
3.44,3.483,3.428,3.454,45190.86
3.452,3.587,3.451,3.491,227369.71
3.491,3.555,3.479,3.519,94110.98
3.518,3.545,3.501,3.516,49895.14
3.52,3.549,3.488,3.502,40111.16
3.5,3.528,3.467,3.487,45282.5
3.491,3.543,3.457,3.482,40563.54
3.474,3.496,3.457,3.474,17409.68
3.461,3.485,3.452,3.457,20034.44
3.462,3.471,3.438,3.466,25615.29
3.462,3.466,3.435,3.444,21423.91
3.451,3.451,3.408,3.428,18291.77
3.428,3.445,3.416,3.429,21861.08
3.429,3.48,3.427,3.48,34190.3
3.478,3.553,3.477,3.536,41556.81
3.529,3.6,3.52,3.598,83971.98
3.598,3.676,3.565,3.676,126801.46
3.676,3.729,3.631,3.664,164052.9
3.664,3.671,3.61,3.62,155882.19
3.619,3.697,3.602,3.695,61328.25
3.685,3.699,3.65,3.699,30170.55
3.7,3.828,3.669,3.782,92520.27
3.786,3.88,3.713,3.825,177893.69
3.828,3.907,3.799,3.875,155525.27
3.869,3.928,3.83,3.867,110177.01
3.878,3.969,3.875,3.961,109347.07
3.954,3.992,3.881,3.984,144722.81
3.982,4.003,3.929,3.999,79396.33
3.998,4.017,3.905,3.905,80839.36
3.903,3.978,3.879,3.884,38160.39
3.883,3.902,3.835,3.862,70965.29
3.864,3.923,3.853,3.882,36941.8
3.884,3.912,3.849,3.866,29940.93
3.865,3.909,3.855,3.884,82267.74
3.881,3.933,3.862,3.862,21642.78
3.864,3.904,3.74,3.777,116684.29
3.776,3.786,3.754,3.771,31709.09
3.772,3.792,3.746,3.761,14352.7
3.761,3.77,3.683,3.683,52727.9
3.688,3.733,3.662,3.678,46248.25
3.679,3.731,3.675,3.711,31241.24
3.71,3.755,3.707,3.755,28003.64
3.752,3.761,3.718,3.735,31184.45
3.729,3.763,3.721,3.734,45356.8
3.734,3.735,3.691,3.691,26205.01
3.697,3.71,3.66,3.704,22511.32
3.704,3.748,3.679,3.689,35453.43
3.687,3.715,3.669,3.688,33312.9
3.688,3.692,3.642,3.671,50888.62
3.663,3.699,3.644,3.699,17031.89
3.699,3.719,3.685,3.708,14488.35
3.705,3.722,3.686,3.706,12359.37
3.706,3.74,3.703,3.738,9551.58
3.733,3.744,3.701,3.719,39627.67
3.721,3.721,3.62,3.648,46562.77
3.652,3.682,3.605,3.631,31011.34
3.622,3.684,3.605,3.674,43781.06
3.674,3.697,3.601,3.649,42168.53
3.652,3.715,3.643,3.692,24974.37
3.695,3.71,3.655,3.681,8378.89
3.686,3.697,3.615,3.632,36037.59
3.629,3.63,3.554,3.588,63419.59
3.586,3.588,3.432,3.435,123466.91
3.434,3.476,3.388,3.423,64096.83
3.423,3.452,3.394,3.43,37702.95
3.423,3.425,3.332,3.347,77885.22
3.341,3.367,3.3,3.361,96914.23
3.357,3.452,3.33,3.429,94175.23
3.428,3.511,3.402,3.482,105326.11
3.485,3.54,3.403,3.446,238945.71
3.443,3.536,3.408,3.438,154425.67
3.44,3.472,3.416,3.416,251498.47
3.416,3.47,3.416,3.421,32500.6
3.418,3.45,3.4,3.4,31629.48
3.401,3.442,3.107,3.14,500695.68
3.138,3.153,2.525,3.0,845550.2
2.996,3.041,2.665,3.028,496352.4
3.031,3.1,2.995,3.048,103168.67
3.049,3.142,2.971,3.077,122222.96
3.078,3.091,3.001,3.052,71225.57
3.042,3.042,2.919,2.919,63489.05
2.927,2.955,2.804,2.946,108815.42
2.94,2.983,2.866,2.975,51292.21
2.97,2.997,2.942,2.969,26208.9
2.96,3.014,2.945,2.998,50772.56
3.001,3.015,2.966,2.992,39571.35
2.984,2.984,2.932,2.956,45478.03
2.957,3.005,2.93,2.961,25653.73
2.96,3.003,2.95,2.95,69998.07
2.952,2.96,2.888,2.915,72276.09
2.916,2.93,2.809,2.822,115842.36
2.824,2.9,2.821,2.883,62453.29
2.886,2.934,2.855,2.864,73738.63
2.875,2.891,2.698,2.7,148991.89
2.703,3.444,2.642,2.797,362773.98
2.797,2.798,2.662,2.664,143050.67
2.667,2.844,2.656,2.8,112954.99
2.801,2.84,2.77,2.794,108617.75
2.793,2.851,2.786,2.836,64345.96
2.837,2.893,2.827,2.831,89571.46
2.844,2.889,2.843,2.85,28404.99
2.85,2.872,2.84,2.848,24636.08
2.845,2.866,2.793,2.841,47979.13
2.831,2.842,2.76,2.777,47609.25
2.775,2.877,2.767,2.865,59442.15
2.86,2.896,2.86,2.87,8669.85
2.88,2.903,2.853,2.87,40857.16
2.872,2.886,2.838,2.858,10695.94
2.849,2.907,2.843,2.878,41576.76
2.877,2.91,2.861,2.861,62143.43
2.869,2.943,2.855,2.931,29533.46
2.933,2.979,2.92,2.979,54946.43
2.978,2.983,2.951,2.972,54373.33
2.968,2.985,2.953,2.967,71641.71
2.966,2.989,2.94,2.963,46105.89
2.968,3.016,2.953,2.996,124552.15
2.993,3.003,2.931,2.991,103251.4
2.992,3.077,2.986,3.043,157465.45
3.046,3.135,3.046,3.085,171035.49
3.083,3.099,3.036,3.041,42497.26
3.048,3.072,3.031,3.053,24707.93
3.056,3.082,3.049,3.075,24897.4
3.077,3.097,3.054,3.065,18348.92
3.062,3.071,3.05,3.055,22256.98
3.055,3.068,3.031,3.045,26380.15
3.048,3.065,3.043,3.05,7077.71
3.049,3.063,3.02,3.037,44838.4
3.038,3.074,3.033,3.048,20845.88
3.051,3.166,3.051,3.159,48850.01
3.157,3.198,3.135,3.143,72135.08
3.145,3.15,3.096,3.114,30799.98
3.117,3.188,3.11,3.145,39495.28
3.146,3.163,3.106,3.122,62437.34
3.123,3.145,3.103,3.106,14095.12
3.111,3.157,3.111,3.139,25391.28
3.139,3.154,3.092,3.096,37915.36
3.101,3.101,3.036,3.078,89796.77
3.074,3.075,3.04,3.069,29870.95
3.074,3.099,3.062,3.094,34828.07
3.094,3.132,3.04,3.072,58944.82
3.069,3.104,3.046,3.089,37120.48
3.087,3.108,3.038,3.08,29732.43
3.079,3.133,3.065,3.081,54807.24
3.088,3.108,3.078,3.105,22717.98
3.105,3.113,3.051,3.075,29425.27
3.074,3.09,2.967,2.982,74206.33
2.986,3.027,2.98,3.012,43996.76
3.01,3.017,2.968,2.982,38367.09
2.976,2.979,2.93,2.953,51873.41
2.96,2.969,2.937,2.95,30226.97
2.946,2.976,2.943,2.955,19826.18
2.953,2.953,2.892,2.921,46339.09
