Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.3836,0.4478,0.3836,0.4027,7176.6
0.4012,0.4012,0.3924,0.3973,9011.0
0.3924,0.3965,0.3921,0.3965,1836.1
0.3965,0.3995,0.3953,0.3954,16449.8
0.3954,0.3954,0.3849,0.3849,1528.1
0.3859,0.3946,0.3803,0.3908,122472.2
0.3925,0.3994,0.392,0.3984,16763.7
0.3972,0.4052,0.3964,0.3994,21478.0
0.3988,0.4046,0.3988,0.4032,134959.1
0.4033,0.4046,0.4,0.402,67878.6
0.4019,0.4088,0.4014,0.4036,65420.0
0.4031,0.407,0.4007,0.4018,149503.9
0.4011,0.4057,0.4003,0.4028,212834.5
0.4025,0.405,0.4009,0.4013,120444.5
0.4012,0.4036,0.3989,0.4007,69231.4
0.4009,0.4023,0.3962,0.4007,135938.6
0.4003,0.403,0.394,0.3965,188973.7
0.3967,0.4028,0.3949,0.3981,1197714.5
0.3972,0.3991,0.3941,0.3944,124448.4
0.3944,0.3967,0.3913,0.3959,75080.0
0.3954,0.4004,0.3935,0.3969,69439.9
0.3966,0.397,0.3923,0.3937,39356.2
0.3942,0.3963,0.393,0.3941,35598.4
0.3936,0.3936,0.3886,0.3912,39136.8
0.3918,0.3933,0.3888,0.3909,40787.1
0.391,0.3959,0.3907,0.3914,135726.9
0.3914,0.3916,0.3875,0.3887,34939.2
0.3888,0.3924,0.3886,0.3903,59327.9
0.3904,0.3968,0.39,0.3947,35704.6
0.3947,0.3949,0.3923,0.3943,16567.4
0.3924,0.3956,0.3888,0.3947,32170.0
0.3943,0.3972,0.3916,0.3933,26196.5
0.3934,0.394,0.3902,0.3922,22982.1
0.3923,0.3927,0.3855,0.3871,26457.6
0.3892,0.393,0.3892,0.393,9503.9
0.3955,0.3957,0.3908,0.3909,1600.3
0.3903,0.3908,0.3903,0.3908,31830.3
0.3918,0.3969,0.3914,0.3942,18639.8
0.3943,0.3953,0.3942,0.3944,5413.2
0.3904,0.396,0.3899,0.3941,3389.5
0.3929,0.401,0.3929,0.401,1773.8
0.3977,0.3977,0.3924,0.3924,964.5
0.3907,0.3937,0.3907,0.3911,1353.6
0.3908,0.3936,0.39,0.39,2772.4
0.3892,0.3892,0.3813,0.3813,12412.0
0.38,0.3801,0.3773,0.3801,9079.9
0.3798,0.3827,0.3798,0.3827,172.0
0.3826,0.3852,0.3825,0.3832,3351.6
0.3847,0.3847,0.3765,0.3765,2620.8
0.3789,0.3805,0.3753,0.3753,4691.4
0.3782,0.3808,0.3782,0.3789,6433.2
0.3794,0.3808,0.3794,0.3803,5456.7
0.3785,0.3803,0.3774,0.3803,7814.6
0.3831,0.3851,0.3829,0.3849,8995.3
0.385,0.3855,0.3815,0.3815,7984.5
0.3803,0.383,0.3803,0.383,2240.4
0.383,0.384,0.3806,0.3806,10713.4
0.3813,0.3826,0.3793,0.3819,3366.2
0.3831,0.3844,0.3821,0.3821,3146.6
0.3807,0.383,0.3799,0.3826,5630.1
0.3833,0.3846,0.3833,0.3845,2839.5
0.3838,0.3861,0.3827,0.3861,5981.3
0.3852,0.3875,0.3852,0.3875,8409.6
0.3865,0.3895,0.3865,0.3895,610.5
0.3889,0.3889,0.3795,0.3795,4512.8
0.3833,0.3844,0.3781,0.3781,8733.4
0.38,0.38,0.3734,0.3734,2926.4
0.3747,0.3747,0.37,0.37,9281.8
0.3705,0.3713,0.3705,0.3707,2903.1
0.3725,0.3736,0.3724,0.3734,3929.2
0.3727,0.3727,0.367,0.3679,580.5
0.3675,0.3675,0.361,0.3664,7540.9
0.3622,0.3639,0.3536,0.3536,4636.1
0.353,0.3592,0.35,0.352,21462.9
0.3558,0.3566,0.3526,0.3566,12300.6
0.3551,0.3551,0.3464,0.3464,25826.4
0.3451,0.3496,0.3435,0.3465,34653.2
0.3508,0.3611,0.3494,0.3596,8404.4
0.3568,0.3633,0.3543,0.3633,31062.0
0.3624,0.3624,0.3476,0.3511,10138.2
0.3476,0.3537,0.3472,0.3526,5682.3
0.3513,0.3547,0.3505,0.3505,5708.7
0.3496,0.3529,0.3496,0.3518,10112.3
0.3495,0.3527,0.3492,0.3492,35827.8
0.3491,0.3491,0.3157,0.3227,130357.8
0.32,0.3207,0.2501,0.3137,231821.4
0.3131,0.3135,0.2824,0.3135,130778.5
0.3128,0.3234,0.3128,0.3191,57720.5
0.3141,0.3219,0.31,0.3219,24249.4
0.3179,0.3189,0.3164,0.3178,7527.2
0.3128,0.3128,0.305,0.3109,21172.6
0.3039,0.3051,0.295,0.3051,2534.1
0.3049,0.3093,0.3007,0.3093,3948.2
0.3115,0.3146,0.3113,0.3135,7225.9
0.313,0.3188,0.3127,0.3188,15118.9
0.3166,0.3173,0.3163,0.3165,7853.6
0.3135,0.3171,0.3122,0.3161,7662.7
0.3209,0.3227,0.3161,0.317,4052.8
0.3219,0.325,0.3217,0.325,4341.4
0.3219,0.3231,0.3204,0.3231,1678.6
0.324,0.324,0.3056,0.3078,155237.8
0.3079,0.3142,0.3079,0.3101,53818.6
0.3093,0.3162,0.3093,0.3159,3504.9
0.3102,0.3102,0.2942,0.2942,38869.0
0.289,0.3019,0.289,0.3019,5550.5
0.2965,0.299,0.2885,0.2885,18491.0
0.2878,0.297,0.286,0.297,40536.6
0.2983,0.3031,0.2981,0.3022,440448.9
0.3043,0.309,0.3043,0.3087,7873.1
0.3138,0.3172,0.3127,0.314,5100.2
0.3172,0.3176,0.3141,0.3141,5280.6
0.3149,0.3149,0.3119,0.3126,3263.7
0.3126,0.3126,0.3049,0.3099,2933.5
0.3057,0.3057,0.299,0.299,1070.3
0.2994,0.3123,0.2994,0.3123,7255.6
0.3151,0.3151,0.3151,0.3151,438.2
0.3146,0.3146,0.3107,0.3107,5810.8
0.3107,0.3107,0.3083,0.3095,8023.2
0.3115,0.3115,0.3115,0.3115,325.6
0.3114,0.3129,0.3063,0.3063,23181.6
0.3064,0.3138,0.3064,0.3138,1571.0
0.3143,0.3151,0.3122,0.3151,13489.5
0.3158,0.3158,0.3143,0.3152,6256.4
0.3178,0.3189,0.3157,0.3179,2332.7
0.3179,0.3233,0.3179,0.3228,42559.5
0.3231,0.331,0.322,0.3244,258345.9
0.3273,0.34,0.3273,0.3373,5060.5
0.3391,0.3448,0.3391,0.3396,17955.9
0.3425,0.3425,0.3369,0.3389,28003.9
0.3412,0.3412,0.3355,0.3355,2807.7
0.3337,0.3384,0.3337,0.3384,5185.5
0.3387,0.3403,0.3387,0.3389,5247.9
0.3402,0.345,0.3401,0.3411,94021.1
0.3409,0.342,0.3394,0.342,2264.1
0.344,0.3473,0.3431,0.3473,19487.9
0.3465,0.3476,0.3441,0.3441,2078.5
0.3458,0.3464,0.3427,0.3427,3066.8
0.3419,0.3433,0.3419,0.3429,2344.7
0.3482,0.3542,0.3482,0.3542,8606.5
0.3565,0.3565,0.352,0.3528,11596.5
0.353,0.3536,0.3511,0.3516,5446.3
0.3527,0.358,0.3527,0.3574,4137.9
0.3515,0.3575,0.3511,0.3558,12414.7
0.3529,0.3532,0.3528,0.3532,545.5
0.3501,0.3531,0.35,0.3531,3550.7
0.3531,0.3531,0.3531,0.3531,0.0
0.3486,0.3486,0.3432,0.3432,144472.3
0.3431,0.3432,0.3399,0.3399,6372.5
0.3412,0.348,0.3412,0.348,1775.7
0.3478,0.3502,0.3421,0.3435,37906.5
0.3442,0.3453,0.3423,0.3436,9220.7
0.3467,0.3467,0.3408,0.341,2297.8
0.3444,0.3473,0.3426,0.344,14002.2
0.3446,0.3465,0.343,0.345,12521.2
0.3439,0.3441,0.3387,0.3392,6779.4
0.3397,0.3417,0.3277,0.3298,38865.7
0.3307,0.333,0.33,0.33,5264.4
0.3349,0.3369,0.3323,0.3323,2117.6
0.33,0.3339,0.33,0.3339,1999.4
0.3343,0.3343,0.3313,0.3328,2801.0
0.3328,0.3352,0.3328,0.3347,1675.2
0.3305,0.3305,0.3264,0.33,3619.5
0.3315,0.3339,0.3311,0.3339,5547.2
0.3333,0.3365,0.3333,0.3351,5679.4
0.3361,0.3361,0.3304,0.3324,4792.1
0.3355,0.3356,0.3326,0.3334,5667.2
0.3321,0.3329,0.3279,0.3279,30555.1
0.325,0.3288,0.323,0.3282,6324.5
0.3282,0.3308,0.3282,0.3304,16369.2
0.3306,0.3314,0.3262,0.3262,4383.6
0.3279,0.3294,0.3262,0.3294,9380.0
0.3297,0.3309,0.3296,0.3296,2887.4
0.3285,0.3304,0.3279,0.3279,1590.6
0.3284,0.3284,0.3256,0.3267,2854.8
0.3248,0.3262,0.3247,0.3247,2478.5
0.3276,0.3279,0.3199,0.32,19730.2
0.3211,0.3247,0.3203,0.3244,3152.9
0.3239,0.3241,0.3219,0.3241,2580.0
0.3227,0.3231,0.3225,0.3225,1639.4
0.3238,0.3245,0.3234,0.3245,636.7
0.3285,0.3289,0.3284,0.3284,37183.4
0.3294,0.3294,0.3294,0.3294,151.7
0.3264,0.3264,0.3233,0.3237,4741.5
0.3231,0.3285,0.3231,0.3285,1897.7
0.3277,0.3325,0.3277,0.3325,2887.5
0.3327,0.3363,0.3327,0.3363,1303.9
