Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.49,0.5016,0.49,0.498,27295.0
0.4979,0.5039,0.496,0.5014,8268.0
0.5009,0.5053,0.4902,0.4956,28599.0
0.4943,0.4994,0.488,0.4977,43445.0
0.4977,0.51,0.4904,0.492,116797.0
0.4903,0.4918,0.4787,0.49,26194.0
0.4881,0.4979,0.4845,0.4914,239397.0
0.4881,0.4881,0.4668,0.4756,104626.0
0.4756,0.4956,0.4756,0.4956,26893.0
0.4956,0.4959,0.4783,0.4783,12773.0
0.4842,0.4906,0.4838,0.4871,7648.0
0.4854,0.4921,0.4854,0.4881,17436.0
0.487,0.4918,0.4844,0.4918,11282.0
0.4939,0.4954,0.4892,0.4907,49518.0
0.496,0.5031,0.4939,0.4959,43082.0
0.4917,0.4932,0.4866,0.4905,15472.0
0.4885,0.4942,0.4874,0.4925,220737.0
0.496,0.4987,0.4932,0.4953,35165.0
0.4967,0.4967,0.49,0.4933,27319.0
0.4925,0.4953,0.4894,0.491,78848.0
0.4933,0.4946,0.486,0.486,16735.0
0.4869,0.5,0.4834,0.4952,26766.0
0.4932,0.5018,0.4918,0.4974,41686.0
0.4969,0.4989,0.4865,0.491,50498.0
0.491,0.4927,0.4854,0.4854,62835.0
0.4858,0.4887,0.4754,0.4779,325245.0
0.4778,0.4784,0.4693,0.4758,124943.0
0.475,0.4799,0.4735,0.4799,20552.0
0.4797,0.4843,0.46,0.4745,79826.0
0.4691,0.477,0.468,0.4713,61852.0
0.47,0.4829,0.47,0.4822,54513.0
0.48,0.4857,0.48,0.4822,68206.0
0.4792,0.4812,0.4761,0.4773,30278.0
0.4759,0.4802,0.4747,0.4794,16438.0
0.4812,0.484,0.4802,0.4835,5993.0
0.484,0.487,0.4822,0.4822,24280.0
0.4825,0.483,0.4795,0.4812,7953.0
0.4822,0.4823,0.4778,0.4797,36094.0
0.4804,0.4804,0.4734,0.4747,32850.0
0.4726,0.4726,0.4663,0.4693,14393.0
0.4675,0.4685,0.4604,0.4683,63856.0
0.4689,0.4699,0.464,0.4663,25305.0
0.4675,0.4728,0.4369,0.458,133301.0
0.4571,0.4668,0.4561,0.465,69470.0
0.4661,0.4755,0.4651,0.4744,66023.0
0.4742,0.4772,0.4701,0.4713,55605.0
0.4733,0.4786,0.4699,0.4748,97631.0
0.475,0.4799,0.4728,0.4776,29155.0
0.4776,0.4812,0.4773,0.4796,62271.0
0.4785,0.4834,0.4775,0.4834,190859.0
0.4839,0.487,0.4827,0.4857,139166.0
0.4853,0.4902,0.4808,0.4808,24921.0
0.4824,0.5,0.4815,0.499,81736.0
0.4982,0.4982,0.4884,0.4972,110179.0
0.4968,0.4989,0.4893,0.4931,45512.0
0.4928,0.5018,0.4908,0.4911,35813.0
0.4905,0.4947,0.4876,0.4919,36655.0
0.4913,0.4913,0.4855,0.4857,15228.0
0.4848,0.4894,0.4848,0.4873,6287.0
0.4859,0.4885,0.4857,0.4857,1187.0
0.4851,0.4886,0.4851,0.4885,16832.0
0.4884,0.4888,0.4802,0.485,49102.0
0.4837,0.4892,0.4817,0.4856,74823.0
0.4857,0.4906,0.4857,0.4891,38845.0
0.4908,0.4908,0.483,0.4846,30026.0
0.4846,0.4882,0.4825,0.4865,31084.0
0.4865,0.4878,0.4851,0.4876,95305.0
0.4876,0.4924,0.4876,0.4916,20793.0
0.4916,0.4971,0.4893,0.4948,24996.0
0.4966,0.5012,0.4922,0.5012,132536.0
0.504,0.5103,0.496,0.5001,124277.0
0.5005,0.5005,0.492,0.4924,66281.0
0.4923,0.4969,0.4923,0.4951,10502.0
0.4961,0.4987,0.4927,0.4927,13045.0
0.4927,0.4975,0.4927,0.4951,48882.0
0.4954,0.4982,0.4917,0.4943,36485.0
0.4941,0.4966,0.49,0.4901,29900.0
0.4929,0.507,0.4929,0.5054,38851.0
0.5033,0.5034,0.4953,0.4962,18849.0
0.4966,0.497,0.4916,0.4916,58025.0
0.4928,0.4939,0.4924,0.4928,3174.0
0.4933,0.4955,0.493,0.4938,100906.0
0.4932,0.4932,0.4876,0.4907,42385.0
0.491,0.491,0.4832,0.4848,39653.0
0.4852,0.488,0.4834,0.4875,34140.0
0.4876,0.4895,0.4876,0.4876,4095.0
0.4876,0.4876,0.4785,0.4785,52443.0
0.4793,0.4824,0.476,0.4773,123846.0
0.4785,0.4835,0.4785,0.4831,22004.0
0.483,0.4953,0.482,0.495,65416.0
0.495,0.495,0.4888,0.4917,33770.0
0.4919,0.4942,0.489,0.49,198770.0
0.4893,0.4895,0.4846,0.4846,35082.0
0.4855,0.4902,0.4828,0.4876,72965.0
0.4876,0.4897,0.486,0.4872,27538.0
0.4858,0.4916,0.4838,0.4915,20456.0
0.4919,0.4979,0.4916,0.4935,63492.0
0.491,0.4948,0.4901,0.4904,23303.0
0.4908,0.4918,0.4887,0.4887,39067.0
0.4879,0.4902,0.4875,0.4893,15220.0
0.4901,0.4933,0.4898,0.4931,36201.0
0.4931,0.5098,0.4912,0.4947,97409.0
0.4941,0.4941,0.476,0.4781,60808.0
0.4797,0.4826,0.478,0.4789,26548.0
0.4791,0.4804,0.4746,0.476,14910.0
0.4777,0.4777,0.4695,0.4706,22558.0
0.4734,0.4762,0.47,0.4762,9481.0
0.4767,0.4786,0.4753,0.4776,7027.0
0.4773,0.4773,0.4682,0.4712,17396.0
0.4705,0.4719,0.4637,0.4706,36766.0
0.4696,0.4699,0.453,0.4549,75168.0
0.4537,0.4591,0.4481,0.4555,103362.0
0.4532,0.4597,0.4532,0.4597,26684.0
0.4595,0.4595,0.4484,0.4505,52494.0
0.4494,0.4569,0.4476,0.4565,95447.0
0.4565,0.4628,0.4545,0.4618,46765.0
0.4624,0.4661,0.4589,0.4654,24119.0
0.4667,0.4671,0.45,0.4516,67023.0
0.45,0.4574,0.4494,0.4531,32174.0
0.4531,0.4699,0.4523,0.4556,191224.0
0.4557,0.4598,0.4548,0.4576,63378.0
0.4565,0.4585,0.4527,0.4527,17645.0
0.4527,0.4529,0.416,0.4221,370422.0
0.4212,0.4238,0.3482,0.4024,1372734.0
0.4028,0.4046,0.3692,0.4044,479290.0
0.4037,0.4161,0.3996,0.4119,217890.0
0.4101,0.4211,0.4012,0.4178,158357.0
0.4183,0.4195,0.4081,0.4145,69610.0
0.4127,0.413,0.3962,0.3962,31005.0
0.397,0.398,0.3793,0.3955,94060.0
0.3971,0.4037,0.3864,0.4037,28111.0
0.403,0.4092,0.403,0.4079,28697.0
0.4059,0.4151,0.4051,0.41,19618.0
0.4095,0.4096,0.4047,0.4072,19958.0
0.4086,0.4121,0.4032,0.4121,49006.0
0.4124,0.4186,0.4095,0.4115,42461.0
0.4139,0.4224,0.4133,0.4198,96642.0
0.419,0.4193,0.4131,0.4143,14168.0
0.4148,0.4153,0.3946,0.3966,100219.0
0.3965,0.4158,0.3965,0.4004,251582.0
0.4009,0.415,0.3998,0.404,128952.0
0.4054,0.4078,0.3777,0.3792,201759.0
0.3791,0.3872,0.3694,0.3869,178647.0
0.3853,0.3853,0.3647,0.3647,102235.0
0.3654,0.382,0.362,0.3794,153598.0
0.3784,0.3968,0.3784,0.3891,358709.0
0.3898,0.419,0.3855,0.4137,317354.0
0.4128,0.4365,0.4119,0.4305,480659.0
0.4315,0.4324,0.422,0.4312,91260.0
0.431,0.4394,0.4292,0.4365,225222.0
0.4365,0.444,0.4163,0.4184,110855.0
