Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
2.4013,2.4747,2.4008,2.4307,4838758.0
2.43,2.4611,2.3765,2.3979,2363514.0
2.3983,2.446,2.35,2.3967,5934439.0
2.3972,2.4057,2.2804,2.3971,6080963.0
2.3968,2.4598,2.3685,2.3752,2948629.0
2.375,2.3903,2.2902,2.3613,3522709.0
2.3614,2.3985,2.3082,2.3543,3733899.0
2.3551,2.3555,2.174,2.2394,7768227.0
2.2369,2.3948,2.232,2.3639,3868181.0
2.3643,2.3795,2.2291,2.2573,4070802.0
2.2575,2.339,2.247,2.3003,2644746.0
2.3003,2.335,2.269,2.2979,2231673.0
2.2981,2.352,2.2796,2.3171,3520206.0
2.3165,2.3894,2.3162,2.3769,3911389.0
2.3773,2.4972,2.362,2.4398,6956488.0
2.4384,2.4437,2.3914,2.4057,3002845.0
2.4049,2.4181,2.3725,2.3886,1913616.0
2.3885,2.4216,2.3836,2.4123,1611042.0
2.4115,2.4185,2.3543,2.3816,2762557.0
2.3814,2.3947,2.3584,2.3733,1564729.0
2.3739,2.3873,2.3225,2.3485,3365325.0
2.3492,2.388,2.3016,2.377,3029291.0
2.3773,2.4423,2.3521,2.4322,2601411.0
2.4313,2.432,2.3955,2.4204,2126508.0
2.4204,2.4288,2.3917,2.3939,1885299.0
2.3936,2.3999,2.3278,2.3385,3099692.0
2.338,2.3512,2.2811,2.3176,4096075.0
2.3167,2.3323,2.3048,2.3288,1377597.0
2.3289,2.3455,2.2001,2.2898,4303522.0
2.2895,2.2915,2.2215,2.2481,3297086.0
2.247,2.3035,2.2289,2.2965,2443751.0
2.2965,2.3361,2.281,2.3234,1764590.0
2.3237,2.3406,2.3035,2.3128,1441678.0
2.3132,2.3257,2.2933,2.3099,1109848.0
2.3101,2.3521,2.3061,2.3503,1067037.0
2.3515,2.3985,2.3495,2.3653,2197819.0
2.3651,2.3672,2.3343,2.3555,982678.0
2.355,2.3553,2.3212,2.322,1059426.0
2.3216,2.3382,2.309,2.3111,1223762.0
2.3108,2.315,2.2609,2.282,2306439.0
2.2816,2.2877,2.2446,2.2753,2510191.0
2.2746,2.2868,2.2545,2.2758,1894717.0
2.2759,2.3193,2.26,2.2669,2524303.0
2.2665,2.32,2.265,2.3043,2143657.0
2.3032,2.3394,2.2828,2.3376,1691385.0
2.337,2.3827,2.3202,2.3309,4027440.0
2.3326,2.417,2.3321,2.3729,3743715.0
2.3727,2.4023,2.35,2.3586,2535897.0
2.3587,2.3796,2.3508,2.355,1636942.0
2.3556,2.3703,2.3355,2.3685,1987041.0
2.3688,2.4122,2.3643,2.3919,2280213.0
2.3921,2.4091,2.3627,2.3666,2103845.0
2.3667,2.479,2.3637,2.4509,3809944.0
2.4516,2.4522,2.3652,2.4291,3017395.0
2.4298,2.4725,2.4009,2.4517,2067708.0
2.4521,2.5051,2.4521,2.4642,2342262.0
2.4637,2.4792,2.4435,2.4495,983425.0
2.4487,2.4568,2.4138,2.4184,801054.0
2.4186,2.4404,2.41,2.4327,628065.0
2.4332,2.4341,2.4047,2.4288,705036.0
2.429,2.4489,2.4135,2.4411,700647.0
2.4411,2.4465,2.3877,2.4104,1237227.0
2.4103,2.4439,2.3971,2.4266,932698.0
2.4277,2.4517,2.4272,2.4368,1016235.0
2.4366,2.4449,2.4086,2.4271,585000.0
2.4261,2.4438,2.408,2.4326,645348.0
2.4326,2.4464,2.4239,2.4423,679527.0
2.4418,2.4786,2.435,2.453,1572774.0
2.4533,2.4822,2.4492,2.4715,1446388.0
2.4716,2.59,2.4689,2.5433,3367891.0
2.5427,2.5849,2.5211,2.5392,3651509.0
2.5381,2.5391,2.4855,2.489,1974915.0
2.4894,2.5093,2.4529,2.5002,2456536.0
2.5002,2.5338,2.4979,2.5178,1783326.0
2.5181,2.5398,2.5042,2.5342,1602244.0
2.5349,2.5733,2.5191,2.5258,1676887.0
2.526,2.5599,2.51,2.546,1299710.0
2.5463,2.6253,2.5402,2.6126,2675986.0
2.6126,2.6194,2.5765,2.5832,1995257.0
2.5829,2.604,2.56,2.5861,1443002.0
2.5857,2.6091,2.5647,2.5954,1218377.0
2.5944,2.5967,2.574,2.5946,790015.0
2.596,2.5961,2.5526,2.583,922999.0
2.5826,2.588,2.5298,2.5482,1498824.0
2.5487,2.5611,2.5294,2.5545,575513.0
2.5551,2.5758,2.546,2.5554,902364.0
2.5553,2.5567,2.5135,2.5145,1822009.0
2.5149,2.5377,2.4861,2.5033,1540043.0
2.5035,2.5312,2.4988,2.5184,1981431.0
2.5174,2.5699,2.5073,2.5412,1839383.0
2.5409,2.5699,2.536,2.5598,944153.0
2.5585,2.571,2.5469,2.5637,837738.0
2.5639,2.5639,2.5299,2.5321,726597.0
2.5337,2.5514,2.5126,2.5436,881722.0
2.5429,2.5624,2.5382,2.5621,1288726.0
2.562,2.6096,2.5501,2.6014,1872869.0
2.6021,2.6499,2.5726,2.5989,4217397.0
2.599,2.63,2.5717,2.5822,2373040.0
2.5818,2.5876,2.5545,2.5591,1510370.0
2.56,2.5767,2.5572,2.5758,765565.0
2.576,2.6006,2.5729,2.5963,936884.0
2.5953,2.6234,2.585,2.6036,1307425.0
2.6037,2.6092,2.4436,2.4934,5075002.0
2.4935,2.5195,2.4826,2.5038,1792392.0
2.5039,2.5163,2.4664,2.4876,1566618.0
2.4876,2.4993,2.4347,2.4717,1061228.0
2.4708,2.4947,2.452,2.4871,983960.0
2.4875,2.4948,2.4781,2.4924,427281.0
2.4921,2.4922,2.4317,2.4565,1844571.0
2.4558,2.4637,2.4059,2.4437,1989410.0
2.4432,2.4439,2.3503,2.3682,2716854.0
2.3678,2.409,2.3535,2.3902,2813132.0
2.3902,2.4273,2.3848,2.4105,1555323.0
2.4091,2.4092,2.3407,2.3725,1887898.0
2.3709,2.3995,2.3657,2.3931,1089601.0
2.3933,2.4473,2.3827,2.4283,1822237.0
2.4285,2.4685,2.4027,2.4612,1816228.0
2.4621,2.465,2.3748,2.3854,2376546.0
2.3858,2.4144,2.3766,2.3918,1286333.0
2.3927,2.4131,2.3851,2.3865,946363.0
2.3869,2.4209,2.3819,2.4132,829781.0
2.4134,2.4411,2.3917,2.4071,1255928.0
2.4067,2.4119,2.2664,2.2716,5695487.0
2.2708,2.3262,1.9686,2.2333,13019490.0
2.2338,2.2637,2.05,2.2157,8119372.0
2.2144,2.2816,2.1903,2.2132,2793950.0
2.2137,2.2795,2.1551,2.2555,2443900.0
2.2561,2.2638,2.1996,2.2559,1508241.0
2.2545,2.2545,2.1317,2.1346,2143949.0
2.134,2.1588,2.0424,2.152,4051819.0
2.1514,2.1777,2.087,2.1741,2750694.0
2.1752,2.2016,2.1458,2.1649,1976708.0
2.1654,2.2372,2.147,2.2142,2413501.0
2.2149,2.2177,2.1749,2.2094,1768834.0
2.2091,2.2433,2.1774,2.2303,1898048.0
2.2305,2.2517,2.2045,2.222,1629097.0
2.222,2.26,2.22,2.2423,1691382.0
2.2424,2.243,2.206,2.2202,1215389.0
2.2211,2.2276,2.1181,2.1315,3355932.0
2.1322,2.182,2.1288,2.1596,2172170.0
2.1599,2.2177,2.1564,2.1939,2648721.0
2.194,2.2052,2.0336,2.0406,5594747.0
2.0417,2.0992,1.9851,2.0841,8314902.0
2.0838,2.0859,1.9255,1.9336,5519761.0
1.9329,2.0451,1.8984,2.0177,6745979.0
2.018,2.153,2.0133,2.1252,4481533.0
2.1261,2.3052,2.1134,2.2966,7886483.0
2.2962,2.4252,2.2851,2.3499,11072911.0
2.3494,2.355,2.2858,2.3357,4113519.0
2.3381,2.418,2.3364,2.3728,4142400.0
2.3722,2.3907,2.2946,2.3168,2749440.0
2.317,2.3183,2.2314,2.2386,2503279.0
2.239,2.3119,2.2374,2.3054,1486435.0
2.3058,2.315,2.2889,2.3023,1230790.0
2.3023,2.3478,2.2975,2.339,1358133.0
2.3395,2.3509,2.3102,2.3284,1328932.0
2.3298,2.3584,2.3205,2.3274,1397396.0
2.328,2.3484,2.2873,2.2886,1221080.0
2.2891,2.3555,2.2859,2.3442,2504629.0
