Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
1.648,3.437,1.648,1.714,2753.2
1.685,1.687,1.681,1.681,372.8
1.663,1.666,1.65,1.666,158.8
1.664,1.669,1.664,1.669,1635.2
1.676,1.676,1.622,1.622,544.6
1.638,1.657,1.62,1.657,81.5
1.63,1.648,1.63,1.642,1342.6
1.643,1.691,1.643,1.683,3957.4
1.663,1.69,1.662,1.69,1973.9
1.685,1.718,1.684,1.711,1574.4
1.717,1.724,1.703,1.704,1841.9
1.704,1.724,1.702,1.724,677.6
1.724,1.757,1.724,1.757,969.8
1.747,1.761,1.74,1.757,1157.1
1.758,1.79,1.743,1.79,12190.4
1.776,1.789,1.751,1.758,10363.3
1.759,1.814,1.728,1.748,13955.6
1.746,1.802,1.743,1.802,8682.9
1.801,1.839,1.784,1.838,10277.4
1.833,1.854,1.795,1.795,14442.3
1.796,1.853,1.787,1.844,5148.8
1.839,1.839,1.781,1.788,4608.1
1.789,1.882,1.788,1.872,47840.4
1.873,1.883,1.8,1.811,10174.1
1.811,1.822,1.787,1.812,3916.1
1.815,1.863,1.797,1.798,6598.1
1.799,1.802,1.743,1.759,42269.6
1.763,1.784,1.742,1.76,6213.6
1.762,1.793,1.757,1.793,6461.4
1.794,1.847,1.789,1.841,5529.7
1.832,1.91,1.822,1.838,17406.0
1.838,1.843,1.791,1.795,7274.5
1.794,1.806,1.786,1.791,8342.1
1.795,1.795,1.766,1.771,2798.3
1.783,1.803,1.77,1.803,5829.8
1.792,1.804,1.767,1.77,4376.0
1.77,1.771,1.76,1.76,1293.4
1.757,1.771,1.747,1.766,1258.3
1.754,1.824,1.754,1.81,5421.6
1.804,1.812,1.795,1.795,848.8
1.785,1.844,1.785,1.831,18995.3
1.839,1.839,1.809,1.809,117.4
1.809,1.809,1.797,1.798,906.9
1.796,1.796,1.788,1.793,3228.3
1.77,1.775,1.752,1.752,1830.1
1.753,1.755,1.747,1.747,312.6
1.747,1.774,1.747,1.774,1120.5
1.78,1.786,1.78,1.781,461.3
1.775,1.775,1.745,1.757,774.4
1.746,1.754,1.728,1.733,3757.0
1.759,1.759,1.749,1.755,671.5
1.761,1.765,1.757,1.764,5898.0
1.764,1.764,1.764,1.764,0.0
1.761,1.766,1.761,1.766,1293.1
1.766,1.766,1.743,1.745,1407.7
1.745,1.749,1.735,1.749,902.5
1.745,1.745,1.741,1.741,149.1
1.744,1.744,1.744,1.744,5.5
1.742,1.747,1.742,1.747,64.9
1.73,1.73,1.728,1.73,582.7
1.738,1.738,1.733,1.733,166.9
1.73,1.73,1.73,1.73,4.6
1.74,1.75,1.74,1.747,2192.2
1.747,1.754,1.746,1.754,539.4
1.743,1.746,1.715,1.715,7460.5
1.715,1.721,1.694,1.694,4254.9
1.703,1.703,1.69,1.697,3299.9
1.697,1.709,1.676,1.676,4727.5
1.687,1.693,1.687,1.693,871.2
1.693,1.693,1.693,1.693,147.6
1.68,1.683,1.667,1.683,13854.6
1.678,1.678,1.651,1.666,6600.8
1.656,1.667,1.622,1.629,8110.2
1.623,1.765,1.595,1.618,22197.5
1.616,1.629,1.615,1.615,3211.3
1.616,1.616,1.578,1.584,2785.5
1.595,1.599,1.592,1.599,1362.5
1.595,1.629,1.593,1.627,6690.2
1.622,1.64,1.62,1.64,5065.2
1.63,1.63,1.58,1.58,2239.9
1.579,1.602,1.565,1.595,8458.8
1.595,1.595,1.571,1.571,3860.2
1.573,1.587,1.573,1.583,8952.8
1.569,1.587,1.569,1.577,5236.5
1.565,1.565,1.459,1.477,17910.4
1.469,1.47,0.886,1.405,46458.2
1.406,1.417,1.333,1.417,5366.9
1.419,1.451,1.41,1.442,3766.7
1.428,1.471,1.414,1.459,2618.6
1.465,1.474,1.436,1.44,267.6
1.461,1.462,1.401,1.401,1520.3
1.395,1.416,1.367,1.412,11974.6
1.409,1.424,1.392,1.419,12580.6
1.434,1.449,1.429,1.449,2537.8
1.438,1.458,1.438,1.458,408.4
1.45,1.45,1.435,1.438,487.4
1.431,1.438,1.431,1.433,452.0
1.445,1.469,1.44,1.441,1448.6
1.447,1.467,1.447,1.461,2521.2
1.462,1.462,1.442,1.442,93.1
1.437,1.438,1.384,1.391,2784.3
1.392,1.415,1.391,1.415,2526.1
1.428,1.439,1.413,1.432,3356.4
1.42,1.42,1.342,1.342,3890.1
1.326,1.343,1.305,1.319,2269.0
1.334,1.336,1.29,1.29,3873.1
1.275,1.329,1.275,1.328,5051.3
1.327,1.389,1.327,1.389,5695.5
1.377,1.406,1.373,1.398,1734.3
1.432,1.432,1.419,1.426,4234.9
