Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
0.235,0.2368,0.2313,0.2319,250555.8
0.2316,0.2352,0.2313,0.233,116776.2
0.233,0.2362,0.2267,0.2299,236858.4
0.2294,0.2329,0.2268,0.2328,98748.3
0.2329,0.2347,0.2293,0.2294,140213.0
0.2293,0.2299,0.2217,0.2256,309749.0
0.2254,0.2263,0.2208,0.221,92820.8
0.2211,0.2211,0.2116,0.2159,461845.6
0.2157,0.2238,0.2154,0.2213,197520.2
0.2215,0.226,0.2189,0.2203,167563.1
0.2201,0.2303,0.2194,0.2273,467098.4
0.2271,0.2271,0.2224,0.2247,113173.0
0.2244,0.226,0.2219,0.2253,102189.0
0.2255,0.2285,0.2251,0.2285,259686.1
0.2284,0.232,0.2281,0.2309,190316.7
0.2311,0.2325,0.2288,0.2293,63836.5
0.2292,0.2336,0.2285,0.2304,124212.4
0.2306,0.233,0.2303,0.232,174932.1
0.2315,0.2338,0.2305,0.2306,41940.6
0.2308,0.2342,0.2306,0.2329,101227.0
0.233,0.2356,0.2313,0.2323,186372.6
0.232,0.2346,0.2281,0.2297,342212.9
0.2299,0.237,0.2288,0.2356,380144.6
0.2353,0.2368,0.2335,0.2348,177496.2
0.235,0.235,0.2306,0.2309,35292.4
0.2311,0.2319,0.2252,0.2255,97796.4
0.2254,0.2304,0.2222,0.2294,169479.4
0.229,0.233,0.2282,0.2326,135796.5
0.2328,0.2341,0.22,0.2294,414694.3
0.2292,0.2345,0.225,0.2286,348736.6
0.2284,0.241,0.2265,0.24,683015.9
0.2399,0.2424,0.237,0.2404,94691.4
0.2405,0.2478,0.24,0.246,119526.4
0.2462,0.2463,0.2401,0.246,171319.7
0.2461,0.2634,0.2445,0.259,1317576.2
0.2589,0.2609,0.2545,0.2545,139755.6
0.2547,0.2609,0.2541,0.2569,397642.0
0.2566,0.2595,0.256,0.2588,52055.4
0.2589,0.2604,0.256,0.2567,61512.7
0.2568,0.2571,0.2483,0.2537,284887.1
0.2539,0.2545,0.2489,0.2527,148535.1
0.2528,0.2555,0.2522,0.2533,66540.5
0.2535,0.2547,0.2453,0.2458,108796.0
0.2456,0.2512,0.2446,0.2497,425998.8
0.2499,0.2567,0.2483,0.2567,168405.4
