Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
6.222,6.393,6.222,6.328,5669.12
6.328,6.405,6.328,6.357,3954.23
6.351,6.448,6.232,6.302,24569.44
6.328,6.342,6.262,6.302,3039.09
6.303,6.372,6.288,6.328,2285.6
6.337,6.341,6.136,6.242,1245.91
6.243,6.255,6.148,6.154,1496.73
6.125,6.145,5.904,6.125,5892.75
6.124,6.429,6.111,6.24,4532.44
6.284,6.33,6.102,6.117,5021.25
6.127,6.262,6.093,6.222,3712.3
6.198,6.228,6.109,6.177,1987.56
6.197,6.24,6.165,6.235,1309.33
6.24,6.279,6.224,6.229,1467.58
6.228,6.291,6.215,6.226,2822.34
6.229,6.271,6.195,6.257,2324.38
6.261,6.297,6.219,6.28,1697.89
6.249,6.341,6.249,6.319,3101.45
6.311,6.493,6.31,6.477,8145.22
6.483,6.665,6.451,6.48,11599.37
6.483,6.495,6.356,6.447,2861.1
6.435,6.687,6.435,6.546,10864.41
6.564,6.649,6.462,6.549,7821.43
6.539,6.539,6.465,6.504,4812.73
6.521,6.529,6.46,6.46,1540.08
6.444,6.465,6.19,6.278,8751.4
6.279,6.284,6.127,6.278,14973.38
6.305,6.471,6.296,6.423,4014.58
6.417,6.444,6.084,6.317,7703.24
6.31,6.379,6.215,6.325,10369.19
6.325,6.75,6.278,6.607,5760.55
6.616,6.69,6.59,6.609,5374.95
6.616,6.679,6.534,6.667,3935.17
6.661,6.766,6.603,6.728,3357.43
6.739,7.089,6.703,6.78,7546.76
6.789,6.789,6.661,6.683,2192.49
6.678,7.032,6.676,6.983,6678.0
6.992,7.4,6.992,7.353,8679.53
7.346,7.39,7.175,7.193,3114.92
7.169,7.187,7.053,7.12,5561.1
7.11,7.174,7.009,7.127,5270.69
7.15,7.49,7.071,7.428,25241.76
7.412,7.413,7.158,7.203,9243.19
7.197,7.51,7.154,7.433,15862.72
7.431,7.571,7.281,7.421,11823.11
7.394,7.461,7.07,7.083,14341.99
7.088,7.122,6.999,7.042,6936.43
7.065,7.238,7.056,7.179,7396.88
7.175,7.239,7.162,7.162,7389.09
7.162,7.223,7.162,7.195,2047.28
7.187,7.29,7.187,7.237,3537.89
7.256,7.272,7.176,7.19,2504.01
7.223,7.226,7.121,7.124,3418.12
7.118,7.195,7.086,7.195,2073.51
7.171,7.171,7.03,7.064,2393.3
7.058,7.095,7.042,7.072,1186.29
7.042,7.072,7.026,7.053,915.16
7.041,7.135,7.035,7.067,1216.96
7.085,7.102,7.053,7.073,1626.45
7.067,7.067,6.952,7.007,2512.4
7.02,7.042,6.97,6.971,1572.89
6.969,6.978,6.841,6.886,4579.16
6.894,6.902,6.843,6.895,1418.5
6.895,7.054,6.895,6.931,4095.71
6.924,6.961,6.888,6.936,2327.53
6.935,6.983,6.93,6.976,1366.56
6.97,7.0,6.926,6.975,1823.52
6.974,6.991,6.924,6.935,1163.97
6.938,6.985,6.934,6.948,1074.39
6.963,7.009,6.931,7.008,2877.7
7.005,7.015,6.89,6.9,2211.36
6.902,6.902,6.618,6.655,5688.02
6.685,6.739,6.681,6.731,6340.05
6.733,6.807,6.733,6.745,2558.43
6.759,6.793,6.759,6.778,470.07
6.778,6.788,6.742,6.742,1791.2
6.736,6.759,6.72,6.725,1348.68
6.723,6.787,6.717,6.772,2734.06
6.737,6.799,6.723,6.751,6062.67
6.745,6.771,6.658,6.68,4034.47
6.685,6.717,6.673,6.674,656.58
6.666,6.708,6.666,6.678,2997.27
6.677,6.713,6.627,6.627,1705.85
6.631,6.64,6.577,6.611,4487.42
6.604,6.701,6.604,6.684,7591.95
6.688,6.705,6.683,6.695,1252.46
6.706,6.707,6.584,6.59,3842.32
6.588,6.665,6.474,6.48,8328.87
6.45,6.532,6.445,6.499,6676.64
6.496,6.573,6.478,6.562,2772.84
6.574,6.607,6.505,6.577,2498.11
6.571,6.623,6.559,6.602,7100.93
6.599,6.599,6.53,6.53,2085.56
6.541,6.622,6.498,6.604,2691.99
6.595,6.644,6.518,6.523,3705.09
6.522,6.553,6.49,6.54,2212.54
6.546,6.547,6.489,6.51,2070.08
6.485,6.527,6.469,6.525,1372.01
6.529,6.529,6.487,6.512,2672.02
6.512,6.586,6.512,6.549,3695.57
6.553,6.603,6.55,6.602,2113.11
6.603,6.66,6.55,6.611,6734.5
6.61,6.61,6.446,6.449,2796.35
6.491,6.506,6.401,6.401,7979.23
6.39,6.435,6.337,6.368,5877.17
6.364,6.38,6.24,6.304,1774.3
6.299,6.368,6.254,6.358,3596.35
6.36,6.369,6.325,6.352,3053.15
6.352,6.353,6.255,6.279,2081.04
6.266,6.269,6.115,6.25,10643.91
6.241,6.242,6.084,6.093,7057.1
6.082,6.138,6.007,6.113,6862.23
6.126,6.272,6.126,6.266,7111.09
6.284,6.284,6.111,6.12,4789.25
6.124,6.251,6.084,6.25,4328.57
6.252,6.387,6.209,6.33,8602.29
6.307,6.365,6.254,6.352,4885.01
6.352,6.352,6.141,6.186,20946.26
6.175,6.233,6.155,6.195,26801.26
6.196,6.282,6.177,6.207,3838.89
6.207,6.266,6.207,6.228,2774.44
6.216,6.244,6.17,6.17,5526.7
6.177,6.177,5.751,5.903,16572.48
5.888,5.999,5.01,5.689,53402.01
5.685,5.755,5.232,5.754,27217.62
5.74,5.905,5.69,5.905,15451.84
5.869,6.03,5.732,5.958,13474.51
5.95,5.998,5.845,5.94,7321.69
5.931,5.931,5.694,5.703,9073.09
5.721,5.795,5.539,5.771,13163.26
5.779,5.878,5.639,5.878,10207.73
5.867,5.915,5.786,5.906,12011.62
5.901,6.165,5.877,6.15,17085.32
6.144,6.233,6.1,6.178,6305.61
6.188,6.188,6.052,6.121,13204.6
6.118,6.152,6.044,6.071,3483.74
6.113,6.188,6.094,6.137,3619.94
6.122,6.154,6.04,6.118,10239.77
6.12,6.12,5.809,5.825,6522.52
5.843,6.009,5.843,5.951,5758.4
5.951,6.494,5.944,5.971,46780.41
6.003,6.013,5.654,5.68,13405.78
5.649,5.803,5.546,5.787,27977.3
5.781,5.781,5.575,5.578,6045.44
5.583,5.767,5.545,5.75,7436.99
5.75,5.994,5.738,5.891,9824.41
5.885,6.06,5.883,6.029,12955.46
6.029,6.146,6.018,6.104,11339.01
6.122,6.211,6.122,6.142,3932.28
6.147,6.185,6.12,6.179,5940.55
6.179,6.179,5.959,6.058,2100.36
6.039,6.039,5.861,5.872,5231.31
5.86,6.114,5.859,6.114,2849.13
6.121,6.139,6.042,6.059,1482.26
6.058,6.058,5.994,6.021,904.32
6.007,6.013,5.953,5.998,1061.87
5.985,6.015,5.961,6.005,1612.9
5.982,6.026,5.872,5.874,4664.11
5.879,6.02,5.87,5.985,5853.74
5.999,6.009,5.939,6.003,12096.88
6.007,6.029,5.951,5.986,2381.48
5.982,6.08,5.961,6.007,6638.42
6.004,6.227,6.004,6.201,17013.61
6.206,6.458,6.201,6.395,20029.6
6.404,6.57,6.341,6.528,4552.62
6.532,6.636,6.513,6.62,7632.88
6.633,6.828,6.633,6.769,9185.7
6.789,6.855,6.672,6.672,7003.61
6.692,6.853,6.692,6.811,13910.06
6.806,6.9,6.783,6.9,3844.12
6.899,6.943,6.798,6.85,8346.21
6.815,6.819,6.76,6.806,1799.28
6.868,6.878,6.813,6.828,2027.69
6.836,6.881,6.814,6.819,4745.22
6.818,6.931,6.818,6.883,12297.74
6.871,6.937,6.742,6.771,3585.38
6.784,6.881,6.764,6.878,4264.62
6.865,6.976,6.818,6.866,5062.1
6.887,6.95,6.837,6.871,4683.9
6.877,6.97,6.877,6.913,2102.78
6.908,7.077,6.908,7.038,3338.47
7.038,7.047,6.928,6.937,2488.88
6.947,7.024,6.927,6.929,5113.67
6.936,6.997,6.88,6.882,9208.41
6.877,6.881,6.793,6.835,4015.27
6.831,6.834,6.703,6.736,3666.79
6.756,6.918,6.755,6.906,7137.24
6.906,6.945,6.757,6.817,6839.04
6.834,6.899,6.795,6.863,2684.58
6.898,6.963,6.794,6.799,2483.65
6.827,6.861,6.751,6.776,3437.61
6.792,6.815,6.745,6.806,4446.8
6.812,6.814,6.678,6.728,5345.41
6.737,6.787,6.562,6.609,13867.16
6.606,6.746,6.605,6.69,1870.09
6.712,6.712,6.638,6.639,1385.92
6.616,6.697,6.565,6.664,1982.77
6.678,6.797,6.648,6.782,5959.9
6.765,6.765,6.673,6.68,1265.34
6.651,6.828,6.543,6.687,9189.26
6.682,6.755,6.646,6.693,4592.29
6.704,6.747,6.669,6.708,2324.83
6.713,6.713,6.625,6.634,1899.98
6.647,6.682,6.602,6.619,1129.32
6.614,6.66,6.536,6.556,1448.37
6.543,6.57,6.468,6.554,2467.77
6.547,6.607,6.499,6.607,1530.21
6.61,6.63,6.497,6.536,1063.14
6.533,6.546,6.455,6.54,1817.39
6.543,6.608,6.527,6.533,2259.37
6.54,6.607,6.525,6.586,1032.17
6.586,6.606,6.479,6.551,3778.34
6.537,6.586,6.483,6.586,5778.19
6.602,6.653,6.416,6.422,3378.4
6.443,6.548,6.393,6.503,2996.88
6.507,6.533,6.441,6.512,1440.92
6.493,6.539,6.466,6.478,1520.65
6.502,6.54,6.494,6.54,712.58
6.546,6.603,6.546,6.575,1542.1
6.573,6.587,6.536,6.536,734.12
6.539,6.539,6.487,6.522,2280.17
6.49,6.645,6.49,6.636,3042.3
6.637,6.753,6.593,6.681,3744.69
6.702,6.778,6.688,6.703,2486.38
6.703,6.703,6.629,6.649,1368.46
6.643,6.666,6.624,6.643,406.07
6.645,6.649,6.591,6.612,1176.95
6.599,6.637,6.584,6.637,1964.04
6.606,6.632,6.587,6.587,1075.56
6.587,6.595,6.527,6.527,4166.7
6.551,6.567,6.518,6.555,1425.59
6.56,6.577,6.503,6.507,1199.93
6.507,6.507,6.434,6.46,1420.58
6.464,6.491,6.429,6.437,1390.78
6.446,6.446,6.293,6.302,5738.85
6.308,6.308,6.18,6.229,2050.62
6.274,6.33,6.26,6.3,1097.41
6.268,6.304,6.266,6.268,570.49
6.253,6.316,6.204,6.307,3776.82
6.296,6.311,6.217,6.247,1883.27
6.235,6.254,6.144,6.152,995.64
6.145,6.193,6.145,6.188,2095.52
6.204,6.204,6.084,6.091,1898.11
6.099,6.172,6.098,6.164,2301.42
6.195,6.26,6.177,6.26,2241.48
6.268,6.436,6.262,6.436,5760.6
6.419,6.419,6.3,6.354,5096.4
6.351,6.494,6.351,6.473,2401.47
6.462,6.462,6.39,6.398,1714.28
6.38,6.389,6.322,6.324,1215.84
6.325,6.389,6.324,6.33,1313.81
6.331,6.381,6.306,6.314,1487.29
6.321,6.329,6.244,6.247,2006.59
6.244,6.246,6.149,6.203,2967.45
6.192,6.301,6.192,6.301,1099.07
6.286,6.322,6.261,6.303,1159.56
6.289,6.338,6.281,6.281,932.9
6.281,6.328,6.281,6.312,1372.21
6.326,6.349,6.226,6.349,2440.71
6.342,6.492,6.304,6.471,4889.42
6.477,6.501,6.443,6.473,2080.86
6.486,6.495,6.438,6.495,1825.78
6.514,6.594,6.45,6.574,8791.57
6.572,6.766,6.567,6.695,7092.13
6.691,6.818,6.653,6.788,7857.75
6.788,7.173,6.775,6.887,24375.98
6.858,6.86,6.666,6.682,6993.2
6.68,6.695,6.562,6.585,9905.0
6.574,6.782,6.534,6.766,6754.25
6.766,6.988,6.7,6.988,11867.69
6.992,7.233,6.937,7.191,10301.76
7.186,7.244,7.089,7.134,4718.99
7.133,7.185,6.973,6.995,4776.06
7.019,7.04,6.863,6.892,3609.89
6.904,6.929,6.849,6.918,2650.33
6.916,6.998,6.86,6.909,2852.28
6.931,6.998,6.869,6.876,3448.39
6.871,6.896,6.825,6.832,3897.51
6.836,6.868,6.761,6.768,2653.42
6.753,6.76,6.635,6.635,5809.09
6.637,6.729,6.609,6.709,5044.82
6.702,6.717,6.548,6.579,5239.27
6.584,6.637,6.524,6.526,6051.46
6.533,6.584,6.509,6.513,2748.23
6.519,6.668,6.491,6.575,4047.37
6.561,6.623,6.534,6.596,2976.04
6.569,6.639,6.533,6.569,2617.31
6.566,6.775,6.562,6.675,1958.26
6.68,6.843,6.641,6.831,5146.56
6.844,6.891,6.655,6.673,7004.42
6.676,6.707,6.603,6.626,3761.71
6.61,6.665,6.572,6.665,1314.38
6.669,6.682,6.609,6.622,2468.58
6.608,6.608,6.484,6.537,6076.81
6.562,6.705,6.415,6.669,9791.54
6.681,6.903,6.652,6.82,3458.35
