Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
732.24,740.05,721.71,732.34,3876.348
732.17,737.05,727.71,735.02,2184.008
734.71,742.54,734.42,740.49,1673.126
740.6,746.74,727.78,735.03,2422.22
735.04,748.04,734.12,737.59,3336.112
737.65,743.12,733.5,735.11,1839.725
735.01,740.68,727.88,740.68,1881.352
740.65,740.92,718.8,720.13,2535.976
720.3,721.19,691.2,703.74,6448.774
703.52,725.62,702.34,722.43,3668.563
722.39,726.66,712.79,714.96,2846.741
715.01,731.35,714.01,726.39,1132.557
726.44,735.31,718.78,724.43,1833.952
724.37,725.35,717.89,722.57,971.515
722.38,731.85,722.11,730.11,1210.815
730.06,738.41,727.66,732.76,3174.969
733.01,735.73,730.22,733.76,990.699
733.85,736.8,731.94,732.01,1045.69
732.04,739.0,731.65,737.82,1995.393
737.83,739.18,729.21,730.21,1072.187
730.12,731.63,726.85,728.97,1533.068
728.99,733.73,724.08,727.43,955.486
727.39,731.18,719.16,725.13,1465.439
724.99,735.04,722.57,732.42,1251.463
732.64,736.92,730.33,733.89,1565.778
733.89,734.53,726.05,726.74,881.372
726.63,731.0,715.55,716.67,3367.372
716.67,717.84,703.0,713.75,3486.24
713.72,716.66,711.85,716.4,1240.649
716.31,718.72,696.43,716.48,6991.741
716.5,721.87,708.84,717.94,1770.152
718.04,733.63,714.7,730.55,1580.902
730.52,733.2,725.14,729.89,1320.07
729.93,732.02,727.12,730.64,968.424
731.03,731.03,724.69,729.8,3045.66
729.76,735.56,727.87,733.23,587.716
733.11,733.47,726.53,727.25,434.434
727.31,730.71,726.57,728.92,468.271
729.04,729.75,722.57,725.81,693.02
725.82,729.7,723.19,723.3,646.937
723.2,723.83,713.9,718.34,1403.504
717.87,721.62,712.3,721.45,871.51
721.39,723.32,715.4,719.11,685.523
718.91,722.83,707.86,708.9,958.997
708.9,719.97,705.83,718.56,987.013
718.44,725.22,714.86,725.22,1565.423
725.13,733.81,721.01,733.65,2033.171
733.35,744.29,729.71,742.87,2672.0
742.95,746.87,737.07,743.54,2142.578
743.49,744.28,739.21,739.26,956.996
739.38,741.65,737.42,739.55,917.772
739.58,744.96,738.64,742.18,833.409
742.2,745.15,731.72,733.0,2933.589
733.16,736.99,732.84,735.06,493.431
734.97,736.0,727.84,731.53,773.043
731.5,737.45,730.92,735.1,699.593
735.3,739.43,733.06,737.45,356.142
736.73,740.74,735.56,737.16,383.579
737.12,738.93,732.0,736.78,455.517
736.55,745.52,734.52,740.37,1125.564
