Preț deschidere,Preț închidere,Preț maxim,Preț minim,Volum
3758.21,3822.55,3756.99,3813.67,4853.6867
3813.76,3842.07,3800.27,3828.1,3977.8432
3828.1,3849.99,3822.4,3847.21,6356.5865
3847.39,3894.31,3836.2,3888.04,6115.321
3888.4,3896.94,3840.27,3844.87,5528.452
3844.86,3876.74,3837.8,3848.67,1960.3473
3848.0,3865.97,3828.29,3844.0,2871.8324
3843.73,3845.59,3802.58,3802.8,3795.5514
3802.81,3831.7,3772.51,3805.87,6539.8342
3805.86,3883.98,3802.49,3859.32,8485.0078
3859.32,3908.6,3820.93,3836.02,11164.9912
3836.03,3883.7,3833.81,3859.0,4998.8444
3859.01,3872.38,3826.4,3849.9,2452.3029
3850.02,3900.0,3822.98,3852.64,2803.6488
3852.63,3869.4,3846.01,3853.48,2764.9709
3853.61,3926.21,3853.41,3911.34,5920.8044
3912.08,3925.78,3904.4,3924.39,3985.8071
3924.39,3938.59,3912.13,3919.08,3749.211
3918.82,3946.99,3912.61,3934.41,3130.3036
3934.22,3943.2,3920.91,3928.9,3499.6186
3928.31,3940.22,3917.18,3920.98,2902.4551
3921.0,3959.21,3905.59,3931.12,4410.9783
3931.13,3934.18,3865.58,3892.14,7089.9081
3891.41,3923.79,3873.42,3904.21,4335.3444
3904.21,3928.74,3896.01,3921.04,3902.8958
3921.05,3926.69,3868.57,3872.19,6826.6179
3872.18,3890.19,3821.78,3832.49,5835.7964
3832.5,3848.2,3787.11,3828.59,9835.9362
3828.56,3862.56,3822.8,3859.61,3242.9721
3859.2,3865.43,3635.67,3811.26,12137.2991
3811.27,3824.81,3772.51,3789.01,5873.293
3789.45,3885.86,3781.61,3864.99,6186.7422
3865.29,3889.95,3841.57,3871.41,5921.5853
3871.21,3879.85,3852.22,3879.85,3226.1686
3879.85,3915.52,3852.95,3908.99,3921.2738
3909.19,3916.14,3891.02,3905.63,1710.9859
3904.82,3905.6,3876.71,3891.79,2195.3812
3891.8,3932.19,3891.22,3910.01,2629.972
3910.01,3910.99,3850.0,3896.58,2000.2135
3896.8,3912.88,3881.22,3882.01,2548.2886
3882.2,3890.22,3858.92,3873.06,3735.6011
3872.02,3879.68,3848.6,3867.72,2678.0335
3867.72,3882.99,3855.45,3870.09,1985.1562
3870.1,3886.52,3836.61,3840.41,1968.0956
3840.6,3897.79,3839.22,3892.5,3793.4366
